"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717513321445000E9;"2024-06-04 17:02:01.445 UTC+02:00"
"PAUSE";2,995043632916640E2;1,717513620948000E9;"2024-06-04 17:07:00.948 UTC+02:00"
