"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
9,217545833E0;1,950150490E0;-3,696911097E0;-9,367900848E0
9,317545833E0;2,087737799E0;-4,467400074E0;-9,198010445E0
9,417545833E0;1,403988719E0;-1,378864050E0;-7,162914753E0
9,517545833E0;2,944368362E0;-2,371287346E0;-7,840681553E0
9,617545833E0;4,594219327E-1;-3,571287870E0;-7,477570534E0
9,717545833E0;1,265205026E0;-7,030711174E0;-7,332805157E0
9,817545833E0;1,064806104E0;-7,786843300E0;-6,750751019E0
9,917545833E0;3,930211067E-1;-9,204590797E0;-7,657032490E0
1,001754583E1;-7,298108935E-2;-9,172286987E0;-5,510670662E0
1,011754583E1;-1,387238979E0;-9,270991325E0;-5,039284706E0
1,021754583E1;-1,884945989E0;-8,620143890E0;-4,142574310E0
1,031754583E1;-1,346560955E0;-9,452247620E0;-5,531009674E0
1,041754583E1;-1,323230863E0;-8,922237396E0;-4,715655327E0
1,051754583E1;-1,892722726E0;-8,429315567E0;-3,866203070E0
1,061754583E1;-1,323829174E0;-8,371290207E0;-5,310271740E0
1,071754583E1;-4,845465720E-1;-8,392825127E0;-4,805386066E0
1,081754583E1;-1,855633974E0;-9,437292099E0;-4,856233597E0
1,091754583E1;-2,501696110E0;-8,962317467E0;-5,105087280E0
1,101754583E1;-3,655036688E-1;-7,899903774E0;-5,156532764E0
1,111754583E1;-6,358926296E-1;-7,411767960E0;-4,885545731E0
1,121754583E1;-3,846462369E-1;-8,233702660E0;-6,316453457E0
1,131754583E1;-2,793620527E-1;-7,755138397E0;-6,619743824E0
1,141754583E1;-2,524427772E-1;-7,058826923E0;-5,002195835E0
1,151754583E1;7,118647546E-2;-7,101897717E0;-5,370690346E0
1,161754583E1;1,968096644E-1;-7,155138016E0;-4,978865623E0
1,171754583E1;-2,626122832E-1;-9,355937004E0;-7,731808186E0
1,181754583E1;-2,356930375E-1;-7,458428383E0;-6,659225464E0
1,191754583E1;-8,721838593E-1;-6,917650223E0;-5,833103180E0
1,201754583E1;7,088736892E-1;-7,868198872E0;-5,890531063E0
1,211754583E1;-4,671986103E-1;-6,792026997E0;-7,717451096E0
1,221754583E1;-2,895315289E-1;-1,021615601E1;-7,943572998E0
1,231754583E1;1,490130305E0;-5,139782906E0;-6,364908218E-1
1,241754583E1;1,634896040E0;-7,431509018E0;-4,111467361E0
1,251754583E1;1,477568030E0;-9,636494637E0;-7,896913052E0
1,261754583E1;-1,700100541E0;-8,672187805E0;-4,725824833E0
1,271754583E1;-7,914260626E-1;-8,103293419E0;-6,612565517E0
1,281754583E1;2,620140910E-1;-7,719245911E0;-5,182853699E0
1,291754583E1;-8,063812256E-1;-6,775277138E0;-4,820939541E0
1,301754583E1;-1,309472203E0;-6,691528320E0;-6,550352097E0
1,311754583E1;4,480560422E-1;-5,829514027E0;-6,604788780E0
1,321754583E1;-1,936391711E0;-6,873383045E0;-5,095515728E0
1,331754583E1;-4,152145386E0;-9,700503349E0;-4,569094658E0
1,341754583E1;8,973084688E-1;-7,436294556E0;-7,058826923E0
1,351754583E1;-1,243669510E0;-7,783253670E0;-4,831109047E0
1,361754583E1;-2,214557409E0;-9,766305923E0;-4,682754040E0
1,371754583E1;-2,793620527E-1;-8,362317085E0;-6,436094761E0
1,381754583E1;6,496513486E-1;-7,115656376E0;-6,915855408E0
1,391754583E1;1,094716340E-1;-5,359922886E0;-6,658627033E0
1,401754583E1;-1,333998591E-1;-5,273182869E0;-6,476772785E0
1,411754583E1;8,482556343E-1;-4,653441906E0;-6,619743824E0
1,421754583E1;2,117648125E0;-7,025925636E0;-8,715856552E0
1,431754583E1;-1,289133191E0;-4,392624378E0;-4,996213913E0
1,441754583E1;-1,204786181E0;-2,967698336E0;-5,154737949E0
1,451754583E1;2,897109985E0;-9,146564484E0;-3,286541939E0
1,461754583E1;-6,113662124E-1;-9,255437851E0;-2,337189436E0
1,471754583E1;-3,507279873E0;-1,055713367E1;-4,476373196E0
1,481754583E1;-1,992623091E0;-8,675776482E0;-4,911866665E0
1,491754583E1;-4,954339504E0;-1,354337597E1;-4,380660057E0
1,501754583E1;-1,747358680E0;-8,922237396E0;-3,019742250E0
1,511754583E1;1,933400750E0;-1,143051338E1;-7,805387497E0
1,521754583E1;1,625923038E0;-3,309273720E0;-8,098507881E0
1,531754583E1;4,983053207E-1;4,671986103E-1;-4,837090969E0
1,541754583E1;4,600201607E0;-2,383251429E0;-7,907680511E0
1,551754583E1;-2,955136001E-1;3,798605800E-1;-1,982453585E0
1,561754583E1;2,029113531E0;-8,356334686E0;-7,182057381E0
1,571754583E1;5,428118229E0;-4,350151539E0;-8,035696983E0
1,581754583E1;4,138985157E0;-8,488538742E0;-8,490332603E0
1,591754583E1;1,252642632E0;-8,706285477E0;-4,680361271E0
1,601754583E1;3,973282099E0;-9,089735031E0;-4,913661480E0
1,611754583E1;5,018945694E0;-6,925426960E0;-9,597013474E0
1,621754583E1;4,268795490E0;-4,326821327E0;-5,672784328E0
1,631754583E1;2,686541557E0;-6,546164513E0;-6,406782627E0
1,641754583E1;-1,274776220E0;-3,535395384E0;-1,511665702E0
1,651754583E1;5,510072231E0;-2,197209358E0;-9,195617676E0
1,661754583E1;1,973480463E0;-1,920838356E0;-5,524429321E0
1,671754583E1;3,020340443E0;-9,674779892E0;-6,099305153E0
1,681754583E1;2,659024239E0;-1,357029533E1;-6,910471916E0
