"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
8,829874101E0;-4,013384581E-1;-2,396118939E-1;-2,977968007E-2
8,929874101E0;1,168279797E-1;2,489275858E-2;-1,125519201E-1
9,029874101E0;3,565925956E-1;-6,841690838E-2;2,214386500E-2
9,129874101E0;-7,269296050E-2;-2,443460934E-2;-3,573561832E-2
9,229874101E0;-3,483459055E-1;-1,658499092E-1;6,001751125E-2
9,329874101E0;-5,355761051E-1;-1,180497110E-1;-3,883575797E-1
9,429874101E0;-1,785253733E-1;-1,059851199E-1;-3,788891733E-1
9,529874101E0;4,857905805E-1;-1,818851233E-1;1,496619824E-2
9,629874101E0;1,275486588E0;-1,519527286E-1;5,604688525E-1
9,729874101E0;2,071902275E0;1,438587606E-1;1,406059027E0
9,829874101E0;2,022116661E0;-4,793764949E-1;1,175304770E0
9,929874101E0;1,449430466E0;-3,675881624E-1;8,297077417E-1
1,002987410E1;5,531384945E-1;5,482515693E-2;2,475531399E-1
1,012987410E1;2,622139156E-1;-6,979135424E-2;1,044579595E-1
1,022987410E1;1,658499092E-1;1,537853181E-1;1,090394482E-1
1,032987410E1;-3,604105115E-2;8,704829961E-3;-3,711006418E-2
1,042987410E1;-2,535090744E-1;1,229366288E-1;-1,085812971E-1
1,052987410E1;-2,154827118E-1;1,916589737E-1;-5,390885845E-2
1,062987410E1;-3,049744666E-1;4,459316283E-2;1,114829071E-2
1,072987410E1;-3,897320330E-1;-5,238169432E-2;-9,437867999E-2
1,082987410E1;-4,914411008E-1;-1,264491081E-1;-3,546072841E-1
1,092987410E1;-4,396702647E-1;2,971859276E-1;-2,119702399E-1
1,102987410E1;-3,675881624E-1;4,025602043E-1;-3,623957932E-1
1,112987410E1;-2,915354371E-1;-1,035416573E-1;-1,560760736E-1
1,122987410E1;-9,804387391E-2;-1,372919679E-1;-2,038762718E-1
1,132987410E1;-9,376781434E-2;-1,873829067E-1;-1,221730486E-1
1,142987410E1;-3,084869497E-2;-1,235474944E-1;-1,664607823E-1
