"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
1,660072500E-1;3,073180008E1;-1,204139996E1;-3,430640030E1
2,660072500E-1;2,954839897E1;-7,222399712E0;-3,746619797E1
3,660072500E-1;2,310680008E1;-3,720999956E0;-4,211439896E1
4,660072500E-1;1,864159966E1;-9,540399551E0;-4,346859741E1
5,660072500E-1;9,906399727E0;-1,544519997E1;-4,585979843E1
6,660072500E-1;-1,024800014E1;-2,153299904E1;-4,405419922E1
7,660072500E-1;-2,998760033E1;-1,399339962E1;-3,367200089E1
8,660072500E-1;-3,917419815E1;6,807600021E0;-2,448539925E1
9,660072500E-1;-3,021939850E1;2,160619926E1;-2,793799973E1
1,066007250E0;-2,010560036E1;2,078879929E1;-3,564839935E1
1,166007250E0;-2,261879921E1;1,733619881E1;-3,580699921E1
1,266007250E0;-3,564839935E1;8,015399933E0;-2,742560005E1
1,366007250E0;-4,017459869E1;8,783999681E-1;-2,127680016E1
1,466007250E0;-3,639260101E1;1,468879986E1;-2,496119881E1
1,566007250E0;-3,417219925E1;2,048379898E1;-2,230159950E1
1,666007250E0;-3,333039856E1;2,419260025E1;-1,828779984E1
1,766007250E0;-3,214699936E1;2,821859932E1;-1,554279995E1
1,866007250E0;-2,734020042E1;3,350119781E1;-1,149240017E1
1,966007250E0;-1,712879944E1;3,996719742E1;-8,869400024E0
2,066007250E0;-7,124799728E0;4,307819748E1;-7,527400017E0
2,166007250E0;-1,005280018E1;4,306599808E1;-5,880399704E0
2,266007250E0;-1,002839947E1;4,357839966E1;-6,246399879E0
2,366007250E0;-1,036999989E1;4,296839905E1;-6,270800114E0
2,466007250E0;-5,087399960E0;4,401760101E1;-6,624599934E0
2,566007250E0;-1,341999918E-1;4,484719849E1;-2,562000036E0
2,666007250E0;9,381799698E0;4,191920090E1;9,686800003E0
2,766007250E0;1,889780045E1;3,389159775E1;2,023979950E1
2,866007250E0;2,450979996E1;2,343619919E1;2,825519943E1
2,966007250E0;2,548579979E1;1,383479977E1;3,270819855E1
3,066007250E0;2,359479904E1;8,771800041E0;3,662440109E1
3,166007250E0;1,916619873E1;4,709199905E0;4,073579788E1
3,266007250E0;1,566479969E1;3,916199923E0;4,280979919E1
3,366007250E0;1,241959953E1;3,867399931E0;4,335879898E1
3,466007250E0;1,089459991E1;1,342000008E0;4,437139893E1
3,566007250E0;7,356599808E0;-1,939799905E0;4,488380051E1
3,666007250E0;6,148799896E0;-2,818199873E0;4,543280029E1
3,766007250E0;4,940999985E0;-3,903999925E-1;4,555479813E1
3,866007250E0;5,428999901E0;2,476599932E0;4,513999939E1
3,966007250E0;6,783199787E0;5,880399704E0;4,434700012E1
4,066007250E0;8,845000267E0;8,759599686E0;4,305379868E1
4,166007250E0;1,133379936E1;6,807600021E0;4,324900055E1
4,266007250E0;1,657979965E1;6,929599762E0;4,108959961E1
4,366007250E0;2,165499878E1;7,710399628E0;3,763700104E1
4,466007250E0;2,497340012E1;3,818599939E0;3,650239944E1
4,566007250E0;2,642519951E1;2,805999815E-1;3,670980072E1
4,666007250E0;2,648620033E1;-2,232599974E0;3,695380020E1
4,766007250E0;2,377779961E1;-3,586799860E0;3,996719742E1
4,866007250E0;2,109379959E1;-3,062199831E0;4,172399902E1
4,966007250E0;1,914179993E1;-7,319999933E-1;4,245599747E1
5,066007250E0;1,850740051E1;4,404200077E0;4,261459732E1
5,166007250E0;1,607959938E1;5,770599842E0;4,323679733E1
5,266007250E0;1,307839966E1;1,134599972E1;4,222419739E1
5,366007250E0;1,301739979E1;1,886120033E1;4,002819824E1
5,466007250E0;1,387139988E1;2,741339874E1;3,407460022E1
5,566007250E0;1,628699875E1;3,079279900E1;2,901159859E1
5,666007250E0;1,961759949E1;3,213479996E1;2,525399971E1
5,766007250E0;2,019099998E1;3,139060020E1;2,602260017E1
5,866007250E0;1,761680031E1;3,036579895E1;2,838939857E1
5,966007250E0;1,542079926E1;3,198839951E1;2,870660019E1
6,066007250E0;1,340779972E1;3,336700058E1;2,957279968E1
6,166007250E0;1,216339970E1;3,353779984E1;3,013399887E1
6,266007250E0;1,097999954E1;3,143939972E1;3,376959991E1
6,366007250E0;9,894199371E0;2,749880028E1;3,649020004E1
6,466007250E0;7,661599636E0;2,537599945E1;3,990620041E1
6,566007250E0;3,903999805E0;2,709619904E1;3,896680069E1
6,666007250E0;4,526199818E0;3,193959999E1;3,417219925E1
6,766007250E0;7,161399841E0;3,868619919E1;2,494899940E1
6,866007250E0;9,869799614E0;4,160199738E1;1,601860046E1
6,966007250E0;1,110200024E1;4,296839905E1;1,426179981E1
7,066007250E0;8,076399803E0;4,304159927E1;1,567700005E1
7,166007250E0;5,416800022E0;4,245599747E1;1,839760017E1
7,266007250E0;2,879199982E0;3,888140106E1;2,558339882E1
7,366007250E0;2,013000011E0;3,361100006E1;3,367200089E1
7,466007250E0;2,281399965E0;2,774279976E1;3,830799866E1
7,566007250E0;1,964200020E0;2,601039886E1;3,863739777E1
7,666007250E0;2,171599865E0;2,774279976E1;3,807619858E1
7,766007250E0;3,147599936E0;3,486759949E1;3,115880013E1
7,866007250E0;7,112599850E0;3,967440033E1;2,325319862E1
7,966007250E0;1,135820007E1;4,204119873E1;1,535979939E1
8,066007250E0;1,263920021E1;4,246820068E1;1,410319996E1
8,166007250E0;1,051639938E1;4,198019791E1;1,645779991E1
8,266007250E0;9,418399811E0;4,123600006E1;1,872699928E1
8,366007250E0;8,088600159E0;4,018679810E1;2,226499939E1
8,466007250E0;6,648999691E0;3,885699844E1;2,536380005E1
8,566007250E0;4,916599751E0;3,633160019E1;2,940199852E1
8,666007250E0;3,135400057E0;3,309859848E1;3,328160095E1
8,766007250E0;4,062600136E0;2,963379860E1;3,629499817E1
8,866007250E0;4,404200077E0;2,657159996E1;3,846659851E1
8,966007250E0;4,587199688E0;2,621780014E1;3,825920105E1
9,066007250E0;4,074800014E0;2,810879898E1;3,762479782E1
9,166007250E0;4,806799889E0;2,804780006E1;3,783219910E1
9,266007250E0;4,562799931E0;2,753540039E1;3,856419754E1
9,366007250E0;4,135799885E0;2,581519890E1;3,962559891E1
9,466007250E0;3,867399931E0;2,486359978E1;3,988179779E1
9,566007250E0;3,720999956E0;2,579080009E1;3,889360046E1
9,666007250E0;5,672999859E0;3,020719910E1;3,675859833E1
9,766007250E0;1,068719959E1;3,495299911E1;2,904819870E1
9,866007250E0;1,621380043E1;3,796640015E1;2,116699982E1
9,966007250E0;1,959319878E1;3,825920105E1;1,437160015E1
1,006600725E1;2,205760002E1;3,900339890E1;1,133379936E1
1,016600725E1;2,181359863E1;3,849100113E1;8,918199539E0
1,026600725E1;2,214299965E1;3,860079956E1;9,662400246E0
1,036600725E1;2,259440041E1;3,932059860E1;1,006499958E1
1,046600725E1;2,185019875E1;3,897900009E1;1,073600006E1
1,056600725E1;2,194779968E1;3,893019867E1;1,193159962E1
1,066600725E1;2,160619926E1;3,871059799E1;1,345660019E1
1,076600725E1;2,053260040E1;3,828359985E1;1,471319962E1
1,086600725E1;2,065460014E1;3,858860016E1;1,599419975E1
1,096600725E1;1,843420029E1;3,825920105E1;1,803159904E1
1,106600725E1;1,697019958E1;3,832019806E1;2,110599899E1
1,116600725E1;1,661639977E1;3,785659790E1;2,305799866E1
1,126600725E1;1,695800018E1;3,829579926E1;2,327759933E1
1,136600725E1;1,634799957E1;3,853979874E1;2,287500000E1
1,146600725E1;1,672620010E1;3,784439850E1;2,256999969E1
1,156600725E1;1,660420036E1;3,910099792E1;2,130119896E1
1,166600725E1;1,666519928E1;4,012580109E1;2,033740044E1
1,176600725E1;1,731180000E1;4,046739960E1;1,980060005E1
1,186600725E1;1,714099884E1;3,946699905E1;2,137439919E1
1,196600725E1;1,744599915E1;3,929619980E1;2,120359993E1
1,206600725E1;1,922719955E1;3,935720062E1;2,226499939E1
1,216600725E1;2,004459953E1;3,905220032E1;2,314340019E1
1,226600725E1;2,092300034E1;3,969879913E1;2,084980011E1
1,236600725E1;2,359479904E1;3,884479904E1;1,949559975E1
1,246600725E1;2,624219894E1;3,934499741E1;1,446920013E1
1,256600725E1;2,657159996E1;3,950360107E1;1,363959980E1
1,266600725E1;2,681559944E1;3,850320053E1;1,762899971E1
1,276600725E1;2,775499916E1;3,699039841E1;2,185019875E1
1,286600725E1;2,718159866E1;3,620959854E1;2,531499863E1
1,296600725E1;2,657159996E1;3,494079971E1;2,708399963E1
1,306600725E1;2,724259949E1;3,235440063E1;3,019499969E1
1,316600725E1;2,742560005E1;3,187859917E1;2,898719978E1
1,326600725E1;2,685219955E1;3,270819855E1;2,798679924E1
1,336600725E1;2,755979919E1;3,396479797E1;2,572979927E1
1,346600725E1;2,631539917E1;3,408679962E1;2,494899940E1
1,356600725E1;2,358259964E1;3,390380096E1;2,618120003E1
1,366600725E1;2,005679893E1;3,264719772E1;2,742560005E1
1,376600725E1;1,603079987E1;3,176879883E1;2,997539902E1
1,386600725E1;1,138259983E1;3,120759964E1;3,164679909E1
1,396600725E1;8,552199364E0;3,101239967E1;3,276919937E1
1,406600725E1;8,222800255E0;3,235440063E1;3,103679848E1
