"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
2,000966914E2;5,233944891E1;4,881571911E0;4,675144783E0;1,656960922E1;2,684345442E2;4,751096752E0;3,354342959E0
2,010966250E2;5,233944211E1;4,881335648E0;4,948332030E0;1,625283935E1;2,682301303E2;4,751226386E0;3,354159337E0
2,020965655E2;5,233943600E1;4,881105051E0;5,292356095E0;1,593532780E1;2,685797950E2;4,751068162E0;3,354383454E0
2,030965077E2;5,233942909E1;4,880879312E0;5,591462643E0;1,565364214E1;2,681361580E2;4,748719207E0;3,357707987E0
2,040964537E2;5,233941904E1;4,880659760E0;5,759488716E0;1,535942712E1;2,681175363E2;4,748519174E0;3,357990870E0
2,050964017E2;5,233941450E1;4,880447771E0;6,004957475E0;1,497919691E1;2,682822120E2;4,747600279E0;3,359289899E0
2,060963540E2;5,233940968E1;4,880238033E0;6,014681044E0;1,461608429E1;2,683257914E2;4,747832697E0;3,358961403E0
2,070963088E2;5,233940426E1;4,880032906E0;6,178612716E0;1,426524491E1;2,683257681E2;4,747705721E0;3,359140876E0
2,080962656E2;5,233940021E1;4,879833446E0;6,212958337E0;1,390064388E1;2,683296337E2;4,747046397E0;3,360072549E0
2,090962262E2;5,233939885E1;4,879633744E0;6,485780764E0;1,356056219E1;2,683192731E2;4,746697341E0;3,360565635E0
2,100961883E2;5,233939191E1;4,879444471E0;6,344160891E0;1,320546373E1;2,678994856E2;4,747845839E0;3,358942828E0
2,110961514E2;5,233938867E1;4,879254967E0;6,452331443E0;1,283618008E1;2,677339351E2;4,750211513E0;3,355596462E0
2,120961170E2;5,233938319E1;4,879069953E0;6,317796221E0;1,249718404E1;2,674163879E2;4,749637607E0;3,356408741E0
2,130960851E2;5,233937856E1;4,878890571E0;6,233011105E0;1,217577784E1;2,671714764E2;4,748307833E0;3,358289708E0
2,140960541E2;5,233937454E1;4,878715566E0;6,519383408E0;1,183786932E1;2,667846651E2;4,747205629E0;3,359847578E0
2,150960261E2;5,233936639E1;4,878551793E0;6,308288515E0;1,142103836E1;2,663634139E2;4,742411310E0;3,366611353E0
2,160959986E2;5,233936233E1;4,878386191E0;6,238568383E0;1,114085309E1;2,663236702E2;4,742801473E0;3,366061677E0
2,170959733E2;5,233935609E1;4,878233242E0;6,294181427E0;1,086093566E1;2,669077144E2;4,742305414E0;3,366760519E0
2,180959483E2;5,233935255E1;4,878084343E0;6,538600146E0;1,051068814E1;2,669141126E2;4,741212783E0;3,368299034E0
2,190959247E2;5,233934682E1;4,877935453E0;6,591005875E0;1,016976537E1;2,670765895E2;4,741755173E0;3,367535436E0
2,200959032E2;5,233934300E1;4,877793175E0;6,568066659E0;9,835327801E0;2,670905318E2;4,743779301E0;3,364683488E0
2,210958822E2;5,233933761E1;4,877654141E0;6,217564341E0;9,512456128E0;2,671080538E2;4,743340218E0;3,365302455E0
2,220958619E2;5,233933828E1;4,877515772E0;6,181054885E0;9,344117349E0;2,680444177E2;4,735909895E0;3,375750954E0
2,230958436E2;5,233933438E1;4,877384082E0;6,038274456E0;9,069234917E0;2,680693008E2;4,731608252E0;3,381777695E0
2,240958259E2;5,233932849E1;4,877256911E0;5,811175267E0;8,692665154E0;2,674006718E2;4,725174560E0;3,390761332E0
2,250958083E2;5,233932236E1;4,877132732E0;5,773378318E0;8,398479341E0;2,673502683E2;4,722232441E0;3,394857554E0
2,260957922E2;5,233931877E1;4,877023107E0;6,036779919E0;7,821073215E0;2,669770670E2;4,718263250E0;3,400371882E0
2,270957762E2;5,233931501E1;4,876910699E0;6,150197626E0;7,502782736E0;2,669468819E2;4,710882989E0;3,410589172E0
2,280957619E2;5,233931349E1;4,876804527E0;6,332156585E0;7,249335734E0;2,672045550E2;4,710615456E0;3,410958672E0
2,290957513E2;5,233931245E1;4,876706728E0;6,600183486E0;6,982651676E0;2,668949826E2;4,704659064E0;3,419169508E0
2,300957345E2;5,233930719E1;4,876610772E0;6,545996466E0;6,787220725E0;2,665922078E2;4,701098206E0;3,424063769E0
2,310957203E2;5,233930686E1;4,876515794E0;6,708524361E0;6,551658552E0;2,670787992E2;4,700389435E0;3,425036670E0
2,320957093E2;5,233930241E1;4,876425295E0;7,148414367E0;6,320093602E0;2,665724746E2;4,698848238E0;3,427150750E0
