"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
9,387776708E0;3,869660187E1;2,166862488E0;6,987915039E-1
9,488269708E0;3,189555359E1;1,309703827E1;2,086715698E0
9,588762708E0;2,013613129E1;1,744978333E1;2,133331299E-1
9,689255708E0;1,377574158E1;1,273368073E1;-2,761596680E0
9,789747708E0;1,740792847E1;6,351081848E0;-1,646011353E0
9,890240708E0;3,036932373E1;2,513221741E0;3,013610840E0
9,990733708E0;4,422041321E1;5,393104553E0;7,990753174E0
1,009122671E1;4,939367676E1;1,253776550E1;1,120231628E1
1,019171971E1;4,791381073E1;1,065974426E1;7,002670288E0
1,029221171E1;4,918201447E1;7,607864380E0;2,798553467E0
1,039270433E1;4,989205933E1;8,775657654E0;1,392974854E-1
1,049319733E1;4,987821198E1;5,817184448E0;-1,922409058E0
1,059369033E1;5,070944214E1;2,719627380E0;-4,746109009E0
1,069418333E1;5,270663452E1;3,272964478E0;-5,112182617E0
1,079467533E1;4,964825439E1;-3,027465820E0;-4,478027344E0
1,089516833E1;4,622355652E1;-1,341795731E1;-4,510879517E0
1,099566133E1;4,788932037E1;-2,054521179E1;-3,078903198E0
1,109615433E1;5,057914734E1;-1,879763794E1;-1,007324219E0
1,119664733E1;4,648973083E1;-9,455848694E0;-3,501586914E-1
1,129713933E1;4,065407562E1;-4,151588440E0;-6,331024170E-1
1,139763271E1;3,948915863E1;-2,989990234E0;-7,863464355E-1
1,149812571E1;4,774312592E1;6,607894897E-1;3,650283813E0
1,159861871E1;5,211094666E1;9,104293823E0;4,317962646E0
1,169911171E1;5,215591431E1;8,227317810E0;5,747070312E-1
1,179960371E1;5,303457642E1;2,401512146E0;-2,130493164E0
1,190009671E1;5,373069763E1;-6,865234375E0;-5,233001709E0
1,200058971E1;5,806378937E1;-1,324841690E1;-5,882400513E0
1,210108271E1;6,464449310E1;-9,887695312E0;-3,791229248E0
1,220157571E1;6,903768158E1;-2,856452942E0;-1,694290161E0
1,230206771E1;7,220915222E1;2,115028381E0;-4,086761475E-1
1,240256050E1;7,029349518E1;5,613258362E0;-9,010162354E-1
1,250305350E1;6,378978729E1;2,130935669E0;-2,582504272E0
1,260354650E1;6,259466553E1;-5,510810852E0;-2,679168701E0
1,270403950E1;6,676531219E1;-2,927513123E0;-1,477493286E0
1,280453150E1;6,638536835E1;2,028648376E0;-2,607864380E0
1,290502450E1;6,050283051E1;-7,281188965E-1;-6,028625488E0
