"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
7,679399875E0;-7,638032548E-5;-3,645022400E-3;-3,874585964E-4
7,779892875E0;-3,825530177E-3;-3,367825877E-3;2,735489747E-3
7,880384875E0;1,597412513E-3;-4,176506773E-4;8,189403452E-4
7,980877875E0;3,155842423E-4;-1,683946466E-3;1,501746941E-3
8,081370875E0;-2,539901994E-3;-5,255846772E-4;-1,163014676E-3
8,181863875E0;-8,066813461E-5;-2,903900808E-3;-1,085137483E-3
8,282356875E0;1,544487197E-3;-1,661463408E-3;-1,218743622E-3
8,382848958E0;-1,451858785E-3;-5,108314101E-3;4,760860465E-4
8,483341958E0;-2,486616373E-3;2,334841061E-3;-9,008459747E-4
8,583834958E0;1,678789267E-3;4,907337017E-3;4,559964873E-4
8,684327958E0;-5,015820265E-3;-4,516406916E-3;1,821813639E-3
8,784820958E0;-1,065748744E-3;-5,146891810E-3;-5,832454190E-5
8,885312958E0;4,070384428E-3;3,113691229E-3;-7,651676424E-4
8,985805958E0;-2,110090107E-3;7,882261416E-4;-1,646149904E-4
9,086298958E0;-4,646636080E-4;1,713361475E-3;3,670162288E-3
9,186791958E0;-2,820501570E-3;-2,672435716E-3;8,168146014E-4
9,287283958E0;1,798077021E-3;3,863982391E-3;1,904820092E-4
9,387776708E0;-3,720179666E-4;-4,376895726E-3;1,036950387E-3
9,488269708E0;-2,487490186E-3;-1,229157439E-3;-1,370441634E-3
9,588762708E0;3,143714974E-3;6,562225521E-3;3,822864965E-4
9,689255708E0;-2,362082247E-3;-9,811228141E-3;-1,317220274E-3
9,789747708E0;-3,260199446E-4;1,298409887E-3;-2,788300626E-4
9,890240708E0;-9,898467921E-3;-1,236911863E-2;-4,799524322E-5
9,990733708E0;-7,565853652E-3;-1,115334779E-2;4,698460922E-3
1,009122671E1;6,615791470E-3;1,440032106E-2;1,354939304E-3
1,019171971E1;2,455238951E-3;7,764947601E-3;-7,825866342E-4
1,029221171E1;-1,116521657E-3;-6,344058551E-3;3,607720137E-4
1,039270433E1;2,944239648E-3;9,825258749E-4;-1,981234178E-3
1,049319733E1;-2,680213191E-3;-1,011082204E-3;-1,730113756E-3
1,059369033E1;-7,482841611E-4;-7,236605044E-3;-1,039756462E-3
1,069418333E1;1,599898678E-3;2,385134809E-3;1,422688365E-4
1,079467533E1;4,292062949E-3;7,534580305E-3;-3,565312363E-4
1,089516833E1;-1,593156485E-3;-6,998244673E-3;2,217558213E-4
1,099566133E1;-7,575437427E-3;-1,130503416E-2;-1,942688599E-3
1,109615433E1;7,300540805E-3;1,513703633E-2;-1,269637607E-3
1,119664733E1;1,154449536E-3;8,851215243E-3;1,017564908E-3
1,129713933E1;-7,682425901E-3;-7,460341789E-3;-1,653588377E-3
1,139763271E1;-1,545463223E-3;3,319563344E-3;7,153311744E-4
1,149812571E1;3,747712821E-3;7,227517664E-3;-1,147503965E-3
1,159861871E1;-3,133700928E-3;-4,585081711E-3;-2,122093923E-3
1,169911171E1;-1,932460116E-3;-7,540018298E-3;-2,087749075E-3
1,179960371E1;-1,443264773E-3;-3,561287653E-3;1,691421494E-4
1,190009671E1;-1,311775530E-3;2,540124813E-3;-2,137772739E-3
1,200058971E1;-1,683199313E-3;-1,850518165E-3;7,168902084E-5
1,210108271E1;-7,444120944E-3;-1,468625758E-2;-6,533171982E-4
1,220157571E1;-1,362429466E-3;-3,686680458E-3;-1,873304602E-3
1,230206771E1;-3,567379899E-4;2,540953457E-3;-1,251929905E-3
1,240256050E1;6,690534763E-3;9,880184196E-3;1,011603512E-3
1,250305350E1;-5,693865474E-3;-1,226339489E-3;4,052147269E-4
1,260354650E1;-4,405626096E-4;2,407049760E-3;-1,910252031E-3
1,270403950E1;-3,937097732E-3;3,090528771E-3;-1,182371285E-3
1,280453150E1;-2,780682407E-3;-6,582184229E-3;-1,614522189E-3
1,290502450E1;-5,823876709E-3;-2,958154306E-3;7,478245534E-4
1,300551750E1;-2,702070400E-3;-4,058196209E-4;1,731645316E-3
1,310601050E1;-2,908562776E-3;2,568209544E-3;-7,090135477E-4
1,320650350E1;-5,704375915E-3;-6,101748906E-3;-9,530815296E-4
1,330699550E1;-3,996996675E-3;-5,844183266E-3;3,856234252E-5
1,340748850E1;-1,485216059E-2;-1,394243911E-2;-3,872490488E-4
1,350798150E1;-5,223236047E-3;2,961511491E-4;6,960062310E-4
1,360847450E1;-4,327686038E-4;6,821924821E-3;-1,570589375E-3
1,370896750E1;-3,872698173E-3;3,517472185E-3;-1,897290349E-4
1,380945950E1;-9,154523723E-3;-6,746424362E-3;2,421609825E-3
1,390995250E1;-9,871618822E-3;1,332616201E-3;2,628733870E-3
1,401044550E1;-9,060464799E-3;1,404718496E-4;2,434368478E-3
1,411093850E1;-7,977295667E-3;-5,463989452E-3;1,170922536E-3
1,421143150E1;-8,692747913E-3;-1,105673378E-3;1,363343559E-3
1,431192350E1;-8,541103452E-3;-4,562290851E-4;4,086916801E-3
1,441241675E1;-3,268622328E-3;8,163777180E-3;3,339515766E-3
1,451290975E1;-7,402071729E-3;-1,641459763E-3;9,834324010E-4
1,461340275E1;-1,080041984E-3;1,395645551E-3;2,880217042E-3
1,471389575E1;-9,273687378E-3;-1,076684799E-2;-9,635323659E-5
1,481438775E1;-7,481285837E-3;-2,272351645E-3;1,023450866E-3
1,491488075E1;-5,854990333E-3;-1,809152309E-3;5,713627208E-3
1,501537375E1;-1,494936645E-2;-1,405216195E-2;4,215437919E-3
1,511586675E1;-9,990274906E-3;-2,369597787E-3;2,288701944E-3
1,521635975E1;-8,989499882E-3;1,017175708E-2;1,000484452E-3
1,531685175E1;-1,094954554E-2;-4,498288035E-7;1,676361542E-3
1,541734471E1;-6,252210587E-3;7,370726205E-3;2,849148586E-3
1,551783771E1;-1,077314466E-2;-2,723491518E-3;-9,188335389E-5
1,561833071E1;-4,686928354E-3;7,023220882E-3;3,992430866E-4
