"Time (s)";"X (hPa)"
2,107939727E2;1,015302582E3
2,118664227E2;1,015300369E3
2,129388287E2;1,015296783E3
2,140112607E2;1,015293121E3
2,150836907E2;1,015290909E3
2,161560867E2;1,015288620E3
2,172285117E2;1,015286484E3
2,183009177E2;1,015286255E3
2,193733467E2;1,015285034E3
2,204457357E2;1,015285645E3
2,215181677E2;1,015285645E3
2,225905917E2;1,015289230E3
2,236630337E2;1,015293274E3
2,247354687E2;1,015296249E3
2,258079007E2;1,015299759E3
2,268803427E2;1,015299759E3
2,279527747E2;1,015295792E3
2,290252027E2;1,015293274E3
2,300976747E2;1,015289230E3
2,311701457E2;1,015289230E3
2,322425527E2;1,015290985E3
2,333149867E2;1,015293121E3
2,343874097E2;1,015295563E3
2,354598257E2;1,015298691E3
2,365322457E2;1,015303955E3
2,376047197E2;1,015305099E3
2,386771627E2;1,015305099E3
2,397496867E2;1,015304260E3
2,408221817E2;1,015301208E3
2,418946777E2;1,015297470E3
2,429671637E2;1,015292435E3
2,440396787E2;1,015292435E3
2,451121697E2;1,015297089E3
2,461846767E2;1,015297699E3
