"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
-8,587499906E-4;-5,043312378E0;4,376149750E0;6,987918549E0
9,963925002E-2;-2,476599884E0;2,178869019E0;8,650810547E0
2,001372500E-1;-1,802551575E0;1,743723907E0;5,841602325E0
3,006352500E-1;-1,801204376E0;1,470691681E0;7,721542969E0
4,011322500E-1;-1,910028076E-1;1,221759338E0;1,184232376E1
5,016302500E-1;-4,345463562E-1;-2,718347168E-1;1,111528564E1
6,021282500E-1;4,082011414E-1;1,348695374E-1;6,592141571E0
7,026262500E-1;4,128414917E0;1,052012329E0;1,461410980E0
8,031242500E-1;4,971611481E0;-2,521356812E0;1,214574280E0
9,036222500E-1;7,985444183E0;-8,049361267E0;8,611741791E0
1,004119000E0;1,049662216E1;-1,493399460E1;7,748187561E0
1,104616000E0;1,568603073E1;-1,478235992E1;9,851463776E0
1,200089000E0;1,162123352E1;-7,975115662E0;2,120340729E0
1,300587000E0;5,050647125E0;-8,687933350E0;1,495240631E0
1,401085000E0;2,663112030E0;-7,682324524E0;4,093986511E0
1,501583000E0;1,782193909E0;-7,633675690E0;1,213526459E0
1,602081000E0;1,455573120E0;-1,131661697E1;3,773652649E0
1,702579000E0;-2,782114563E0;-5,536686401E0;-8,163424072E0
1,803076000E0;3,281326447E0;-8,913663940E0;5,652246094E-1
1,903574000E0;2,741099854E0;-8,974287872E0;3,891906738E-1
2,004072417E0;3,845802612E0;-5,869145050E0;1,043779449E0
2,104570417E0;7,375312958E0;-8,915909271E0;4,380490723E0
2,205068417E0;1,080213684E1;-5,824837189E0;-1,450184326E0
2,305566417E0;-5,101391602E-1;-1,053928345E1;-1,768272858E0
2,406064417E0;-1,531016235E0;-8,224946136E0;6,441105652E-1
2,506562417E0;-7,689509583E-1;-6,274502106E0;-2,041754150E-1
2,607060417E0;6,587800598E-1;-1,179592026E1;-0,000000000E0
2,707557417E0;-7,851173401E-1;-1,033091675E1;-7,020401001E-2
2,808055417E0;-5,247188416E0;-9,070388031E0;-5,899232483E0
2,908553417E0;2,586172028E0;-1,604004456E1;-1,917811890E0
3,009051667E0;-2,883603516E0;-5,873935089E0;3,042572937E0
3,109549667E0;-2,991828461E0;-1,045006897E1;-2,796185303E-1
3,210047667E0;2,155218201E0;-1,240141113E1;3,245850220E0
3,310545667E0;-2,015408936E0;-1,680734894E1;-3,795656891E0
3,411043667E0;-2,617307281E0;-9,636660461E0;-1,637594604E0
3,511541667E0;-2,900218964E0;-8,240364075E0;5,348377991E-1
3,612038667E0;7,863148499E-1;-7,576344910E0;-6,786886597E-1
3,712536667E0;-1,864822083E0;-1,002854553E1;3,031196594E-1
3,813034667E0;5,204676819E-1;-1,064316742E1;9,101074219E-1
3,913533125E0;-4,877606964E0;-7,454198914E0;-2,759361877E0
4,014031125E0;-9,059161377E-1;-1,246353195E1;-3,357368317E0
4,114529125E0;-1,113534393E0;-3,787274323E0;5,407355347E0
4,215027125E0;-3,144061890E0;-7,498806152E0;-1,332828369E0
4,315525125E0;8,516240387E0;-1,530896484E1;5,994135132E0
4,416023125E0;-1,983375549E0;-1,725746292E1;4,255650330E-1
4,516520125E0;-5,645510101E0;-9,309889984E0;1,812730408E-1
4,617018125E0;-9,074130249E-1;-9,123677216E0;3,263214111E-1
4,717516125E0;5,614823914E-1;-7,265591125E0;-1,872605896E-1
4,818014125E0;-1,313069458E0;-1,008288254E1;4,612208862E0
4,918511792E0;4,011657715E-2;-1,130793503E1;1,357826385E0
5,019009792E0;-4,440964966E0;-8,729995880E0;-1,128054199E0
5,119507792E0;3,218307495E-2;-2,004406815E1;-4,834646301E0
5,220005792E0;-3,198099518E0;-4,514162750E0;8,726253662E0
5,320503792E0;-1,556762695E0;-6,888674927E0;-2,278262329E-1
5,421001792E0;9,478289795E0;-1,560250443E1;6,926695862E0
5,521499792E0;-1,096170502E0;-1,660916107E1;-1,952389984E0
5,621997792E0;-4,917424164E0;-1,110375961E1;1,989363098E-1
5,722495792E0;2,119592285E-1;-9,291627960E0;-5,833369446E-1
5,822993792E0;1,731898499E-1;-7,918982391E0;1,483415222E-1
5,923491417E0;-1,414408722E0;-1,033136581E1;5,535488892E0
6,023989417E0;9,156459045E-1;-1,191701843E1;3,869453430E0
6,124487417E0;-3,966302032E0;-1,012404694E1;-2,311193848E0
6,224985417E0;2,781815186E0;-1,445918198E1;-6,733447723E0
6,325483417E0;-2,197729797E0;-4,813839569E0;8,141120453E0
6,425981417E0;-2,190395050E0;-7,466772766E0;1,047821045E-1
6,526479417E0;7,382647705E0;-1,403691010E1;7,922574921E0
6,626977417E0;1,661544800E-2;-1,795231796E1;-1,348246307E0
6,727475417E0;-6,934329987E0;-9,637558594E0;1,730850677E0
6,827973417E0;2,283950500E0;-8,686586151E0;1,790875854E0
6,928471625E0;6,686595154E-1;-8,521629181E0;3,207829285E-1
7,028969625E0;-1,544188843E0;-7,656278687E0;5,652844849E0
7,129467625E0;5,611830139E-1;-1,020248383E1;4,807103577E0
7,229965625E0;-5,758824463E0;-1,476828918E1;-2,448907471E0
7,330463625E0;6,015839996E0;-1,109567642E1;-8,970096588E0
7,430961625E0;-4,540058899E0;-4,346810760E0;6,181695099E0
7,531459625E0;-8,448431396E-1;-8,076454926E0;4,086502075E-1
7,631957625E0;4,681963806E0;-9,934690704E0;6,896309052E0
7,732455625E0;-4,165088654E0;-1,065020279E1;-2,938090210E0
7,832953625E0;-6,849755859E0;-9,470805359E0;1,618434448E0
7,933451875E0;2,509980469E0;-6,431226196E0;1,764979706E0
8,033949875E0;-6,496490479E-2;-1,082129700E1;1,119072876E0
8,134447875E0;1,551074524E0;-4,584217072E0;4,946314087E0
8,234945875E0;-1,179846497E0;-8,398734741E0;9,437873840E-1
8,335443875E0;-6,480773163E0;-1,854074432E1;1,152752838E0
8,435941875E0;5,410648499E0;-4,481680298E0;-5,325625305E0
8,536439875E0;-3,715124359E0;-6,369255066E0;2,883453827E0
8,636937875E0;2,948269043E0;-8,162076874E0;3,964655457E0
8,737435875E0;-1,149609375E-1;-9,538464661E0;3,889661407E0
8,837933875E0;-5,359155579E0;-8,500972137E0;-9,093589783E-1
8,938431542E0;-5,696553955E0;-9,221124573E0;2,052382050E0
9,038929542E0;3,267854462E0;-7,486831055E0;6,851252747E-1
9,139428542E0;-7,072792053E-1;-1,070992859E1;1,638642426E0
9,239926542E0;6,830296326E-1;-6,022276611E0;3,346590729E0
9,340424542E0;-1,023571472E0;-6,560856628E0;1,394799500E0
9,440922542E0;-7,056026917E0;-2,060914307E1;1,464255066E0
9,541420542E0;6,798262939E0;-5,492977295E0;-6,837182007E0
9,641918542E0;-6,528224487E0;-5,879323883E0;4,625980225E0
9,742416542E0;3,112627258E0;-7,865244141E0;3,157533875E0
9,842914542E0;5,370831299E-1;-8,565338287E0;4,836292877E0
9,943413167E0;-4,596790924E0;-8,331823883E0;-8,876541138E-1
1,004391117E1;-6,790030060E0;-1,023661285E1;2,085912323E0
1,014440917E1;3,278182983E0;-7,420219574E0;2,495909729E0
1,024490717E1;8,298742676E-1;-1,051054321E1;1,294358368E0
1,034540517E1;1,904040527E-1;-6,130202179E0;5,117108917E0
1,044590317E1;-9,639953613E-1;-7,972720642E0;3,214265900E0
1,054640117E1;-7,016359406E0;-1,952135513E1;1,841171265E-2
1,064689917E1;6,775959320E0;-6,843768311E0;-9,015452271E0
1,074739717E1;-6,263724518E0;-5,144651642E0;4,764741669E0
1,084789517E1;1,351689148E0;-6,707551575E0;2,925366669E0
1,094839350E1;2,226919098E0;-1,159369080E1;3,791764984E0
1,104889150E1;-2,196681976E0;-8,796158295E0;-6,596781921E-1
1,114938950E1;-5,830675049E0;-8,932225342E0;1,136736145E0
1,124988750E1;1,573827209E0;-8,886570282E0;5,155279541E-1
1,135038550E1;2,387984161E0;-7,786358185E0;5,709127808E-1
1,145088350E1;-1,931583252E0;-1,009351044E1;4,121978302E0
1,155138150E1;6,557862854E-1;-1,044198578E1;2,993924103E0
1,165187950E1;-2,860102386E0;-7,738308105E0;-1,021176453E0
1,175237750E1;2,736010437E0;-1,736224503E1;-4,165537720E0
1,185287550E1;-1,170116730E0;-5,007087708E0;1,009545639E1
1,195337350E1;-7,066804504E-1;-7,760162659E0;-1,283431091E0
1,205387150E1;8,492589569E0;-1,453716980E1;7,215744781E0
1,215436950E1;2,288890228E0;-1,788510773E1;2,002236328E0
1,225486750E1;-5,601052551E0;-1,291918442E1;-1,941462708E-1
1,235536550E1;-1,729204102E0;-8,223299561E0;2,346520386E0
1,245586350E1;2,278561707E0;-7,580386505E0;-4,451742554E-1
1,255636150E1;3,375480652E-1;-9,918973389E0;2,316283264E0
1,265686050E1;4,062551880E-1;-9,428742828E0;2,673889618E0
1,275735850E1;-3,430865479E-1;-5,680387573E0;-1,774709473E0
1,285785650E1;-5,613027649E0;-2,330009720E1;2,812950439E0
1,295835438E1;4,600982208E0;-4,583169250E0;-9,430389404E-2
1,305885238E1;-4,432582397E0;-7,478149109E0;2,946323090E0
1,315935038E1;9,778415680E0;-1,167227737E1;4,692442017E0
1,325984838E1;3,906875610E-2;-7,688761139E0;3,782783661E0
1,336034638E1;-8,472381592E0;-9,482481079E0;1,187929688E0
1,346084438E1;-2,621947632E0;-1,072609497E1;4,130660248E0
1,356134238E1;1,188827820E0;-5,824986877E0;1,164877625E0
1,366184038E1;1,461261292E0;-1,136541550E1;1,441053314E0
1,376233838E1;1,882485352E0;-5,971083069E0;5,024002533E0
1,386283638E1;-6,316864014E-1;-4,962031403E0;1,275946655E0
1,396333467E1;-4,472998352E0;-2,375140869E1;3,467539215E0
1,406383267E1;5,050048370E0;-3,706442413E0;-2,064656525E0
1,416433067E1;-5,313350830E0;-7,444020081E0;2,559228058E0
1,426482867E1;4,431384888E0;-7,835456085E0;5,244943085E0
1,436532667E1;4,962181091E-1;-1,041279648E1;2,866239624E0
1,446582467E1;-5,958958282E0;-9,171128540E0;-1,480421448E-1
1,456632267E1;-3,554957428E0;-1,106409210E1;1,072669373E0
1,466682067E1;1,027313690E0;-5,187462616E0;2,296224976E0
1,476731867E1;1,646575928E-2;-1,158515854E1;-1,474433899E-1
1,486781667E1;9,253756714E-1;-6,150410156E0;6,232589264E0
1,496831500E1;-7,479945374E-1;-1,018676651E1;3,657344513E0
1,506881300E1;-5,998476105E0;-1,350192261E1;-1,104104004E0
1,516931100E1;6,613397369E0;-1,003498215E1;-8,009095001E0
1,526981000E1;-3,830234985E0;-4,640200653E0;7,546407166E0
1,537030800E1;-1,094074860E0;-7,365583191E0;6,818321228E-1
1,547080600E1;6,035898285E0;-1,127440475E1;7,062762909E0
1,557130400E1;-2,161505127E0;-9,124874725E0;-7,165599060E-1
1,567180200E1;-5,132227478E0;-1,117740646E1;1,224304047E0
1,577230000E1;1,359922028E0;-8,647068329E0;8,548722839E-1
1,587279800E1;3,372486877E-1;-8,300389252E0;4,340972900E-3
1,597329579E1;-1,155447235E0;-9,658964081E0;3,863016815E0
1,607379379E1;4,085005188E-1;-1,091036179E1;4,252357178E0
1,617429179E1;-2,940185852E0;-1,130074997E1;-2,101330261E0
1,627478979E1;4,288132782E0;-1,275273056E1;-7,543862457E0
1,637528779E1;-3,145708466E0;-4,480333099E0;7,269632721E0
1,647578579E1;-2,150577850E0;-8,007897491E0;-1,580712891E-1
1,657628279E1;6,969057770E0;-1,201132233E1;8,102650452E0
1,667678079E1;2,484832764E-1;-1,172197403E1;-3,707939301E0
1,677727879E1;-6,091582489E0;-8,947343903E0;1,467099152E0
1,687777679E1;2,919528809E0;-8,578211517E0;7,286846924E-1
1,697827438E1;-5,899232483E-1;-8,718020782E0;1,062490540E0
1,707877238E1;-1,019529877E0;-9,179810486E0;5,302273865E0
1,717927038E1;8,105644226E-1;-8,736432495E0;5,364394684E0
1,727976838E1;-5,228776703E0;-1,317096085E1;-2,836451569E0
1,738026638E1;5,854475555E0;-1,278521301E1;-6,778354340E0
1,748076438E1;-4,120481415E0;-5,575455780E0;6,925648041E0
1,758126238E1;-9,047186279E-1;-6,930887146E0;2,052232361E-1
1,768176038E1;7,762857056E0;-1,260992752E1;7,883356476E0
1,778225838E1;1,230291595E0;-2,454670486E1;-1,772464142E0
1,788275638E1;-5,462889862E0;-8,116721191E0;-1,279838562E-1
1,798325454E1;1,828597412E0;-8,902287598E0;1,245110779E0
1,808375254E1;2,508483582E0;-9,727671204E0;7,286846924E-1
1,818425054E1;-5,920188904E-1;-8,434210968E0;5,495821381E0
1,828474854E1;-1,198856964E0;-9,074130249E0;3,706442413E0
1,838524654E1;-5,789360962E0;-1,937226517E1;-8,608598328E-1
1,848574354E1;6,770121460E0;-1,082069824E1;-6,315367126E0
1,858624154E1;-5,065615997E0;-5,350773010E0;4,935985565E0
1,868673954E1;-5,929170227E-1;-6,255192261E0;1,526675262E0
1,878723754E1;8,574319611E0;-1,328217957E1;6,608008575E0
1,888773554E1;-1,529968414E0;-1,047985703E1;-8,860075378E-1
1,898823388E1;-4,753964081E0;-9,932894440E0;9,684860229E-1
1,908873188E1;1,599873047E0;-8,198900299E0;2,079176331E-1
1,918922988E1;1,261576538E0;-8,920699310E0;8,186476135E-1
1,928972788E1;-9,903405762E-1;-9,822274475E0;5,329217834E0
1,939022588E1;-5,249583435E-1;-9,462422791E0;3,517385559E0
1,949072388E1;-3,265160065E0;-1,239437576E1;-1,644929352E0
1,959122088E1;5,116959229E0;-1,275108398E1;-6,203100586E0
1,969171888E1;-2,817590790E0;-4,030518494E0;7,649991760E0
1,979221688E1;-1,406325531E0;-8,599317627E0;7,342231750E-1
1,989271488E1;7,262297974E0;-1,090482330E1;7,533683624E0
1,999321250E1;-5,388793945E-2;-1,248808090E1;-3,335064697E0
2,009371050E1;-6,509962463E0;-9,487869873E0;1,688488770E0
