"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1717574633,211;"2024-06-05 10:03:53.211 UTC+02:00"
"PAUSE";2,716758587E2;1717574904,887;"2024-06-05 10:08:24.887 UTC+02:00"
