"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
5,531979166E-2;-7,963904738E-1;-6,077512503E-1;1,090399846E-1
1,558137917E-1;-1,158160925E0;-8,238752484E-1;5,932257324E-2
2,563087917E-1;-8,117130995E-1;-6,925748587E-1;1,710748225E-1
3,568037917E-1;-8,215456009E-1;-7,461742163E-1;6,639841199E-2
4,572987917E-1;-1,550057083E-1;-3,034256697E-1;-1,022042632E-1
5,577937917E-1;-1,288150698E-1;-1,145141423E-1;-4,122647643E-1
6,582887917E-1;-7,212769389E-1;-4,950049520E-1;2,035537809E-1
7,587837917E-1;3,096188605E-1;9,252629876E-1;-2,087453902E-1
8,592787917E-1;-1,792013645E0;-1,557340860E0;2,647785842E-1
9,597734167E-1;-1,714936942E-1;-1,358487964E0;9,062737226E-1
1,060268417E0;-2,512615919E-1;5,197222233E-1;-8,650749326E-1
1,160763417E0;1,046001434E0;-7,744044065E-1;2,598381042E-1
1,261258417E0;3,372476101E-1;-6,288753748E-1;1,172467247E-1
1,361753417E0;-6,375389099E-1;-1,198452950E0;9,538464993E-2
1,462248417E0;-1,880401969E0;-1,318359137E0;5,344526768E-1
1,562743417E0;-2,718508959E0;-2,181078911E0;1,455450773E0
1,663238417E0;-1,415259242E0;-4,069161415E0;2,175846577E0
1,763733417E0;-1,410555959E0;-2,378650188E0;2,926574707E0
1,864228417E0;-9,984307289E-1;-2,530408800E-1;1,919987440E0
1,964724917E0;-1,395462751E0;3,188574791E0;-1,507635564E-1
2,065219917E0;6,966166496E-1;2,837004900E0;2,041380256E-1
2,165714917E0;-4,780574739E-1;2,792851627E-1;-1,033742547E0
2,266209917E0;-4,843161702E-1;1,828213930E0;-1,216097102E-1
2,366704917E0;3,505377769E-1;9,352100492E-1;7,269539237E-1
2,467199917E0;5,267742276E-1;2,738473117E-1;-1,467991620E-1
2,567695917E0;-1,576257199E-1;1,553602070E-1;3,036260903E-1
2,668190917E0;-1,921795845E0;1,745232821E0;5,103421807E-1
2,768685917E0;-1,502094269E0;-9,207654595E-1;1,904503584E0
2,869180917E0;1,417656690E-1;-1,261605263E0;4,976429343E-1
2,969675167E0;8,528497219E-1;5,069478154E-1;7,224240303E-1
3,070171167E0;1,105352402E0;-2,700660706E0;-1,078815579E0
3,170666167E0;6,833902597E-1;-1,659113288E0;-3,001616597E-1
3,271161167E0;3,455658630E-2;-2,298859358E-1;-1,182965994E0
3,371656167E0;-1,419652820E0;-9,505670667E-1;2,727600336E-1
3,472152167E0;-5,798094869E-1;3,001853526E-1;7,869455963E-2
3,572647167E0;-1,757987499E0;-6,863998771E-1;-1,719161034E0
3,673142167E0;6,232914329E-1;-4,364713430E-1;-1,017488003E0
3,773638167E0;8,766168356E-1;9,683204889E-1;1,280257702E0
3,874133167E0;-4,346497953E-1;4,322206974E0;2,469789743E0
3,974628583E0;6,698037982E-1;7,174046636E-1;1,447561026E0
4,075124583E0;4,277089834E-1;1,434823424E-1;4,978435338E-1
4,175619583E0;-1,051831365E0;1,298939139E-1;4,136418998E-1
4,276114583E0;9,732842445E-1;-3,663170576E0;1,023859262E0
4,376610583E0;-1,876718879E0;1,580895066E0;-6,187784076E-1
4,477105583E0;-8,189783096E-1;-2,603437304E-1;3,981021643E-1
4,577601583E0;-1,725240946E0;7,091827393E-1;4,922261536E-1
4,678096583E0;-8,776239753E-1;1,224914670E0;-1,046995640E0
4,778591583E0;-1,742056161E-1;-2,447468996E0;3,209965527E-1
4,879087583E0;-1,814475358E-1;-4,416183829E-1;3,955067098E-1
4,979582208E0;5,633678753E-3;-6,201228499E-1;-1,111452937E0
5,080078208E0;2,809862494E-1;-1,532721519E0;1,913195848E-1
5,180573208E0;-1,182997227E0;-1,558650434E-1;2,049929649E-1
5,281069208E0;6,015086174E-1;7,545801401E-1;6,821722388E-1
5,381564208E0;1,665383339E0;7,960893512E-1;6,218493581E-1
5,482060208E0;-4,519908689E-3;-3,733723462E-1;-1,253385425E0
