"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
9,345330281E0;-1,867819977E1;4,728720093E1;1,366399956E1
9,445330281E0;-2,210639954E1;4,360279846E1;1,989819908E1
9,545330281E0;-1,993479919E1;4,267559814E1;2,416819954E1
9,645330281E0;-1,643339920E1;4,280979919E1;2,610799980E1
9,745330281E0;-1,459119987E1;4,139459991E1;2,845039940E1
9,845330281E0;-1,404220009E1;4,490819931E1;2,206979942E1
9,945330281E0;-8,661999702E0;4,925139999E1;1,401779938E1
1,004533028E1;-4,147999763E0;5,076419830E1;9,747799873E0
1,014533028E1;3,306200027E0;5,072760010E1;3,416000009E-1
1,024533028E1;7,551799774E0;5,023959732E1;-1,549399972E0
1,034533028E1;8,173999786E0;4,971500015E1;-1,927599907E0
1,044533028E1;2,769399881E0;4,976379776E1;3,830799818E0
1,054533028E1;-1,016259956E1;4,672599792E1;1,117519951E1
1,064533028E1;-1,402999973E1;4,382239914E1;1,626259995E1
1,074533028E1;-1,294419956E1;4,229739761E1;1,944680023E1
1,084533028E1;-1,087020016E1;4,206559753E1;2,014220047E1
1,094533028E1;-8,283800125E0;4,111399841E1;2,126459885E1
1,104533028E1;-8,052000046E0;4,249259949E1;1,607959938E1
1,114533028E1;-2,354599953E0;4,481060028E1;9,442799568E0
1,124533028E1;2,927999973E0;4,538399887E1;3,891799927E0
1,134533028E1;9,491600037E0;4,376139832E1;-3,403800011E0
1,144533028E1;1,155340004E1;4,273659897E1;-4,343199730E0
1,154533028E1;8,588799477E0;4,307819748E1;-1,036999941E0
1,164533028E1;1,561599970E0;4,313919830E1;5,258199692E0
1,174533028E1;-9,894199371E0;4,025999832E1;1,091899967E1
1,184533028E1;-9,698999405E0;3,856419754E1;1,589659977E1
1,194533028E1;-7,234600067E0;3,867399979E1;1,567700005E1
1,204533028E1;-7,393199921E0;3,767359924E1;1,737279892E1
1,214533028E1;-5,782799721E0;3,771019745E1;1,483519936E1
1,224533028E1;-3,062199831E0;3,924739838E1;9,869799614E0
1,234533028E1;1,805599928E0;4,029660034E1;5,001999855E0
1,244533028E1;3,879599810E0;4,011359787E1;1,012599945E0
1,254533028E1;1,038220024E1;3,830799866E1;-3,928400040E0
1,264533028E1;1,121179962E1;3,800299835E1;-3,989399910E0
1,274533028E1;7,978799820E0;3,922299957E1;-2,928000093E-1
1,284533028E1;1,220000029E0;3,911320114E1;5,660799980E0
1,294533028E1;-1,021140003E1;3,624620056E1;1,317599964E1
1,304533028E1;-9,406199455E0;3,468460083E1;1,725079918E1
1,314533028E1;-7,454199791E0;3,509939957E1;1,819019890E1
1,324533028E1;-6,880799770E0;3,364759827E1;2,086199951E1
1,334533028E1;-5,270400047E0;3,472119904E1;1,986159897E1
1,344533028E1;-2,952399969E0;3,769799805E1;1,299300003E1
1,354533028E1;1,598199964E0;3,913759995E1;9,235400200E0
1,364533028E1;3,208600044E0;3,980859756E1;5,929199696E0
1,374533028E1;1,011380005E1;3,868619919E1;1,317600012E0
1,384533028E1;9,979599953E0;3,874720001E1;1,964200020E0
1,394533028E1;4,330999851E0;3,910099792E1;7,929999828E0
1,404533028E1;-3,476999998E0;3,823479843E1;1,221220016E1
1,414533028E1;-1,232199955E1;3,230559921E1;2,263099861E1
1,424533028E1;-1,013819981E1;2,857239914E1;2,812100029E1
1,434533028E1;-9,052399635E0;2,378999901E1;3,293999863E1
1,444533028E1;-5,001999855E0;1,872699928E1;3,707579803E1
1,454533028E1;-3,293999910E0;2,874320030E1;3,024379921E1
1,464533028E1;-3,196399927E0;3,398920059E1;2,514419937E1
1,474533028E1;-1,342000008E0;3,706359863E1;2,103279877E1
1,484533028E1;1,036999941E0;3,897900009E1;1,743379974E1
1,494533028E1;-2,183799982E0;4,162639999E1;1,196819973E1
1,504533028E1;-2,415600061E0;4,209000015E1;1,072379971E1
1,514533028E1;-9,637999535E-1;4,277320099E1;9,869799614E0
1,524533028E1;1,585999966E0;4,365159988E1;8,039799690E0
1,534533028E1;6,221999645E0;4,499359894E1;5,538799763E0
1,544533028E1;3,171999931E0;4,601839828E1;6,539199829E0
1,554533028E1;-2,232599974E0;4,655519867E1;8,857199669E0
1,564533028E1;-9,564800262E0;4,600619888E1;9,796599388E0
1,574533028E1;-2,302140045E1;3,673419952E1;2,064239883E1
1,584533028E1;-2,426580048E1;3,087819862E1;2,849919891E1
1,594533028E1;-2,204539871E1;2,890180016E1;3,306200027E1
1,604533028E1;-1,886120033E1;2,929220009E1;3,542879868E1
1,614533028E1;-1,287099934E1;3,413560104E1;3,319619751E1
1,624533028E1;-1,185839939E1;4,004039764E1;2,652279854E1
1,634533028E1;-9,674599648E0;4,432259750E1;1,993479919E1
1,644533028E1;-5,233799934E0;4,748239899E1;1,379819965E1
1,654533028E1;3,062199831E0;4,814119720E1;1,139480019E1
1,664533028E1;6,160999775E0;4,822660065E1;9,515999794E0
