"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
9,092886248E0;-2,871387303E-1;-1,213938713E1;1,393819213E0
9,192886248E0;-4,938187599E0;-1,290389442E1;-2,355135679E0
9,292886248E0;-8,050053596E0;-1,350927830E1;1,316650629E0
9,392886248E0;-1,813759565E0;-5,810969830E0;-2,015953064E-1
9,492886248E0;-2,918047190E0;-1,113858938E0;1,604985833E0
9,592886248E0;3,452843189E0;-1,816810417E1;-6,135795593E0
9,692886248E0;1,201795220E0;-7,499704361E0;-5,182255745E0
9,792886248E0;-4,559523582E0;-4,948955536E0;4,738985062E0
9,892886248E0;-1,368096352E0;-1,232722378E1;3,282354355E0
9,992886248E0;-1,625324726E0;-7,971090317E0;1,816152334E0
1,009288625E1;-3,195016384E0;-8,566903114E0;-1,937588096E0
1,019288625E1;-1,529611826E0;-9,886545181E0;1,460219979E0
1,029288625E1;-3,493520916E-1;-1,228654575E1;-1,860419661E-1
1,039288625E1;-4,792225361E0;-1,232782269E1;-2,224726915E0
1,049288625E1;-2,565704107E0;-9,611370087E0;1,076770186E0
1,059288625E1;-1,262812138E0;-7,325028419E0;-9,092726111E-1
1,069288625E1;-2,539382935E0;-3,927220106E0;-1,147956610E0
1,079288625E1;5,114060402E0;-1,839303017E1;-6,964908600E0
1,089288625E1;-3,128017426E0;-1,242891884E1;8,392825127E-1
1,099288625E1;-5,024927616E0;-8,349754333E0;8,015955687E-1
1,109288625E1;-1,505085468E0;-1,174397373E1;1,585244983E-1
1,119288625E1;-1,232901812E0;-7,682755470E0;1,247856975E0
1,129288625E1;-2,171486616E0;-9,418747902E0;-1,039681435E0
1,139288625E1;1,369891018E-1;-1,056191921E1;7,591229677E-1
1,149288625E1;6,257231236E-1;-1,215494061E1;-1,124626637E0
1,159288625E1;-6,906882763E0;-1,532782364E1;-3,278166950E-1
1,169288625E1;1,133001566E0;-1,081376362E1;1,167697430E0
1,179288625E1;-2,317448616E0;-4,071387768E0;9,936196208E-1
1,189288625E1;-6,227321029E-1;-7,748558044E0;-3,731008768E0
1,199288625E1;3,551547050E0;-1,599422455E1;-5,011168957E0
1,209288625E1;-5,657230854E0;-1,115832996E1;8,572286963E-1
1,219288625E1;-3,014956474E0;-6,669394970E0;4,033700943E0
1,229288625E1;-5,862415433E-1;-1,037647533E1;-2,500499785E-1
1,239288625E1;-2,212164640E0;-7,152745247E0;2,663211584E0
1,249288625E1;-8,219345808E-1;-9,324830055E0;9,667003751E-1
1,259288625E1;-1,290927768E0;-1,180558872E1;1,920240223E-1
1,269288625E1;7,004988194E-1;-1,210528946E1;-1,256231871E-2
1,279288625E1;-8,076375008E0;-1,296012592E1;-1,572084427E0
1,289288625E1;1,930409670E0;-9,672387123E0;9,427721500E-1
1,299288625E1;-3,375674486E0;-2,270788670E0;8,644071817E-1
1,309288625E1;1,670190215E0;-9,970891953E0;-4,990829945E0
1,319288625E1;2,166102648E0;-8,406583786E0;-3,771088600E0
1,329288625E1;-6,318846226E0;-1,376351547E1;-2,084148407E0
1,339288625E1;-2,021935225E0;-1,343869019E1;2,359323025E0
1,349288625E1;3,948157281E-2;-9,843474388E0;-1,722832322E-1
1,359288625E1;-3,518047571E0;-7,930412292E0;-4,109672904E-1
1,369288625E1;-1,302293777E0;-8,864809990E0;1,451845169E0
1,379288625E1;-3,493520916E-1;-1,194138145E1;-7,274180651E-1
1,389288625E1;4,426721931E-1;-1,194616699E1;1,794617064E-2
1,399288625E1;-6,604788780E0;-1,400279808E1;-1,393819213E0
1,409288625E1;7,836494446E-1;-1,215075302E1;-1,481755376E0
1,419288625E1;-2,344367981E0;-2,481955290E0;3,768695518E-2
1,429288625E1;5,276174068E0;-9,035896301E0;-6,664609432E0
1,439288625E1;1,254437327E0;-4,652843475E0;-5,584249973E0
1,449288625E1;-1,788036704E0;-1,536909962E1;-4,163511276E0
1,459288625E1;-3,108874798E0;-9,931410789E0;-1,207179070E0
1,469288625E1;1,244866014E0;-1,002413273E1;-5,413761139E-1
1,479288625E1;-2,090728760E0;-1,109013462E1;3,403790295E-1
1,489288625E1;-4,959124923E-1;-9,900901794E0;-8,524430394E-1
1,499288625E1;5,736792088E-1;-6,187839508E0;7,770691514E-1
1,509288625E1;-3,602992773E0;-1,411884975E1;1,622333765E0
1,519288625E1;-4,724030018E0;-1,751127434E1;1,702493310E0
1,529288625E1;-1,264606714E0;-9,269794464E0;3,308077157E-1
