"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
5,219365052E1;5,233821180E1;4,869039186E0;3,591768690E0;1,790513754E0;1,952741089E2;6,968984127E0;3,394818544E0
5,319372952E1;5,233819774E1;4,869033696E0;3,500446050E0;1,688945293E0;1,954141541E2;6,220675468E0;3,282013655E0
5,419366852E1;5,233817880E1;4,869019795E0;3,547952857E0;1,794724941E0;1,955059509E2;5,762320518E0;3,249900103E0
5,519367952E1;5,233816493E1;4,869013516E0;3,684079470E0;1,726094484E0;1,938379211E2;5,163290024E0;3,188799381E0
5,619378152E1;5,233815250E1;4,869007153E0;3,527423719E0;1,651526332E0;1,915281830E2;4,430851936E0;3,091586590E0
5,719368352E1;5,233814293E1;4,869004554E0;3,675224499E0;1,541167855E0;1,989211578E2;4,012542248E0;3,005326033E0
5,819372752E1;5,233813561E1;4,868998763E0;3,578982370E0;1,436224461E0;2,070997772E2;3,794568539E0;3,000000000E0
5,919483652E1;5,233813026E1;4,868994906E0;3,657217340E0;1,325864077E0;2,137954102E2;3,733189583E0;3,000000000E0
6,019376352E1;5,233811765E1;4,868981244E0;3,814162742E0;1,360764742E0;2,211362152E2;3,831584930E0;3,000000000E0
6,119378652E1;5,233810646E1;4,868965658E0;3,651654011E0;1,384599447E0;2,257747955E2;3,876803875E0;3,000000000E0
6,219378952E1;5,233809785E1;4,868952382E0;3,616426860E0;1,372172117E0;2,204797211E2;3,895460606E0;3,000000000E0
6,319381452E1;5,233808919E1;4,868937997E0;3,641446134E0;1,367107511E0;2,232948151E2;3,781616688E0;3,000000000E0
6,419382852E1;5,233808164E1;4,868923850E0;3,519199764E0;1,354270935E0;2,283655701E2;3,716211319E0;3,000000000E0
6,519383352E1;5,233807228E1;4,868904459E0;3,554539904E0;1,378409147E0;2,439615479E2;3,653091908E0;3,000000000E0
6,619387152E1;5,233806477E1;4,868882358E0;3,519471888E0;1,403233290E0;2,468546143E2;3,618077755E0;3,000000000E0
6,719389252E1;5,233806026E1;4,868854610E0;3,467047025E0;1,445188046E0;2,582084045E2;3,479442596E0;3,000000000E0
6,819390452E1;5,233805694E1;4,868830063E0;3,447873814E0;1,467356205E0;2,589623718E2;3,491186142E0;3,000000000E0
6,919391952E1;5,233805442E1;4,868803400E0;3,547115699E0;1,495348930E0;2,583789062E2;3,517416000E0;3,000000000E0
7,019391752E1;5,233805353E1;4,868781265E0;3,548609980E0;1,492563844E0;2,546686249E2;3,580412388E0;3,000000000E0
7,119492852E1;5,233805080E1;4,868764027E0;3,674578883E0;1,466649771E0;2,555262299E2;3,701035976E0;3,000000000E0
7,219399352E1;5,233804715E1;4,868742171E0;3,734882705E0;1,468553543E0;2,534781494E2;3,812272549E0;3,000000000E0
7,319398852E1;5,233804284E1;4,868726677E0;3,814914023E0;1,441028357E0;2,510646973E2;3,814515591E0;3,000000000E0
7,419413852E1;5,233804224E1;4,868708254E0;3,776866657E0;1,422811627E0;2,597456665E2;3,741937160E0;3,000000000E0
7,519401452E1;5,233804359E1;4,868684127E0;3,710466642E0;1,436867118E0;2,620612488E2;3,514670134E0;3,000000000E0
7,619405052E1;5,233804339E1;4,868667183E0;3,848511637E0;1,409327984E0;2,597147522E2;3,539086819E0;3,000000000E0
7,719406652E1;5,233804088E1;4,868649928E0;3,790401659E0;1,388549089E0;2,608796692E2;3,584368944E0;3,000000000E0
7,819407052E1;5,233803803E1;4,868626660E0;3,669672366E0;1,402408361E0;2,611800537E2;3,653602123E0;3,000000000E0
7,919410152E1;5,233803490E1;4,868602201E0;3,652197244E0;1,423684835E0;2,614974060E2;3,772889137E0;3,000000000E0
8,019408152E1;5,233803293E1;4,868581640E0;3,696389346E0;1,420198321E0;2,627235413E2;3,895289183E0;3,000000000E0
8,119414452E1;5,233803126E1;4,868561977E0;3,847720587E0;1,409574747E0;2,642709045E2;3,967567921E0;3,000000000E0
8,219422252E1;5,233803204E1;4,868544441E0;3,991974962E0;1,386760235E0;2,634816895E2;3,832872391E0;3,000000000E0
8,319415052E1;5,233803015E1;4,868523261E0;3,859697144E0;1,387643576E0;2,619605408E2;4,040060043E0;3,000000000E0
8,419438952E1;5,233802764E1;4,868500802E0;3,835962321E0;1,399884462E0;2,608316040E2;4,201570511E0;3,000000000E0
8,519416952E1;5,233802581E1;4,868474224E0;3,799988552E0;1,432707548E0;2,582654419E2;4,191853523E0;3,000000000E0
8,619420952E1;5,233802069E1;4,868451426E0;3,886808027E0;1,447363853E0;2,381632385E2;4,066224575E0;3,000000000E0
8,719428452E1;5,233801024E1;4,868432650E0;3,892078234E0;1,463001609E0;2,158503876E2;4,021143913E0;3,000000000E0
8,819423852E1;5,233799615E1;4,868422864E0;3,555774364E0;1,472903013E0;2,025116882E2;4,023435593E0;3,000000000E0
8,919426052E1;5,233798192E1;4,868418965E0;3,410274878E0;1,476413012E0;1,864107971E2;4,047132492E0;3,000000000E0
9,019427652E1;5,233796465E1;4,868420965E0;3,300940275E0;1,506418705E0;1,831767731E2;4,146735191E0;3,010305643E0
9,119429352E1;5,233794929E1;4,868420691E0;3,430772565E0;1,519179106E0;1,828070831E2;4,234115601E0;3,027568340E0
9,219432952E1;5,233793362E1;4,868417342E0;3,482204618E0;1,537025213E0;1,850075989E2;4,189431190E0;3,007144213E0
9,319433352E1;5,233791893E1;4,868413696E0;3,737472040E0;1,543567419E0;1,863919373E2;4,203990459E0;3,000000000E0
9,419432552E1;5,233790514E1;4,868409919E0;3,770589665E0;1,538578153E0;1,904595642E2;4,213380814E0;3,000000000E0
9,519457352E1;5,233789253E1;4,868407676E0;3,643509279E0;1,521871090E0;1,858965149E2;4,091314793E0;3,000000000E0
9,619436052E1;5,233787966E1;4,868405509E0;3,604251522E0;1,506996870E0;1,863571167E2;4,170839787E0;3,000000000E0
9,719441952E1;5,233786658E1;4,868402864E0;3,683670556E0;1,493185997E0;1,781822662E2;4,296742439E0;3,000000000E0
9,819442652E1;5,233785297E1;4,868400979E0;3,587257069E0;1,482833147E0;1,766292725E2;4,389018059E0;3,000000000E0
9,919445952E1;5,233783986E1;4,868400523E0;3,424377512E0;1,466574073E0;1,766292725E2;4,534737587E0;3,000000000E0
1,001944515E2;5,233782774E1;4,868397789E0;3,255635897E0;1,444001675E0;1,828871918E2;4,655972004E0;3,000000000E0
1,011944935E2;5,233781621E1;4,868395560E0;3,191489599E0;1,419400334E0;1,767396088E2;4,798417568E0;3,000000000E0
1,021945005E2;5,233780369E1;4,868393264E0;3,316071780E0;1,406051636E0;1,742149811E2;4,900664330E0;3,000000000E0
1,031945215E2;5,233778875E1;4,868391902E0;3,307058699E0;1,415731549E0;1,735313416E2;4,975757599E0;3,000000000E0
1,041945485E2;5,233777408E1;4,868390356E0;3,209996023E0;1,423569441E0;1,686917725E2;4,959697723E0;3,000000000E0
