"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
8,990526037E0;5,477808952E0;-3,053436279E0;-2,161796570E0
9,089206500E0;2,320831776E0;-3,360207558E0;-3,920848846E0
9,187888998E0;-7,512394905E0;-6,881384850E0;3,730734348E0
9,286551679E0;-1,115483761E0;1,019241333E0;1,495810509E0
9,385243994E0;-3,183388710E0;7,096120358E0;4,242366791E0
9,483925942E0;-1,670260310E0;4,823212147E0;1,102650166E-1
9,582595123E0;1,256022215E0;-1,837640762E0;-1,185901642E0
9,681288079E0;-4,505096912E0;-5,960196495E0;6,756467819E0
9,779943090E0;-1,925312281E-1;1,629096985E0;7,730977058E0
9,878640551E0;2,152233362E0;-4,679718018E-1;-3,101325274E0
9,977324076E0;8,743667603E-1;2,115106106E0;8,392584324E-1
1,007600763E1;4,644210339E-1;1,077575684E-1;-5,470439911E0
1,017468806E1;5,078611851E0;-2,781416893E0;-1,916509151E0
1,027334301E1;3,676091194E0;-3,209468842E0;-3,024797440E0
1,037204483E1;-6,663253784E0;-5,937926292E0;5,095704198E-1
1,047071521E1;-2,520168781E0;6,120033264E-1;-7,019953728E-1
1,056939534E1;-2,592374086E0;5,569098473E0;4,473960400E0
1,066807443E1;-2,835075378E0;6,005696297E0;8,602395058E-1
1,076675105E1;1,674902797E0;-2,916360855E0;-2,908705950E0
1,086544671E1;-2,854869604E0;-5,075750351E0;6,477056503E0
1,096412542E1;-2,134225130E0;5,210966587E0;7,784026623E0
1,106280479E1;8,520630598E-1;-4,009985924E0;-8,824017644E-1
1,116148507E1;9,667308331E-1;2,986147404E0;1,482326984E0
1,126015443E1;2,243520021E0;-1,664097786E0;-5,704696655E0
1,135884562E1;4,207146645E0;-2,551000595E0;-1,604473352E0
1,145752576E1;4,280220985E0;-3,006632805E0;-2,929459333E0
1,155620582E1;-8,515645981E0;-8,749074936E0;6,506711483E0
1,165488457E1;3,797475100E0;-9,778280258E-1;5,511910915E0
1,175355502E1;-2,903592110E0;9,079225540E0;5,003809929E0
1,185224791E1;-3,323523104E-1;2,580259323E0;-1,663573265E0
1,195092693E1;7,324187756E-1;1,008668900E0;-7,535550594E-1
1,204960365E1;-6,907653332E0;-3,295135498E-1;2,480254173E0
1,214827434E1;-4,672046900E-1;1,590924263E0;5,827040672E0
1,224695585E1;2,561079979E0;-7,730560303E-1;-1,031905055E0
1,234563324E1;6,663258076E-1;1,248094082E0;5,866121054E-1
1,244430059E1;4,066306114E0;-1,730523109E0;-1,091970205E0
1,254300471E1;4,171529770E0;-3,663304329E0;4,875323772E-1
1,264168766E1;4,825828075E0;-3,265122414E0;-1,541462898E0
1,274034301E1;-9,422431946E0;-5,591278076E0;6,679121017E0
1,283904448E1;5,535185814E0;-4,033079147E-1;5,409278870E0
1,293771447E1;-3,426003456E0;7,806687355E0;4,759552002E0
1,303641555E1;9,498966932E-1;7,521982193E-1;-3,183962584E0
1,313507766E1;1,158374190E0;2,311418056E0;-1,755589247E0
1,323375458E1;-1,003557396E1;-5,997486115E0;-7,943246365E-1
1,333244487E1;-1,288207173E0;-1,463624001E0;3,467993498E0
1,343112915E1;3,398903608E0;-3,556461334E-1;-2,588433623E-1
1,352980601E1;7,178342342E-1;1,613356113E0;-4,492152929E-1
1,362848648E1;3,262308598E0;-1,027739525E0;-1,657034516E0
1,372715222E1;3,880051613E0;-4,247977257E0;-7,173991203E-2
1,382584529E1;5,152173042E0;-2,503385544E0;-1,259928584E0
1,392451133E1;-7,882423401E0;-5,521110535E0;4,058447361E0
1,402319592E1;4,122128487E0;-4,053300858E0;-3,989665508E-1
1,412187374E1;-4,800158501E0;6,960896015E0;5,407009125E0
1,422055388E1;5,039165497E0;-7,195329666E-1;-3,723661423E0
1,431925657E1;2,377562523E0;-1,032156467E0;-7,495541573E-1
1,441792345E1;-2,595545053E0;-7,808465958E0;-2,250813007E0
1,451660760E1;-4,506097317E0;1,813824654E0;1,928093433E0
1,461528527E1;2,931893826E0;-8,635463715E-1;8,156399131E-1
1,471395294E1;4,412680864E-1;-3,867111206E-1;1,341984868E0
1,481264462E1;4,855284095E-1;4,286956787E-1;-1,116913676E0
1,491132541E1;1,380343556E0;5,794044018E0;5,028332472E-1
1,500999239E1;-6,339335442E-2;8,487625122E-1;-1,034605742E0
1,510868519E1;-1,185294867E0;-6,533699989E0;1,123091698E0
1,520735220E1;3,476730585E0;-4,443051338E0;-9,318161607E-1
1,530604375E1;4,121495724E0;-3,535795212E-1;-2,480296135E0
1,540472674E1;-3,170871735E-2;-1,384727478E0;-2,047270060E0
1,550340087E1;-3,861926198E-1;-1,710295677E0;1,454447269E0
1,560208377E1;1,365437269E0;-2,597364426E0;-2,396912575E-1
1,570074936E1;-2,921617985E0;4,108938217E0;3,964388847E0
