"Time (s)";"Distance (cm)"
8,132934600E-2;5,000000000E0
1,412321241E0;0,000000000E0
1,645199299E0;5,000000000E0
1,867038659E0;0,000000000E0
2,477076435E0;5,000000000E0
4,162646953E0;0,000000000E0
4,892006110E2;5,000000000E0
4,920954582E2;5,000000000E0
4,934257647E2;0,000000000E0
6,053119036E2;5,000000000E0
6,104229255E2;0,000000000E0
6,104672144E2;5,000000000E0
6,108332138E2;0,000000000E0
6,109883600E2;5,000000000E0
6,110327149E2;0,000000000E0
6,112433620E2;5,000000000E0
6,113764335E2;0,000000000E0
6,115315928E2;5,000000000E0
6,116314240E2;0,000000000E0
