"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
5,689078244E1;5,201386050E1;5,092890160E0;3,876025548E0;3,767560005E0;3,557246399E2;4,570041656E0;3,158524990E0
5,789079144E1;5,201389217E1;5,092897181E0;3,423007715E0;3,532434940E0;3,554621277E2;4,765192032E0;3,234375715E0
5,889076644E1;5,201390284E1;5,092934811E0;3,556070306E0;2,849052429E0;4,028918147E-1;4,596926689E0;3,271252632E0
5,989078544E1;5,201391427E1;5,092978608E0;3,138266164E0;2,702365398E0;1,599950790E1;4,501401901E0;3,236257076E0
6,089086244E1;5,201393427E1;5,093028573E0;3,113432241E0;3,163910151E0;2,801733017E1;5,240655899E0;3,266834497E0
6,189081944E1;5,201393301E1;5,093092053E0;2,397412599E0;3,284879684E0;4,441701126E1;4,915578365E0;3,336023569E0
6,289081544E1;5,201395564E1;5,093159349E0;1,964007388E0;3,807594538E0;4,371938705E1;6,564028263E0;3,377795458E0
6,389085644E1;5,201399094E1;5,093216262E0;2,847454958E0;3,691389084E0;4,420277023E1;6,702561855E0;3,466409922E0
6,489085844E1;5,201402527E1;5,093266305E0;3,812832030E0;4,075171947E0;2,898578644E1;7,290649414E0;3,444934130E0
6,589094244E1;5,201407088E1;5,093301165E0;4,039352702E0;4,453091621E0;2,650330162E1;7,290909767E0;3,407368660E0
6,689101944E1;5,201411300E1;5,093321674E0;4,332587742E0;4,580016613E0;1,630911827E1;4,542231083E0;3,312760115E0
6,789099144E1;5,201415773E1;5,093326803E0;4,000438429E0;5,230851650E0;9,380774498E0;4,206695080E0;3,302136660E0
6,889093244E1;5,201420660E1;5,093338898E0;3,710662767E0;5,191751957E0;7,256527901E0;4,206661701E0;3,277483702E0
6,989095144E1;5,201425435E1;5,093358284E0;4,204550713E0;5,440752029E0;4,864881992E0;4,590502262E0;3,231592178E0
7,089098744E1;5,201430337E1;5,093377740E0;4,567057552E0;5,649800777E0;2,453382254E0;4,710205078E0;3,201856613E0
7,189105844E1;5,201435455E1;5,093385359E0;4,445227187E0;5,669646263E0;3,585464783E2;4,573711872E0;3,172990561E0
7,289149744E1;5,201439959E1;5,093384076E0;4,963786171E0;5,749264717E0;3,565080566E2;4,710002899E0;3,169569492E0
7,389103344E1;5,201444867E1;5,093383065E0;5,247825538E0;5,434989929E0;3,574968567E2;5,943174362E0;3,108921766E0
7,489122944E1;5,201449075E1;5,093377748E0;5,414502642E0;5,343739986E0;3,566417236E2;5,437717915E0;3,106688499E0
7,589111244E1;5,201453767E1;5,093374696E0;5,442999875E0;5,304702759E0;3,545889587E2;5,941944599E0;3,065943241E0
7,689109344E1;5,201458886E1;5,093368514E0;5,737567225E0;5,414050579E0;3,540010681E2;5,507659435E0;3,042058706E0
7,789110144E1;5,201464197E1;5,093362814E0;5,826729660E0;5,463060856E0;3,591333008E2;4,592966080E0;3,017885923E0
7,889114644E1;5,201469313E1;5,093363946E0;6,030232243E0;5,420403957E0;3,585673218E2;4,709393501E0;3,000000000E0
7,989116344E1;5,201473941E1;5,093366681E0;5,821113589E0;5,389960289E0;3,575483093E2;4,043780327E0;3,005379677E0
8,089144244E1;5,201478808E1;5,093363612E0;5,725386761E0;5,276753426E0;3,552268677E2;4,709190369E0;3,000000000E0
8,189115744E1;5,201483561E1;5,093355270E0;5,911064692E0;5,484855652E0;3,544040527E2;4,436758995E0;3,000000000E0
8,289120344E1;5,201488254E1;5,093338229E0;7,667830405E0;5,305863857E0;3,521096497E2;4,708985806E0;3,000000000E0
8,389122244E1;5,201492951E1;5,093325026E0;7,386611932E0;5,341825485E0;3,546154785E2;6,079792976E0;3,000000000E0
8,489122344E1;5,201497556E1;5,093314261E0;7,177142281E0;5,361721039E0;3,543745422E2;5,936400414E0;3,000000000E0
8,589127644E1;5,201502782E1;5,093304347E0;6,979746638E0;5,262506962E0;3,557891235E2;5,502442837E0;3,000000000E0
8,689134044E1;5,201507727E1;5,093299898E0;7,060926867E0;5,023085117E0;3,557150879E2;5,439730167E0;3,000000000E0
8,789127444E1;5,201512782E1;5,093293833E0;7,154933708E0;5,219326019E0;3,542575073E2;4,660795212E0;3,000000000E0
8,889131244E1;5,201517732E1;5,093283517E0;7,029117909E0;5,011339188E0;3,532815857E2;4,660625935E0;3,000000000E0
8,989133744E1;5,201522352E1;5,093274195E0;6,838617670E0;5,035699844E0;3,542117615E2;4,660456657E0;3,000000000E0
9,089133644E1;5,201526664E1;5,093267083E0;6,576090336E0;4,955684185E0;3,532696838E2;4,841107845E0;3,000000000E0
9,189133944E1;5,201530313E1;5,093274560E0;6,663785406E0;4,989734173E0;3,544689941E2;4,708066940E0;3,000000000E0
9,289139544E1;5,201535307E1;5,093290882E0;6,220480851E0;4,961617470E0;3,557171936E2;4,707962990E0;3,000000000E0
9,389138444E1;5,201538447E1;5,093289401E0;6,471534276E0;3,857643127E0;3,527916260E2;4,276221275E0;3,000000000E0
9,489153744E1;5,201541582E1;5,093292671E0;6,093643062E0;3,425275564E0;3,282023907E0;4,205765247E0;3,000000000E0
9,589141544E1;5,201544773E1;5,093290933E0;5,892235169E0;3,428761244E0;3,199737072E0;4,199437141E0;3,000000000E0
9,689142244E1;5,201548183E1;5,093289707E0;5,742374066E0;3,637622833E0;3,598626099E2;4,302902222E0;3,000000000E0
9,789144044E1;5,201552101E1;5,093285087E0;5,645786227E0;3,944213390E0;3,553722534E2;4,820039749E0;3,000000000E0
9,889146544E1;5,201556542E1;5,093274596E0;5,783898461E0;4,250996590E0;3,525808105E2;4,820125580E0;3,000000000E0
9,989159944E1;5,201560855E1;5,093262247E0;5,841009720E0;4,487314224E0;3,560299988E2;4,302901268E0;3,000000000E0
1,008916024E2;5,201565560E1;5,093254806E0;5,663512904E0;4,461238384E0;3,566622620E2;4,786247730E0;3,000000000E0
1,018918404E2;5,201569977E1;5,093247279E0;5,170758275E0;4,363798618E0;3,571383057E2;4,302900791E0;3,000000000E0
1,028915344E2;5,201574436E1;5,093236305E0;4,888541641E0;4,513152122E0;3,573456421E2;4,302900314E0;3,000000000E0
1,038915464E2;5,201578355E1;5,093223881E0;4,942430287E0;4,581664085E0;3,580015564E2;4,302899361E0;3,000000000E0
1,048915634E2;5,201581880E1;5,093221812E0;5,282435623E0;4,777328968E0;3,554548950E2;4,354703903E0;3,000000000E0
1,058916824E2;5,201585902E1;5,093234959E0;5,444897515E0;5,145881653E0;3,574957581E2;4,300792217E0;3,000000000E0
1,068916114E2;5,201589606E1;5,093238830E0;5,948283965E0;5,171797752E0;3,566067810E2;4,256474495E0;3,000000000E0
1,078916424E2;5,201594300E1;5,093231998E0;5,805219554E0;5,122562885E0;3,549786682E2;4,256528854E0;3,000000000E0
1,088916484E2;5,201598838E1;5,093220721E0;5,998808590E0;5,265418053E0;3,555118103E2;4,706329823E0;3,000000000E0
1,098916844E2;5,201603310E1;5,093211315E0;6,134487680E0;5,284395695E0;3,565628967E2;4,706226826E0;3,000000000E0
1,108916994E2;5,201608350E1;5,093205436E0;5,941595381E0;5,131596565E0;3,555718079E2;3,982736111E0;3,000000000E0
1,118917044E2;5,201613219E1;5,093196978E0;5,765014642E0;5,137575626E0;3,549135437E2;4,256746292E0;3,000000000E0
1,128916994E2;5,201617975E1;5,093190198E0;5,813951242E0;4,913962841E0;3,551935120E2;5,919290543E0;3,000000000E0
1,138917384E2;5,201622575E1;5,093182926E0;5,804852091E0;5,002893448E0;3,546182861E2;5,918678284E0;3,000000000E0
1,148917714E2;5,201627200E1;5,093169426E0;5,998867675E0;5,088320255E0;3,540482483E2;5,411166668E0;3,000000000E0
1,158917914E2;5,201631922E1;5,093158247E0;6,067101861E0;5,383313656E0;3,544867554E2;5,917470932E0;3,000000000E0
1,168918064E2;5,201636779E1;5,093151139E0;6,099559716E0;5,189604759E0;3,538690491E2;5,916862488E0;3,000000000E0
1,178918354E2;5,201641662E1;5,093144826E0;5,929216787E0;5,194278717E0;3,541780090E2;5,282914162E0;3,000000000E0
1,188918254E2;5,201646642E1;5,093137687E0;5,795692581E0;5,230347157E0;3,546406555E2;5,915644646E0;3,000000000E0
1,198918624E2;5,201651824E1;5,093131841E0;5,315860103E0;5,035605431E0;3,519233093E2;4,705198288E0;3,000000000E0
1,208918874E2;5,201656610E1;5,093121718E0;5,152370182E0;5,206981182E0;3,526913452E2;4,705094337E0;3,000000000E0
1,218918744E2;5,201661207E1;5,093119773E0;5,266775509E0;5,355918407E0;3,528665161E2;4,704991817E0;3,000000000E0
1,228918834E2;5,201666537E1;5,093112334E0;5,098852430E0;5,388041496E0;3,545291138E2;5,277122974E0;3,000000000E0
1,238919434E2;5,201671524E1;5,093105020E0;5,002326550E0;5,214361191E0;3,543562927E2;5,912624359E0;3,000000000E0
1,248919214E2;5,201676300E1;5,093107986E0;4,492917105E0;5,069782734E0;3,532739258E2;5,480139732E0;3,000000000E0
1,258919464E2;5,201680011E1;5,093114115E0;4,636509204E0;5,356579781E0;3,547496338E2;4,704579830E0;3,000000000E0
1,268919834E2;5,201684583E1;5,093118070E0;4,586826332E0;5,321895123E0;3,561926270E2;4,050252914E0;3,000000000E0
1,278919884E2;5,201689561E1;5,093117465E0;4,428446192E0;5,267969131E0;1,871740371E-1;4,270538807E0;3,000000000E0
1,288919934E2;5,201694551E1;5,093118100E0;4,253004458E0;5,516233921E0;1,934581757E0;4,270598888E0;3,000000000E0
1,298920694E2;5,201699282E1;5,093117940E0;4,439196666E0;5,514689445E0;2,893011808E0;4,270658016E0;3,000000000E0
1,308922574E2;5,201703897E1;5,093115510E0;4,419321867E0;5,341713428E0;3,561486816E2;4,326561928E0;3,000000000E0
1,318920564E2;5,201708118E1;5,093089960E0;4,016718964E0;4,622454166E0;3,375597534E2;4,222802162E0;3,000000000E0
1,328920754E2;5,201711980E1;5,093034314E0;4,367567254E0;4,817941189E0;3,240247803E2;5,109200478E0;3,000000000E0
1,338920834E2;5,201714805E1;5,092950953E0;3,965437241E0;5,519877434E0;2,987938232E2;5,309628963E0;3,000000000E0
1,348923644E2;5,201716045E1;5,092841798E0;4,560743126E0;5,237091064E0;2,858565979E2;4,198070049E0;3,000000000E0
