"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717518639263000E9;"2024-06-04 18:30:39.263 UTC+02:00"
"PAUSE";1,868154749583336E2;1,717518826079000E9;"2024-06-04 18:33:46.079 UTC+02:00"
