"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
9,286295000E0;-3,549873352E1;5,030735016E1;-3,723594666E1
9,386789000E0;-3,284104919E1;4,924321747E1;-3,163169861E1
9,487282000E0;-2,819590759E1;4,875572968E1;-2,603598022E1
9,587776000E0;-2,730122375E1;4,585415649E1;-2,292628479E1
9,688269000E0;-2,855906677E1;4,484351349E1;-2,024052429E1
9,788763000E0;-2,735223389E1;4,243518829E1;-1,964573669E1
9,889256000E0;-1,980455017E1;3,949767303E1;-1,898947144E1
9,989750000E0;-1,712004089E1;3,826837921E1;-1,754405212E1
1,009024354E1;-1,730656433E1;3,866396332E1;-1,938252258E1
1,019073754E1;-1,439497375E1;3,602095032E1;-2,051271057E1
1,029123054E1;-1,323748779E1;3,515993500E1;-2,132662964E1
1,039172354E1;-1,682208252E1;3,622998047E1;-2,063198853E1
1,049221754E1;-2,112332153E1;3,818437958E1;-1,933560181E1
1,059271054E1;-2,141346741E1;3,877540588E1;-1,803195190E1
1,069320454E1;-2,212835693E1;3,874522400E1;-1,872404480E1
1,079369754E1;-2,827766418E1;3,565402985E1;-2,116972351E1
1,089419154E1;-2,991667175E1;3,677598572E1;-1,936927795E1
1,099468454E1;-2,301252747E1;3,316249084E1;-2,062500000E1
1,109517879E1;-1,745422363E1;3,179830170E1;-1,939419556E1
1,119567179E1;-1,809954834E1;3,074528503E1;-2,007151794E1
1,129616579E1;-1,663998413E1;2,953845978E1;-2,181198120E1
1,139665879E1;-1,316972351E1;2,854887390E1;-2,092558289E1
1,149715179E1;-1,380781555E1;2,827738190E1;-2,003729248E1
1,159764579E1;-1,870060730E1;3,110205078E1;-1,973138428E1
1,169813879E1;-1,985176086E1;3,288730621E1;-1,961604309E1
1,179863279E1;-1,992814636E1;3,393028259E1;-1,880018616E1
1,189912579E1;-2,501612854E1;3,396609497E1;-2,068978882E1
1,199961979E1;-2,943737793E1;3,519978333E1;-2,149705505E1
1,210011292E1;-2,839419556E1;3,341719055E1;-2,161488342E1
1,220060692E1;-2,192552185E1;3,130809021E1;-2,341671753E1
1,230109992E1;-2,001277161E1;2,974842834E1;-2,436648560E1
1,240159392E1;-1,890664673E1;3,111063385E1;-2,656600952E1
1,250208692E1;-1,425541687E1;3,027271271E1;-2,767143250E1
1,260258092E1;-1,363056946E1;3,231496429E1;-2,377610779E1
1,270307392E1;-1,724848938E1;3,384317780E1;-2,369035339E1
1,280356692E1;-2,199015808E1;3,728744507E1;-2,247309875E1
1,290406092E1;-2,165051270E1;3,789459991E1;-2,150071716E1
1,300455392E1;-2,298934937E1;3,880006409E1;-2,275627136E1
1,310504717E1;-2,775645447E1;3,738278198E1;-2,531912231E1
1,320554017E1;-3,000021362E1;3,887800598E1;-2,429484558E1
1,330603417E1;-2,396600342E1;3,618324280E1;-2,504743958E1
1,340652717E1;-1,924671936E1;3,499589539E1;-2,348120117E1
1,350702117E1;-1,886918640E1;3,429962921E1;-2,415136719E1
