"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3,680622578E-1;5,233902162E1;4,873578055E0;2,468746574E1;0,000000000E0;NaN;6,228208831E0;1,200000000E1
1,369187474E0;5,233902332E1;4,873553039E0;2,342043695E1;5,000000000E-1;2,545312444E2;6,290057140E0;1,200000000E1
2,369198203E0;5,233902809E1;4,873544027E0;1,904757318E1;5,000000000E-1;1,898437490E2;6,964475817E0;1,200000000E1
3,369202852E0;5,233903906E1;4,873534804E0;1,865255363E1;3,799999952E-1;NaN;7,934876390E0;1,200000000E1
4,369212151E0;5,233904614E1;4,873525919E0;1,841201407E1;2,399999946E-1;NaN;9,284607739E0;1,200000000E1
5,369219542E0;5,233905255E1;4,873520806E0;1,809878165E1;1,800000072E-1;NaN;1,104808553E1;1,600000000E1
6,369219065E0;5,233905721E1;4,873517537E0;1,783205802E1;0,000000000E0;NaN;1,418086498E1;1,600000000E1
7,369222045E0;5,233906500E1;4,873511419E0;1,803609855E1;1,800000072E-1;NaN;1,791467632E1;1,600000000E1
8,369229794E0;5,233907217E1;4,873502450E0;1,832918937E1;4,199999869E-1;NaN;2,180164236E1;1,600000000E1
9,369231701E0;5,233907891E1;4,873492140E0;1,830141837E1;5,099999905E-1;NaN;2,640030518E1;1,600000000E1
1,036923766E1;5,233908616E1;4,873482166E0;1,825344474E1;5,299999714E-1;NaN;3,013481971E1;1,600000000E1
1,136923957E1;5,233909631E1;4,873468587E0;1,879787833E1;5,299999714E-1;NaN;3,432131744E1;1,600000000E1
1,236923707E1;5,233910611E1;4,873454254E0;1,879543693E1;8,199999928E-1;NaN;3,873382603E1;1,600000000E1
1,336924255E1;5,233913711E1;4,873432290E0;1,898452398E1;1,340000033E0;3,283593668E2;3,429831344E1;1,600000000E1
1,436924720E1;5,233914220E1;4,873411942E0;1,851607916E1;1,340000033E0;3,206249901E2;3,063034486E1;1,600000000E1
1,536924410E1;5,233913885E1;4,873408237E0;1,834487540E1;1,009999990E0;NaN;3,093506513E1;1,200000000E1
1,636924422E1;5,233914362E1;4,873388456E0;1,819363029E1;1,009999990E0;NaN;3,474708870E1;1,200000000E1
1,736924267E1;5,233914781E1;4,873368507E0;1,815987785E1;1,090000033E0;NaN;3,916116658E1;1,600000000E1
1,836924171E1;5,233915209E1;4,873349648E0;1,812606437E1;1,090000033E0;NaN;4,399573174E1;1,600000000E1
1,936924076E1;5,233915645E1;4,873331711E0;1,809231193E1;1,090000033E0;NaN;4,923411658E1;1,600000000E1
2,038479030E1;5,233916089E1;4,873314612E0;1,805855949E1;1,090000033E0;NaN;5,485966140E1;2,400000000E1
3,042710102E1;5,233884874E1;4,873427425E0;1,344414139E1;NaN;NaN;3,500000000E1;2,275283623E1
3,662135398E1;5,233866977E1;4,873492107E0;1,344387054E1;NaN;NaN;5,742830742E1;2,275283623E1
3,663322401E1;5,233866944E1;4,873492225E0;1,344387054E1;NaN;NaN;5,742837827E1;2,275283623E1
3,746283603E1;5,233864676E1;4,873500421E0;1,344453049E1;NaN;NaN;5,777270880E1;2,275283623E1
3,792539406E1;5,233863425E1;4,873504944E0;1,344453049E1;NaN;NaN;5,788010487E1;2,275283623E1
3,816750598E1;5,233867763E1;4,873456205E0;1,095715141E1;NaN;NaN;4,000000000E1;1,829825020E1
5,118639302E1;5,233860223E1;4,873472215E0;8,655842781E0;NaN;NaN;4,000000000E1;2,254603767E1
5,801335895E1;5,233855222E1;4,873461632E0;7,732760191E0;NaN;NaN;3,500000000E1;2,147172546E1
6,483107603E1;5,233845579E1;4,873463753E0;7,147073746E0;NaN;NaN;3,500000000E1;2,119767189E1
6,736907291E1;5,233849606E1;4,873389707E0;3,441319782E0;7,363231672E-1;2,023888727E2;1,705915239E1;1,950183939E0
6,836906791E1;5,233849088E1;4,873397688E0;3,390432553E0;8,015274360E-1;2,085820112E2;1,138960906E1;1,598302843E0
6,936906421E1;5,233846668E1;4,873382476E0;3,479785335E0;9,275546688E-1;2,069628701E2;8,258980935E0;1,427601916E0
7,036906016E1;5,233846771E1;4,873401779E0;3,175251288E0;8,506169524E-1;1,956072378E2;7,221569217E0;1,329962670E0
7,136905551E1;5,233844156E1;4,873434909E0;3,330816511E0;7,881516304E-1;1,821778470E2;6,538866627E0;1,267010864E0
7,236905110E1;5,233844052E1;4,873442770E0;3,540565855E0;9,117489827E-1;1,697401077E2;6,209705612E0;1,427443052E0
7,336904645E1;5,233842941E1;4,873450444E0;3,340037026E0;9,897441835E-1;1,685359721E2;5,942937298E0;1,568844020E0
7,436904371E1;5,233842340E1;4,873452248E0;3,198606826E0;8,896175440E-1;1,693717275E2;5,879202598E0;1,599162005E0
7,536903763E1;5,233840263E1;4,873449007E0;3,241849975E0;1,096546664E0;1,694955025E2;5,793187436E0;1,666722843E0
7,636903322E1;5,233840197E1;4,873458118E0;3,342675933E0;8,876442738E-1;1,678718368E2;5,859702885E0;1,589118363E0
7,736902916E1;5,233839575E1;4,873451276E0;3,308649562E0;6,806549034E-1;1,732300642E2;5,930455730E0;1,496639016E0
7,836902499E1;5,233836600E1;4,873451571E0;3,243518059E0;9,131314840E-1;1,779177921E2;5,800435161E0;1,613648813E0
7,936902130E1;5,233833885E1;4,873449236E0;2,965327038E0;9,042431185E-1;1,814396114E2;5,715378193E0;1,692449069E0
8,036901689E1;5,233833251E1;4,873458668E0;2,901715066E0;1,783832167E-1;1,811259683E2;5,481517252E0;1,943580625E0
8,136901259E1;5,233831852E1;4,873455912E0;3,034152027E0;1,448244157E-1;1,811259664E2;5,399907882E0;2,159984236E0
8,236900771E1;5,233829530E1;4,873464271E0;3,014030695E0;2,809677104E-2;1,811259720E2;5,305217466E0;2,383108196E0
