"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1717574177,973;"2024-06-05 09:56:17.973 UTC+02:00"
"PAUSE";2,719169431E2;1717574449,889;"2024-06-05 10:00:49.889 UTC+02:00"
