"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717518639263000E9;"2024-06-04 18:30:39.263 UTC+02:00"
"PAUSE";1,868154749583336E2;1,717518826079000E9;"2024-06-04 18:33:46.079 UTC+02:00"
"START";1,868154749583336E2;1,717519140827000E9;"2024-06-04 18:39:00.827 UTC+02:00"
"PAUSE";3,727848746666568E2;1,717519326796000E9;"2024-06-04 18:42:06.796 UTC+02:00"
