"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2,559791668E-3;-4,999902649E0;6,697223053E0;4,168232117E0
1,030547917E-1;-3,533701630E0;6,764732666E0;5,657934265E0
2,035497917E-1;-2,903362427E0;5,677244110E0;6,733747101E0
3,040447917E-1;-2,763553162E0;5,692662048E0;6,999594269E0
4,045397917E-1;-2,111808472E0;5,267097015E0;8,601862335E0
5,050347917E-1;-1,890867920E0;6,052064667E0;8,843310242E0
6,055287917E-1;-3,152444458E0;5,553002472E0;9,328152008E0
7,060237917E-1;-1,885778503E0;1,714534607E0;1,193513077E1
8,065187917E-1;-5,828878784E-1;1,410816193E0;7,257507935E0
9,070137917E-1;9,711804199E-1;1,164578247E0;1,396565826E1
1,007508417E0;2,206411743E-1;1,422192535E0;8,138575745E0
1,108003417E0;-5,313949585E-1;1,794917450E0;1,016027161E1
1,208499417E0;1,701511688E0;3,439547424E0;1,041339523E1
1,308994417E0;1,552870789E0;3,980073395E0;7,082821198E0
1,409489417E0;2,350412292E0;8,240364075E-1;5,770799561E0
1,509984417E0;2,851121063E0;-2,718197479E0;4,264032898E0
1,610479417E0;4,606221313E0;-7,083719330E0;6,021677856E0
1,710974417E0;5,965843964E0;-1,237311996E1;3,349584503E0
1,811469417E0;9,914931793E0;-1,218615875E1;5,118156738E0
1,911964917E0;1,195174622E1;-9,202563171E0;2,516866150E0
2,012459917E0;9,136400757E0;-8,870703278E0;3,143463135E-1
2,107930917E0;9,795180817E0;-7,356003113E0;2,650687866E0
2,208425917E0;5,615722046E0;-7,473957825E0;1,538650360E0
2,308920917E0;5,498366089E0;-6,632407837E0;4,291725311E0
2,409415917E0;5,843099213E0;-3,760180664E0;4,942422180E0
2,509910917E0;-5,239105225E-2;-1,166389481E1;6,785389709E0
2,610405917E0;2,940335541E0;-6,806046753E0;3,387455750E-1
2,710901917E0;3,002306671E0;-7,403753815E0;8,547675018E0
2,811396917E0;-8,443940735E-1;-6,319408722E0;2,129771118E0
2,911891167E0;8,997789001E-1;-8,912316742E0;2,328408051E0
3,012386167E0;1,615440674E0;-1,039588165E1;1,837129669E0
3,112882167E0;-6,279441833E-1;-1,265528320E1;-2,504292297E-1
3,213377167E0;4,495751038E0;-8,918603668E0;1,103205872E0
3,313872167E0;1,698368225E0;-6,881639557E0;2,599943390E0
3,414367167E0;5,840404816E0;-7,211403809E0;5,409900055E0
3,514863167E0;7,972271576E0;-8,466843109E0;2,538571014E0
3,615358167E0;6,648125153E0;-1,713232315E1;3,066672821E0
3,715853167E0;4,885540466E0;-1,265842667E1;-2,140548706E-1
3,816349167E0;4,925207977E0;-6,135590973E0;3,181484070E0
3,916844583E0;-3,176544342E0;-6,012097778E0;3,133883057E0
4,017339583E0;1,632954254E0;-7,656578064E0;4,527035980E0
4,117835583E0;4,067042542E-1;-9,211394806E0;6,811285858E0
4,218330583E0;-1,589394836E0;-1,082503922E1;4,140390015E-1
4,318825583E0;1,039288788E0;-7,460036774E0;4,259841614E0
4,419321583E0;5,980214081E0;-1,044632675E1;2,275118866E0
4,519816583E0;1,675765228E0;-8,017926636E0;1,089883575E0
4,620312583E0;2,167043610E0;-1,226459564E1;8,713380432E-1
4,720807583E0;-2,548300781E0;-1,202718933E1;-1,983076172E0
4,821302583E0;-1,162482605E0;-1,047925827E1;-2,718646545E0
4,921798208E0;-1,390757904E0;-6,767876129E0;3,320095825E-1
5,022293208E0;2,621049500E0;-9,728269958E0;5,972579956E-2
5,122789208E0;3,517684937E0;-5,672005005E0;7,331753540E-1
5,223284208E0;-7,393125916E-1;-1,353889572E1;8,406518555E-1
5,323780208E0;-1,329984283E0;-1,114836685E1;-5,126688995E0
5,424275208E0;3,953279114E-1;-1,341570190E1;-3,369493103E0
5,524771208E0;-6,038442993E-1;-6,570436707E0;1,075962524E0
5,625266208E0;-1,341510315E0;-6,713988190E0;6,295907593E-1
