"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
6,157436371E-1;5,237324602E1;4,834081104E0;3,304786442E0;1,065763047E1;1,059366784E2;4,707696966E0;3,414985551E0
1,615731597E0;5,237321739E1;4,834235398E0;3,674848878E0;1,090387213E1;1,072019545E2;4,716692755E0;3,402549998E0
2,615719080E0;5,237319636E1;4,834388840E0;3,276023519E0;1,094217249E1;1,057713754E2;4,716223717E0;3,403200095E0
3,615708113E0;5,237317480E1;4,834535904E0;3,507635484E0;1,068773252E1;1,060112619E2;4,710971141E0;3,410467408E0
4,615695715E0;5,237315360E1;4,834669084E0;3,467105442E0;1,018290946E1;1,062422191E2;4,696406486E0;3,430496050E0
5,615683436E0;5,237312331E1;4,834798182E0;4,420200218E0;9,671993778E0;1,084337824E2;4,693384001E0;3,434630060E0
6,615670323E0;5,237312689E1;4,834921858E0;4,469530163E0;8,743829403E0;1,032087708E2;4,695252137E0;3,432075815E0
7,615659237E0;5,237309070E1;4,835017045E0;4,852511514E0;7,534307027E0;1,052368001E2;4,685731586E0;3,445062632E0
8,615646839E0;5,237307803E1;4,835084593E0;5,043505757E0;5,504704890E0;1,046190521E2;4,682618767E0;3,449292466E0
9,615633965E0;5,237307305E1;4,835140001E0;5,741593585E0;4,074841419E0;1,039856960E2;4,682023799E0;3,450100024E0
1,061562169E1;5,237306721E1;4,835158222E0;5,364826452E0;2,230920633E0;1,078235536E2;4,681522851E0;3,450779742E0
1,161560988E1;5,237306372E1;4,835169504E0;5,614949297E0;1,117336410E0;1,085789236E2;4,709764040E0;3,412134188E0
1,261559749E1;5,237306652E1;4,835169249E0;5,740700717E0;1,305024697E-2;1,085789233E2;4,768360969E0;3,329755352E0
1,361558568E1;5,237306722E1;4,835163884E0;5,813317029E0;1,510661529E-1;1,085789191E2;4,833999573E0;3,233726204E0
1,461557341E1;5,237307099E1;4,835161897E0;5,581497973E0;9,462205811E-2;1,085789174E2;4,960985260E0;3,035319141E0
1,561556184E1;5,237307200E1;4,835160491E0;5,538798952E0;0,000000000E0;1,085789163E2;5,178715970E0;2,646778784E0
1,661554909E1;5,237307200E1;4,835160491E0;5,538798952E0;0,000000000E0;1,085789163E2;5,700596492E0;2,368678349E0
1,761553669E1;5,237307596E1;4,835130721E0;5,904237521E0;6,159036621E-2;1,085788928E2;6,649470730E0;2,400117854E0
1,861552417E1;5,237306409E1;4,835158694E0;6,390011270E0;1,921899450E0;1,085789151E2;7,300276618E0;2,431331924E0
1,961551559E1;5,237305231E1;4,835226908E0;6,131969719E0;3,820202581E0;1,050503214E2;8,340755472E0;2,443302975E0
2,061549962E1;5,237304689E1;4,835333308E0;6,017572506E0;5,011591155E0;1,021208198E2;9,082397048E0;2,468243464E0
2,161548805E1;5,237305420E1;4,835273588E0;6,726031003E0;3,763976206E0;1,054327439E2;5,524026886E0;2,494505278E0
2,261547613E1;5,237309998E1;4,835432593E0;6,744529804E0;5,724311437E0;9,347705131E1;5,124617596E0;2,750060277E0
2,361546409E1;5,237306361E1;4,835638281E0;5,069980274E0;8,398270527E0;9,864443470E1;5,061301394E0;2,864919760E0
2,461545169E1;5,237302977E1;4,835772916E0;5,194564146E0;8,862118905E0;1,013823522E2;4,912794594E0;3,112713657E0
2,561543941E1;5,237298792E1;4,835974771E0;6,698727990E0;1,079644834E1;1,032659932E2;4,796042296E0;3,289759160E0
2,661542678E1;5,237296459E1;4,836153985E0;7,096247776E0;1,154131666E1;1,030544679E2;4,727111526E0;3,388060456E0
2,761541462E1;5,237294079E1;4,836323383E0;7,224656573E0;1,170132203E1;1,034626443E2;4,694523500E0;3,433072406E0
2,861540294E1;5,237291191E1;4,836504022E0;7,108277970E0;1,154797578E1;1,034619013E2;4,677337650E0;3,456450425E0
2,961539054E1;5,237288908E1;4,836666312E0;7,477434262E0;1,115710586E1;1,032984212E2;4,664400461E0;3,473889084E0
3,061537790E1;5,237286369E1;4,836820470E0;7,631364556E0;1,073756151E1;1,031581843E2;4,654367759E0;3,487319573E0
3,161536586E1;5,237284258E1;4,836958995E0;8,064015678E0;9,963921754E0;1,033062443E2;4,654630431E0;3,486968969E0
3,261535370E1;5,237282555E1;4,837082695E0;8,038943395E0;8,884565877E0;1,035569864E2;4,655255697E0;3,486134166E0
3,361534154E1;5,237280820E1;4,837189265E0;8,533297916E0;7,367104100E0;1,040419816E2;4,653487707E0;3,488493829E0
3,461532938E1;5,237279981E1;4,837259127E0;8,681813862E0;5,614986995E0;1,039715733E2;4,656481031E0;3,484497301E0
3,561649048E1;5,237278897E1;4,837320940E0;8,544578068E0;4,331215783E0;1,042543684E2;4,661026681E0;3,478414483E0
3,661650252E1;5,237277148E1;4,837372670E0;5,659970715E0;3,701741827E0;1,047860366E2;4,734138126E0;3,378235225E0
3,761649740E1;5,237275754E1;4,837436741E0;4,335154931E0;4,421181134E0;1,051347647E2;4,769056315E0;3,328759363E0
3,861650479E1;5,237274228E1;4,837517148E0;3,460203396E0;5,248039946E0;1,051567082E2;4,783117881E0;3,308522384E0
3,961651897E1;5,237272297E1;4,837608194E0;2,933594045E0;6,310181479E0;1,066139595E2;4,793926524E0;3,292841556E0
4,061651719E1;5,237269949E1;4,837720182E0;2,475328066E0;7,770324393E0;1,077405843E2;4,803736195E0;3,278514237E0
4,161652625E1;5,237267367E1;4,837841600E0;2,153737032E0;8,313423372E0;1,078910748E2;4,813546330E0;3,264093865E0
4,261651480E1;5,237265169E1;4,837968580E0;1,886199060E0;8,878044087E0;1,064874917E2;4,820124721E0;3,254371631E0
4,361649787E1;5,237263405E1;4,838103980E0;1,665663293E0;9,421717738E0;1,047872935E2;4,820120522E0;3,254377850E0
4,461650980E1;5,237261174E1;4,838246965E0;1,524804156E0;9,912153793E0;1,049407205E2;4,814913890E0;3,262076221E0
4,561652815E1;5,237259191E1;4,838390000E0;1,770516375E0;1,024088725E1;1,049248788E2;4,802748520E0;3,279960928E0
4,661652970E1;5,237256664E1;4,838545652E0;1,492597146E0;1,068828294E1;1,047790738E2;4,793513355E0;3,293442994E0
4,761654592E1;5,237254319E1;4,838702061E0;1,783046247E0;1,093772828E1;1,044089464E2;4,785572612E0;3,304970773E0
4,861656094E1;5,237251911E1;4,838856375E0;1,847587577E0;1,107796786E1;1,047552613E2;4,782530832E0;3,309370919E0
4,961655605E1;5,237249253E1;4,839010830E0;1,851122284E0;1,102697175E1;1,062673174E2;4,782411105E0;3,309543935E0
5,061655545E1;5,237246070E1;4,839169839E0;1,741271979E0;1,121608877E1;1,078803848E2;4,784456444E0;3,306586392E0
5,161655426E1;5,237242788E1;4,839332156E0;1,797405357E0;1,149358443E1;1,058204880E2;4,787717722E0;3,301862512E0
5,261655271E1;5,237239509E1;4,839500622E0;1,987042197E0;1,156760471E1;1,058204880E2;4,794501725E0;3,292003986E0
5,361655080E1;5,237236595E1;4,839663687E0;2,119546966E0;1,156375873E1;1,058204880E2;4,800133027E0;3,283787441E0
5,461654878E1;5,237233317E1;4,839825596E0;2,196441258E0;1,146769512E1;1,048731003E2;4,793839940E0;3,292967607E0
5,561654520E1;5,237230427E1;4,839981330E0;2,255613694E0;1,121335298E1;1,048731003E2;4,789949148E0;3,298624591E0
5,661654103E1;5,237227668E1;4,840128223E0;2,252013727E0;1,050399170E1;1,048731003E2;4,789820583E0;3,298811273E0
5,761653614E1;5,237225190E1;4,840259509E0;2,379023822E0;9,458113587E0;1,048731003E2;4,791404020E0;3,296510966E0
5,861653125E1;5,237223134E1;4,840373606E0;2,437943122E0;8,559680359E0;1,048731003E2;4,780740063E0;3,311957349E0
5,961652589E1;5,237222286E1;4,840483783E0;2,865692150E0;7,741983763E0;1,039447937E2;4,735833774E0;3,375857742E0
6,061652160E1;5,237220306E1;4,840575251E0;2,926909584E0;6,690375787E0;1,039447937E2;4,738470492E0;3,372155755E0
6,161651468E1;5,237218921E1;4,840645850E0;2,959498275E0;5,258659058E0;1,039447937E2;4,739214715E0;3,371109746E0
6,261650884E1;5,237217918E1;4,840702689E0;3,218347750E0;4,246040261E0;1,039447937E2;4,740473712E0;3,369339107E0
6,424567302E1;5,230608561E1;4,947618003E0;-1,690808899E0;5,091130750E-1;4,597075682E1;5,024534577E0;2,928922894E0
6,524566300E1;5,230608221E1;4,947624667E0;-1,755398335E0;4,375425612E-1;4,597076220E1;5,057810173E0;2,871078766E0
6,624565728E1;5,230607928E1;4,947620472E0;-1,769215881E0;3,389022990E-1;4,597075888E1;5,086455077E0;2,909723721E0
6,724564309E1;5,230607382E1;4,947632400E0;-1,819714624E0;3,034394143E-1;4,597076850E1;5,057945829E0;2,989759191E0
