"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
9,161240792E0;1,621536636E1;2,199084473E1;-2,412845612E0
9,261040542E0;1,671735001E1;2,119104004E1;-1,896135330E0
9,360840542E0;1,591990280E1;2,120146179E1;-1,933822632E0
9,460640542E0;1,581947327E1;2,147708130E1;-2,115520477E0
9,560439542E0;1,562188339E1;2,173588562E1;-2,646593094E0
9,660239542E0;1,618957138E1;2,142480469E1;-1,274181366E0
9,760039542E0;1,595303726E1;2,108183289E1;-5,950984955E-1
9,859839542E0;1,584004974E1;2,064166260E1;-9,877262115E-1
9,959639542E0;1,530925369E1;2,092132568E1;-1,450790405E0
1,005943854E1;1,581468201E1;2,057554626E1;-6,893939972E-1
1,015923854E1;1,619803238E1;2,054257202E1;2,969474792E-1
1,025903871E1;1,567712021E1;2,044474792E1;-5,693283081E-1
1,035883871E1;1,534278870E1;2,088958740E1;-3,935356140E-1
1,045863871E1;1,541100311E1;2,065802002E1;2,605457306E-1
1,055843771E1;1,599194717E1;2,020060730E1;8,471317291E-1
1,065823771E1;1,533309174E1;2,023410034E1;1,204694748E0
1,075803771E1;1,500367737E1;2,031533813E1;9,175357819E-1
1,085783771E1;1,500484848E1;1,981993103E1;9,069995880E-1
1,095763771E1;1,508071899E1;1,954125977E1;1,939500809E0
1,105743771E1;1,502520752E1;1,946290588E1;2,160787582E0
1,115723671E1;1,461388397E1;1,973141479E1;1,658102036E0
1,125703683E1;1,476977158E1;1,945285034E1;1,445096970E0
1,135683683E1;1,534297180E1;1,934608459E1;2,196147919E0
1,145663683E1;1,557493973E1;1,901063538E1;2,904817581E0
1,155643683E1;1,554172897E1;1,915068054E1;2,936777115E0
1,165623583E1;1,586307907E1;1,906703186E1;3,283395767E0
1,175603583E1;1,546896362E1;1,910156250E1;2,951023102E0
1,185583583E1;1,537967682E1;1,918376160E1;2,326587677E0
1,195563583E1;1,541770172E1;1,944874573E1;2,556562424E0
1,205543583E1;1,548970413E1;1,936103821E1;2,052446365E0
1,215523583E1;1,537060165E1;1,937564087E1;1,674221039E0
1,225503429E1;1,518009949E1;1,930841064E1;1,756130219E0
1,235483429E1;1,499042130E1;1,963369751E1;1,714929581E0
1,245463429E1;1,496118927E1;1,943373108E1;2,078460693E0
1,255443429E1;1,560510254E1;2,000001526E1;3,006248474E0
1,265423429E1;1,636658478E1;2,045463562E1;4,506001472E0
1,275403429E1;1,710522079E1;1,988874817E1;6,642259598E0
1,285383329E1;1,670459747E1;1,842327881E1;8,863755226E0
1,295363329E1;1,669469452E1;1,728933716E1;1,089870548E1
1,305343329E1;1,758523941E1;1,688452148E1;1,159095192E1
1,315323329E1;1,681294250E1;1,560202026E1;1,395734882E1
1,325303408E1;1,648112488E1;1,534431458E1;1,329051971E1
1,335283408E1;1,636210632E1;1,519641113E1;1,393622208E1
1,345263308E1;1,636630249E1;1,479939270E1;1,391813755E1
1,355243308E1;1,698831177E1;1,516453552E1;1,433304977E1
1,365223308E1;1,733271408E1;1,509127808E1;1,384674931E1
1,375203308E1;1,678087234E1;1,527569580E1;1,372922134E1
1,385183308E1;1,649497604E1;1,566647339E1;1,376756763E1
1,395163308E1;1,663237000E1;1,541119385E1;1,349125290E1
1,405143208E1;1,662248230E1;1,553903198E1;1,327044868E1
1,415123208E1;1,639485931E1;1,579205322E1;1,340382957E1
1,425103104E1;1,623352814E1;1,533766174E1;1,310209274E1
1,435083104E1;1,622362518E1;1,572334290E1;1,271967697E1
1,445063104E1;1,638864899E1;1,553808594E1;1,261884403E1
1,455043104E1;1,637660217E1;1,545242310E1;1,287286854E1
1,465023104E1;1,655850601E1;1,541639709E1;1,323550606E1
1,475003004E1;1,656473160E1;1,556140137E1;1,346301460E1
1,484983004E1;1,678243256E1;1,564859009E1;1,315767002E1
1,494963004E1;1,696995926E1;1,569076538E1;1,297690964E1
1,504943004E1;1,671453857E1;1,576676941E1;1,300909805E1
1,514923004E1;1,662052155E1;1,609609985E1;1,315057945E1
1,524903017E1;1,628805161E1;1,616580200E1;1,251914406E1
1,534883017E1;1,646131516E1;1,570542908E1;1,265388107E1
1,544862917E1;1,660940933E1;1,596900940E1;1,268761826E1
1,554842917E1;1,610859680E1;1,596994019E1;1,258362675E1
1,564822917E1;1,642547226E1;1,608982849E1;1,250764084E1
1,574802917E1;1,624219131E1;1,625779724E1;1,232096004E1
1,584782917E1;1,620856857E1;1,612409973E1;1,212596893E1
1,594762917E1;1,633378220E1;1,628413391E1;1,256743050E1
1,604742917E1;1,600592422E1;1,585121155E1;1,246194363E1
1,614722817E1;1,623566818E1;1,565911865E1;1,228250885E1
1,624702892E1;1,616463470E1;1,568469238E1;1,216086960E1
1,634682892E1;1,548535538E1;1,583229065E1;1,211181831E1
1,644662892E1;1,548518753E1;1,566894531E1;1,185288525E1
1,654642892E1;1,525933838E1;1,610906982E1;1,249502563E1
1,664622892E1;1,558891678E1;1,579515076E1;1,221226406E1
1,674602892E1;1,552502441E1;1,579821777E1;1,224574852E1
1,684582892E1;1,521652985E1;1,460008240E1;1,308024025E1
1,694562792E1;1,463797379E1;1,379866028E1;1,291906929E1
1,704542792E1;1,419831848E1;1,363005066E1;1,324753380E1
1,714522792E1;1,434465408E1;1,371078491E1;1,370587349E1
1,724502821E1;1,443511581E1;1,321620178E1;1,351161766E1
1,734482821E1;1,416528320E1;1,307977295E1;1,359009266E1
