"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717662647904000E9;"2024-06-06 10:30:47.904 UTC+02:00"
"PAUSE";2,493310312916728E2;1,717662897230000E9;"2024-06-06 10:34:57.230 UTC+02:00"
