"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
6,698012352E-3;5,235568078E1;4,889871888E0;2,337978431E0;0,000000000E0;NaN;6,520160526E0;4,000000000E0
6,349545717E-1;5,235568866E1;4,889871553E0;3,135219574E0;0,000000000E0;1,532812500E2;1,668156862E1;8,000000000E0
1,288988471E0;5,235568887E1;4,889871972E0;1,731410980E0;0,000000000E0;1,532812500E2;1,668156862E1;4,000000000E0
2,289204001E0;5,235569457E1;4,889870966E0;1,862819672E0;0,000000000E0;1,532812500E2;1,402444144E1;4,000000000E0
3,289405227E0;5,235569365E1;4,889871804E0;1,947414398E0;0,000000000E0;1,532812500E2;1,292180449E1;4,000000000E0
4,289593935E0;5,235569444E1;4,889875660E0;2,120204926E0;0,000000000E0;1,532812500E2;1,110706539E1;4,000000000E0
5,289772511E0;5,235569268E1;4,889875157E0;2,160305023E0;0,000000000E0;1,532812500E2;9,853097765E0;4,000000000E0
6,289922357E0;5,235569348E1;4,889874319E0;2,195339203E0;0,000000000E0;1,532812500E2;9,064588876E0;4,000000000E0
7,290064454E0;5,235569264E1;4,889875241E0;2,292751312E0;0,000000000E0;1,532812500E2;8,492786914E0;4,000000000E0
8,290200353E0;5,235569260E1;4,889875241E0;2,477382660E0;0,000000000E0;1,532812500E2;7,593478263E0;4,000000000E0
9,290326238E0;5,235569256E1;4,889875157E0;2,567287445E0;0,000000000E0;1,532812500E2;7,136299379E0;4,000000000E0
1,029043639E1;5,235569252E1;4,889875073E0;2,635707855E0;0,000000000E0;1,532812500E2;6,883152542E0;4,000000000E0
1,129054666E1;5,235569239E1;4,889874989E0;2,692165375E0;0,000000000E0;1,532812500E2;6,585368036E0;4,000000000E0
1,229064989E1;5,235569235E1;4,889875073E0;2,785793304E0;0,000000000E0;1,532812500E2;6,263002345E0;4,000000000E0
1,329074359E1;5,235569235E1;4,889875073E0;2,785793373E0;0,000000000E0;NaN;6,263002345E0;4,000000000E0
1,429083610E1;5,235569193E1;4,889874905E0;2,991176673E0;0,000000000E0;NaN;5,668726178E0;4,000000000E0
1,529092050E1;5,235569187E1;4,889902686E0;3,421230460E0;9,800000191E-1;8,332032381E1;5,476567580E0;3,004269247E0
1,629099572E1;5,235567687E1;4,889931332E0;3,257717276E0;9,800000191E-1;1,030078236E2;5,201921698E0;3,065001827E0
1,729107034E1;5,235567779E1;4,889958574E0;3,999294423E0;9,800000191E-1;1,030078236E2;5,012443521E0;3,118301380E0
1,829113829E1;5,235568315E1;4,889983572E0;5,078273952E0;1,190000057E0;1,037109509E2;4,868370080E0;4,000000000E0
1,929119802E1;5,235568517E1;4,890018675E0;5,382045993E0;1,509999990E0;1,001953298E2;4,855358915E0;4,000000000E0
2,029125738E1;5,235568941E1;4,890036133E0;5,568325220E0;1,190000057E0;9,949220114E1;5,243441174E0;6,000000000E0
2,129131293E1;5,235569222E1;4,890054215E0;5,646084000E0;1,139999986E0;9,351563822E1;5,317148967E0;6,000000000E0
2,229136515E1;5,235569557E1;4,890068874E0;6,097438963E0;1,029999971E0;8,718751196E1;5,187619094E0;6,000000000E0
2,329141486E1;5,235569939E1;4,890083196E0;5,493679198E0;1,029999971E0;8,296876188E1;5,265328650E0;6,000000000E0
2,429146051E1;5,235569975E1;4,890102155E0;4,571499021E0;1,029999971E0;8,753907446E1;5,394059912E0;6,000000000E0
2,529150391E1;5,235569824E1;4,890120704E0;4,733913576E0;1,059999943E0;9,210938731E1;5,598060546E0;6,000000000E0
2,629154444E1;5,235569355E1;4,890143540E0;5,790676304E0;1,240000010E0;9,984376420E1;5,571617149E0;6,000000000E0
2,729158211E1;5,235568986E1;4,890164076E0;6,210231969E0;1,240000010E0;9,984376420E1;5,317599074E0;6,000000000E0
2,829161918E1;5,235568608E1;4,890177448E0;5,929470218E0;1,059999943E0;1,005468871E2;5,463200033E0;6,000000000E0
2,929165256E1;5,235568207E1;4,890190637E0;5,460537082E0;8,500000238E-1;9,667969731E1;5,246500983E0;6,000000000E0
3,029168451E1;5,235567659E1;4,890219199E0;5,951198795E0;1,379999995E0;9,914064083E1;4,944793419E0;6,000000000E0
