Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-26 11:41:42,false,"Nieuwegein - Long Run","11.33","931","01:08:03","152","163","3.4","160","171","6:00","3:39","9","15","1.04","8.6","9.0","295","6:02","343","0.0","341","683","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","27.0","NaN:NaN","No","00:00:02.7","2","31.0","01:07:51","01:10:58","-4","7"
HIIT,2024-05-25 11:40:54,false,"HIIT","0.00","92","00:10:01","122","157","0.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","19","1","NaN:NaN","NaN","NaN:NaN","No","00:10:01","1","NaN","00:10:01","00:10:01","--","--"
Strength Training,2024-05-25 10:49:04,false,"Strength","0.00","244","00:50:03","96","146","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","252","15","NaN:NaN","27.0","NaN:NaN","No","00:50:03","1","29.0","00:16:10","00:50:03","--","--"
Running,2024-05-24 20:43:31,false,"Nieuwegein - Sprint","7.25","582","00:43:37","151","172","3.1","158","192","6:01","2:46","6","9","1.04","8.8","9.0","299","6:04","354","0.0","338","742","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:00:06.9","14","31.0","00:43:29","00:44:14","2","7"
Pool Swim,2024-05-24 08:26:51,false,"Pool Swim","1,025","325","00:33:20","130","149","1.9","--","--","2:15","0:59","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","539","47","23","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:08.4","27","NaN","00:23:00","00:35:14","--","--"
Strength Training,2024-05-23 09:51:06,false,"Strength","0.00","203","00:54:36","88","117","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","199","21","NaN:NaN","24.0","NaN:NaN","No","00:54:36","1","29.0","00:15:31","00:54:36","--","--"
Running,2024-05-22 17:48:26,false,"Utrecht - Threshold","6.77","553","00:36:04","168","181","3.6","159","167","5:19","4:19","7","10","1.17","8.2","9.6","288","5:20","394","0.0","387","565","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","24.0","NaN:NaN","No","00:00:03.6","4","29.0","00:36:04","00:36:04","-4","1"
HIIT,2024-05-21 20:26:00,false,"HIIT","0.00","67","00:10:01","107","128","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","11","1","NaN:NaN","NaN","NaN:NaN","No","00:10:01","1","NaN","00:10:01","00:10:01","--","--"
Pool Swim,2024-05-21 07:46:30,false,"Pool Swim","2,275","602","00:59:36","135","153","2.3","--","--","2:21","0:51","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","1367","50","26","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:05.5","31","NaN","00:53:28","01:02:58","--","--"
Padel,2024-05-20 15:32:34,false,"Padel","0.52","652","01:23:15","128","163","2.2","24","237","0.4","10.0","--","--","0.26","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","01:23:15","1","NaN","00:07:01","01:27:57","--","--"
