Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-04-21 10:13:56,false,"Utrecht Running","2.58","181","00:12:45","143","181","2.5","160","167","4:56","4:06","5","6","1.26","7.8","9.8","278","4:58","425","0.0","412","535","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","18.0","NaN:NaN","No","00:12:45","1","29.0","00:12:31","00:12:45","-2","3"
Strength Training,2024-04-16 15:05:13,false,"Strength","0.00","370","00:54:07","112","161","1.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","239","19","NaN:NaN","27.0","NaN:NaN","No","00:54:07","1","30.0","00:20:39","00:54:07","--","--"
Indoor Cycling,2024-04-15 21:29:00,false,"Indoor Cycling","0.00","233","00:15:56","155","177","2.9","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:15:56","1","NaN","00:00:00","00:15:56","--","--"
Strength Training,2024-04-15 20:49:59,false,"Strength","0.00","215","00:37:30","102","141","0.7","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","181","18","NaN:NaN","25.0","NaN:NaN","No","00:37:30","1","28.0","00:12:00","00:37:30","--","--"
Field Hockey,2024-04-14 15:46:16,false,"Field Hockey","0.00","--","00:00:04.2","87","89","0.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:00","2","NaN","00:00:00","00:00:04.2","--","--"
Running,2024-04-07 10:51:23,false,"Paris - Schneider Electric Marathon de Paris","42.94","3,914","04:53:27","174","193","5.0","148","233","6:50","4:59","151","151","0.98","8.8","8.7","298","6:50","313","0.0","290","476","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","22.0","NaN:NaN","No","04:53:27","1","32.0","04:38:25","04:53:27","30","68"
Running,2024-04-03 19:54:52,false,"Utrecht Running","3.00","254","00:17:28","155","174","2.7","155","165","5:50","4:18","6","7","1.10","8.6","9.4","299","5:50","359","0.0","347","559","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:17:28","1","22.0","00:17:26","00:17:35","3","7"
Running,2024-04-03 19:42:07,false,"Utrecht Running","1.37","115","00:08:54.2","146","164","2.0","155","163","6:30","5:57","4","3","0.99","9.0","8.9","303","6:23","315","0.0","311","384","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","23.0","NaN:NaN","No","00:08:54.2","1","28.0","00:08:48","00:11:00","1","5"
Running,2024-04-01 15:54:15,false,"Utrecht Running","3.01","229","00:15:18","154","180","2.8","159","167","5:05","4:29","4","5","1.25","8.0","9.9","283","5:05","416","0.0","402","511","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","22.0","NaN:NaN","No","00:15:18","1","28.0","00:15:00","00:15:18","-1","2"
Strength Training,2024-03-31 12:59:07,false,"Strength","0.00","231","00:46:12","97","131","0.5","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","201","21","NaN:NaN","28.0","NaN:NaN","No","00:46:12","1","30.0","00:13:57","00:46:12","--","--"
Cycling,2024-03-30 18:58:44,false,"Nieuwegein Cycling","7.79","192","00:23:40","116","136","0.9","--","--","19.7","35.3","20","19","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:08:23.8","2","NaN","00:23:15","00:24:08","-9","7"
Cycling,2024-03-30 12:18:22,false,"Utrecht Cycling","7.51","218","00:20:31","130","146","1.6","--","--","22.0","32.2","12","16","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:06:53.4","2","NaN","00:20:25","00:20:31","-4","11"
Strength Training,2024-03-26 09:00:41,false,"Strength","0.00","299","00:45:55","109","150","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","209","22","NaN:NaN","27.0","NaN:NaN","No","00:45:55","1","28.0","00:11:29","00:45:55","--","--"
Strength Training,2024-03-25 13:54:36,false,"Strength","0.00","198","00:29:57","109","132","0.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","145","16","NaN:NaN","26.0","NaN:NaN","No","00:29:57","1","30.0","00:10:29","00:29:57","--","--"
Indoor Cycling,2024-03-24 10:22:03,false,"Indoor Cycling","18.07","350","00:30:02","136","153","2.3","--","--","36.1","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","190","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:30:02","1","NaN","00:00:00","00:31:08","--","--"
Indoor Cycling,2024-03-20 20:35:05,false,"Indoor Cycling","20.08","365","00:37:29","127","148","1.8","--","--","32.1","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:02:02.1","2","NaN","00:00:00","00:37:52","--","--"
Running,2024-03-17 09:45:51,false,"Utrecht Running","17.44","1,386","01:42:31","153","162","3.9","160","167","5:53","4:27","26","22","1.06","8.6","9.1","293","5:54","343","0.0","343","511","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","19.0","NaN:NaN","No","00:05:55.3","2","27.0","01:42:26","01:51:25","2","9"
Running,2024-03-16 16:28:08,false,"Utrecht Running","3.01","240","00:16:19","153","164","2.6","157","163","5:25","4:37","7","6","1.17","8.3","9.7","291","5:24","379","0.0","373","506","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","22.0","NaN:NaN","No","00:16:19","1","26.0","00:16:19","00:18:34","-2","3"
Running,2024-03-13 08:39:27,false,"Utrecht Running","13.30","1,070","01:08:06","172","188","4.9","163","171","5:07","3:33","34","35","1.19","8.0","9.5","278","5:09","398","0.0","392","587","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","19.0","NaN:NaN","No","00:02:19.7","3","29.0","01:07:41","01:15:15","3","17"
Strength Training,2024-03-12 13:05:05,false,"Strength","0.00","133","00:24:21","98","128","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","4","1","NaN:NaN","25.0","NaN:NaN","No","00:24:21","1","28.0","00:24:21","00:24:21","--","--"
Running,2024-03-11 15:53:57,false,"Utrecht Running","8.81","707","00:48:12","159","177","3.6","158","167","5:28","3:50","19","20","1.14","8.3","9.5","290","5:31","365","0.0","360","579","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","18.0","NaN:NaN","No","00:02:35.0","5","28.0","00:47:53","00:51:59","-1","9"
Running,2024-03-10 12:36:24,false,"Utrecht Running","22.22","1,793","02:11:33","156","183","4.2","159","188","5:55","3:50","34","35","1.06","8.7","9.1","295","5:57","345","0.0","342","618","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","02:11:33","1","29.0","02:11:04","02:17:42","2","11"
Running,2024-03-08 08:39:33,false,"Utrecht Running","5.72","419","00:27:55","157","184","3.3","163","172","4:53","3:34","14","11","1.25","7.8","9.6","273","4:53","436","0.0","416","578","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","15.0","NaN:NaN","No","00:00:02.4","11","28.0","00:27:41","00:30:53","1","6"
Running,2024-03-06 08:00:37,false,"Utrecht Running","10.34","831","01:01:24","152","167","3.4","159","165","5:56","4:13","31","30","1.06","8.7","9.2","297","5:57","341","0.0","336","516","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","16.0","NaN:NaN","No","00:03:25.1","3","28.0","01:01:19","01:05:22","-1","7"
Table Tennis,2024-03-05 16:47:27,false,"Table Tennis","0.09","144","00:25:09","100","129","0.3","15","200","0.2","7.4","--","--","0.24","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:25:09","1","NaN","00:01:31","00:25:14","--","--"
Strength Training,2024-03-04 16:01:43,false,"Strength","0.00","103","00:27:42","84","115","0.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","4","1","NaN:NaN","25.0","NaN:NaN","No","00:27:42","1","27.0","00:27:42","00:27:42","--","--"
Running,2024-03-03 11:25:50,false,"Utrecht Running","30.02","2,522","03:02:10","163","178","5.0","160","167","6:04","4:23","40","34","1.02","8.7","8.9","294","6:06","328","0.0","326","484","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","03:02:10","1","31.0","03:01:31","03:15:14","-2","7"
Running,2024-03-01 08:39:31,false,"Utrecht Running","8.01","634","00:45:33","152","166","3.2","157","165","5:41","3:35","18","16","1.11","8.4","9.3","297","5:47","352","0.0","348","645","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","16.0","NaN:NaN","No","00:00:01.3","2","28.0","00:45:17","00:48:46","-1","7"
Strength Training,2024-02-29 19:31:01,false,"Strength","0.00","283","00:43:32","109","155","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","51","11","NaN:NaN","27.0","NaN:NaN","No","00:43:32","1","30.0","00:31:01","00:43:32","--","--"
Running,2024-02-27 15:06:49,false,"Utrecht Running","11.32","903","01:02:51","156","172","3.7","160","219","5:33","3:08","27","23","1.12","8.4","9.4","290","5:34","369","0.0","363","638","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","19.0","NaN:NaN","No","00:01:59.6","7","27.0","01:02:47","01:06:46","-5","8"
Running,2024-02-26 12:34:43,false,"Ganshoren Running","5.18","434","00:36:45","138","157","2.4","141","225","7:06","4:51","45","54","1.00","9.0","8.6","308","7:05","324","0.0","286","536","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","14.0","NaN:NaN","No","00:00:13","8","23.0","00:36:24","00:37:03","19","65"
Running,2024-02-24 11:11:40,false,"Brussels Running","18.94","1,556","01:48:23","161","176","4.4","159","194","5:43","4:13","279","268","1.10","8.5","9.4","294","5:38","382","0.0","370","644","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","14.0","NaN:NaN","No","00:09:40.8","2","26.0","01:47:58","01:49:45","20","68"
Running,2024-02-21 08:57:47,false,"Utrecht Running","7.41","591","00:38:58","162","175","3.5","161","167","5:15","4:06","16","13","1.17","8.1","9.5","283","5:16","395","0.0","388","523","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","19.0","NaN:NaN","No","00:00:03.0","7","30.0","00:38:56","00:41:14","0","6"
Running,2024-02-20 18:38:19,false,"Utrecht Running","9.41","765","00:57:37","144","164","3.1","151","182","6:08","5:05","10","14","1.07","8.8","9.4","308","6:11","329","0.0","327","534","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:57:37","1","28.0","00:57:04","01:30:45","3","11"
Strength Training,2024-02-19 15:34:58,false,"Strength","0.00","112","00:25:09","90","127","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","5","1","NaN:NaN","27.0","NaN:NaN","No","00:25:09","1","28.0","00:25:09","00:25:09","--","--"
Running,2024-02-18 11:53:03,false,"Utrecht Running","18.94","1,535","01:53:01","153","167","3.9","158","167","5:58","3:47","42","36","1.06","8.7","9.2","298","5:59","344","0.0","341","607","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","13.0","NaN:NaN","No","00:03:25.9","4","29.0","01:52:39","01:57:33","1","13"
Running,2024-02-16 18:19:03,false,"Utrecht Running","11.76","934","01:10:02","148","162","3.4","156","175","5:57","4:58","24","25","1.07","8.7","9.3","301","5:59","336","0.0","334","437","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","21.0","NaN:NaN","No","00:12:14","2","29.0","01:09:52","01:13:07","-5","7"
Running,2024-02-14 08:47:33,false,"Utrecht Running","8.77","717","00:47:57","162","188","3.9","161","178","5:28","3:28","62","62","1.13","8.3","9.3","285","5:25","450","0.0","388","758","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:00:59.5","21","29.0","00:47:53","00:50:42","-1","8"
Strength Training,2024-02-13 13:25:55,false,"Strength","0.00","126","00:29:48","88","113","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","29","8","NaN:NaN","25.0","NaN:NaN","No","00:29:48","1","26.0","00:26:29","00:29:48","--","--"
Running,2024-02-12 15:25:58,false,"Utrecht Running","9.22","749","00:50:26","160","173","3.7","158","167","5:28","4:09","9","11","1.15","8.3","9.6","291","5:31","372","0.0","365","548","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","19.0","NaN:NaN","No","00:01:21.4","15","30.0","00:49:59","00:53:02","-6","4"
Running,2024-02-10 11:08:19,false,"Utrecht Running","23.01","1,881","02:25:08","151","171","4.1","157","165","6:19","4:42","41","43","1.01","9.0","9.0","304","6:20","318","0.0","317","435","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:05:02.6","2","28.0","02:25:05","02:28:48","-2","13"
Running,2024-02-07 08:34:26,false,"Utrecht Running","10.77","876","01:00:08","156","174","3.8","160","208","5:35","4:46","36","31","1.12","8.4","9.4","291","5:35","360","0.0","357","571","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","16.0","NaN:NaN","No","00:04:12.2","11","29.0","01:00:03","01:02:32","-2","12"
Strength Training,2024-02-06 15:23:57,false,"Strength","0.00","165","00:30:23","98","123","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","65","21","NaN:NaN","27.0","NaN:NaN","No","00:30:23","1","27.0","00:17:15","00:30:23","--","--"
Running,2024-02-05 09:07:12,false,"Utrecht Running","8.98","738","00:49:57","159","183","3.7","159","182","5:34","4:25","26","25","1.13","8.4","9.4","291","5:36","373","0.0","365","549","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","17.0","NaN:NaN","No","00:02:39.0","10","29.0","00:49:37","00:53:09","-1","5"
Running,2024-02-03 16:25:02,false,"Bunnik Running","10.11","890","00:59:42","170","176","3.8","157","163","5:54","5:29","13","17","1.08","8.6","9.3","299","5:54","341","0.0","340","415","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:59:42","1","25.0","00:59:32","00:59:42","-5","2"
Running,2024-02-03 13:30:45,false,"Utrecht Running","8.41","711","00:49:06","157","172","3.5","156","163","5:51","4:49","14","11","1.08","8.6","9.3","298","5:52","343","0.0","341","466","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:49:06","1","27.0","00:48:49","00:52:10","-2","4"
Running,2024-02-01 12:16:50,false,"Utrecht Running","10.17","854","01:01:04","157","172","3.5","157","165","6:00","4:34","11","12","1.05","8.7","9.2","300","6:05","336","0.0","334","463","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","19.0","NaN:NaN","No","01:01:04","1","27.0","01:00:40","01:04:50","-2","5"
Strength Training,2024-01-31 17:50:08,false,"Strength","0.00","260","00:39:32","106","151","0.9","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","185","14","NaN:NaN","24.0","NaN:NaN","No","00:39:32","1","28.0","00:13:39","00:39:32","--","--"
Running,2024-01-30 08:34:32,false,"Utrecht Running","8.44","682","00:47:01","159","177","3.6","158","167","5:34","4:13","14","15","1.14","8.4","9.5","292","5:33","382","0.0","370","538","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:51.4","14","NaN","00:46:53","00:51:01","-1","7"
Strength Training,2024-01-28 13:29:29,false,"Strength","0.00","217","00:38:47","100","138","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","91","27","NaN:NaN","24.0","NaN:NaN","No","00:38:47","1","26.0","00:20:55","00:38:47","--","--"
Running,2024-01-27 11:22:00,false,"Utrecht Running","17.02","1,415","01:42:06","154","172","4.1","157","207","6:00","4:16","27","25","1.05","8.7","9.2","300","6:04","338","0.0","336","491","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:06.4","18","NaN","01:41:40","01:46:27","-2","4"
Running,2024-01-24 10:16:47,false,"Utrecht Running","9.01","764","00:50:06","168","184","3.9","159","171","5:34","3:48","67","71","1.13","8.4","9.4","293","5:34","377","0.0","370","551","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:03.1","10","NaN","00:50:03","00:52:36","-5","8"
Strength Training,2024-01-23 08:50:08,false,"Strength","0.00","186","00:40:33","90","122","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","176","18","NaN:NaN","26.0","NaN:NaN","No","00:40:33","1","27.0","00:12:13","00:40:33","--","--"
Running,2024-01-22 09:14:46,false,"Utrecht Running","6.06","513","00:31:34","172","185","3.9","158","163","5:12","4:23","29","31","1.22","8.1","9.9","290","5:13","411","0.0","407","553","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:17.7","7","NaN","00:31:32","00:34:17","1","12"
Strength Training,2024-01-21 19:13:22,false,"Strength","0.00","175","00:27:56","102","127","0.5","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","61","22","NaN:NaN","28.0","NaN:NaN","No","00:27:56","1","30.0","00:17:05","00:27:56","--","--"
Running,2024-01-20 11:48:55,false,"Utrecht - Long Run - 12km 6:00","13.13","1,122","01:22:31","156","174","3.6","158","165","6:17","4:08","31","40","1.00","8.9","9.0","302","6:18","326","0.0","324","514","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:02.1","15","NaN","01:22:20","01:24:10","--","12"
Strength Training,2024-01-19 08:16:43,false,"Strength","0.00","244","00:47:17","95","132","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","171","18","NaN:NaN","24.0","NaN:NaN","No","00:47:17","1","26.0","00:12:14","00:47:17","--","--"
Strength Training,2024-01-18 09:47:53,false,"Strength","0.00","482","00:58:41","117","163","2.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","192","12","NaN:NaN","25.0","NaN:NaN","No","00:58:41","1","28.0","00:32:00","00:58:41","--","--"
Running,2024-01-17 10:02:31,false,"Utrecht - Interval - 7x4minx2min 5:00","5.26","424","00:31:06","151","179","3.1","145","234","5:55","4:36","10","5","1.14","7.8","8.9","290","5:57","365","0.0","325","485","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:53.4","11","NaN","00:30:45","00:34:56","-3","5"
Strength Training,2024-01-16 08:31:25,false,"Strength","0.00","324","00:47:25","110","142","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","192","21","NaN:NaN","27.0","NaN:NaN","No","00:47:25","1","29.0","00:13:45","00:47:25","--","--"
Running,2024-01-15 11:57:41,false,"Utrecht Running","2.89","237","00:19:53","137","152","2.1","155","161","6:52","6:06","5","6","0.93","9.3","8.6","311","6:58","301","0.0","295","430","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:05:46.0","3","NaN","00:19:43","00:20:15","2","7"
Strength Training,2024-01-14 14:52:08,false,"Strength","0.00","319","00:44:37","111","135","1.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","69","29","NaN:NaN","26.0","NaN:NaN","No","00:44:37","1","27.0","00:26:38","00:44:37","--","--"
Running,2024-01-13 11:30:27,false,"Houten - 1/4 Marathon Vlinderloop Houten","10.67","935","00:57:03","178","188","4.8","159","165","5:21","4:55","11","10","1.18","8.2","9.7","290","5:22","387","0.0","385","457","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:03:31.9","11","NaN","00:57:00","00:57:03","-4","2"
Strength Training,2024-01-12 09:37:32,false,"Strength","0.00","314","00:46:38","108","138","1.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","159","21","NaN:NaN","26.0","NaN:NaN","No","00:46:38","1","27.0","00:11:04","00:46:38","--","--"
Strength Training,2024-01-11 07:51:58,false,"Strength","0.00","487","01:01:14","119","152","2.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","251","17","NaN:NaN","24.0","NaN:NaN","No","01:01:14","1","26.0","00:28:04","01:01:14","--","--"
Running,2024-01-10 10:14:24,false,"Nieuwegein - 7x4minx2min 5:00 interval","7.70","635","00:44:58","156","178","3.4","145","187","5:50","3:18","11","13","1.16","7.8","9.0","290","5:52","370","0.0","331","610","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:06.2","15","NaN","00:44:36","00:44:58","-5","2"
Running,2024-01-08 12:26:53,false,"Nieuwegein Running","5.28","429","00:24:51","178","185","3.8","159","165","4:42","3:26","6","7","1.33","7.7","10.2","277","4:44","438","0.0","432","704","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:01:20.7","6","NaN","00:24:34","00:24:51","-8","-3"
Hiking,2024-01-06 10:25:56,false,"Marseille Walking","11.03","1,109","02:52:59","109","153","2.1","76","222","15:41","4:47","558","542","0.85","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:20.7","12","NaN","02:18:58","03:45:51","-2","252"
Walking,2024-01-04 12:08:05,false,"Marseille Walking","6.08","666","02:01:12","98","154","1.5","59","177","19:56","8:33","181","176","0.85","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:01:01.6","7","NaN","01:21:05","03:37:04","-2","77"
Running,2024-01-04 08:02:37,false,"Marseille Running","5.34","454","00:27:51","166","181","3.6","151","160","5:13","4:25","34","12","1.25","8.2","10.2","299","5:15","391","0.0","389","526","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:01:42.6","6","NaN","00:27:42","00:30:22","-9","17"
Running,2023-12-31 13:15:39,false,"Nieuwegein - 10km 6:00 long run","9.27","815","00:54:20","160","170","3.7","154","161","5:52","4:44","26","26","1.10","8.6","9.5","304","5:53","352","0.0","349","481","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:01.2","11","NaN","00:54:14","00:55:21","-7","-2"
Running,2023-12-27 20:23:41,false,"Nieuwegein - 5x4minx2min 5:05 interval","6.41","558","00:36:22","161","181","3.5","156","231","5:40","4:18","27","32","1.13","8.5","9.5","297","5:38","392","0.0","372","587","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:16.8","12","NaN","00:36:21","00:36:46","-5","13"
Walking,2023-12-26 11:39:12,false,"Hilversum Walking","8.42","685","02:35:44","87","115","0.2","57","203","18:30","6:10","35","42","0.96","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:06:45.9","9","NaN","01:47:37","02:52:18","-6","10"
Running,2023-12-25 17:58:54,false,"Nieuwegein - 5km 5:15 tempo run","6.20","548","00:32:03","173","181","3.9","155","161","5:10","4:41","36","36","1.25","8.1","10.1","293","5:10","410","0.0","402","545","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:22.4","8","NaN","00:31:48","00:32:03","-3","18"
Strength Training,2023-12-24 20:30:42,false,"Strength","0.00","320","00:34:02","119","146","1.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","39","28","NaN:NaN","25.0","NaN:NaN","No","00:34:02","1","27.0","00:20:07","00:34:02","--","--"
Running,2023-12-23 13:38:00,false,"Nieuwegein - 8km 6:00 long run","8.20","100","00:47:00","NaN","NaN","1.4","--","--","5:44","5:23","--","--","1.11","8.7","9.7","311","5:55","379","0.0","371","504","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:03.3","3","NaN","00:07:38.8","00:07:41.4","-11","-7"
Running,2023-12-20 09:38:37,false,"Nieuwegein - 5x4minx2min 5:05 interval","6.89","595","00:40:45","159","181","3.3","149","163","5:55","4:13","11","10","1.12","8.4","9.2","300","5:55","380","0.0","343","588","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:01.3","13","NaN","00:40:29","00:40:45","-3","2"
Running,2023-12-18 09:19:21,false,"Nieuwegein - 5km Z3 tempo run","5.28","460","00:29:55","159","169","3.1","151","160","5:40","5:00","6","4","1.16","8.5","9.9","309","5:41","369","0.0","363","510","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:01.5","11","NaN","00:29:53","00:30:05","-4","2"
Strength Training,2023-12-17 11:34:14,false,"Strength","0.00","158","00:24:43","100","122","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","13","18","NaN:NaN","27.0","NaN:NaN","No","00:24:43","1","27.0","00:14:54","00:24:43","--","--"
Running,2023-12-16 13:14:53,false,"Nieuwegein - 16 dec - 7km duurloop","7.09","631","00:40:33","166","176","3.3","149","156","5:43","4:32","11","9","1.17","8.5","10.0","313","5:43","367","0.0","360","497","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:00.9","11","NaN","00:40:23","00:40:34","-6","1"
