"Time (s)";"Temperature (°C)"
1,986340091E1;3,301562500E1
1,996340091E1;3,300781250E1
2,006340091E1;3,303125000E1
2,016340091E1;3,303906250E1
2,026340091E1;3,301953125E1
2,036340091E1;3,301171875E1
2,046340091E1;3,298828125E1
2,056340091E1;3,297656250E1
2,066340091E1;3,301953125E1
2,076340091E1;3,301562500E1
2,086340091E1;3,303125000E1
2,096340091E1;3,299609375E1
2,106340091E1;3,297265625E1
2,116340091E1;3,298046875E1
2,126340091E1;3,301953125E1
2,136340091E1;3,302734375E1
2,146340091E1;3,294140625E1
2,156340091E1;3,297265625E1
2,166340091E1;3,299218750E1
2,176340091E1;3,297265625E1
2,186340091E1;3,296484375E1
2,196340091E1;3,295703125E1
2,206340091E1;3,294921875E1
2,216340091E1;3,294140625E1
2,226340091E1;3,294140625E1
2,236340091E1;3,296484375E1
2,246340091E1;3,294921875E1
2,256340091E1;3,295703125E1
2,266340091E1;3,298437500E1
2,276340091E1;3,292187500E1
2,286340091E1;3,294140625E1
2,296340091E1;3,289843750E1
2,306340091E1;3,294140625E1
2,316340091E1;3,292187500E1
2,326340091E1;3,297265625E1
2,336340091E1;3,290625000E1
2,346340091E1;3,297265625E1
2,356340091E1;3,293750000E1
2,366340091E1;3,289062500E1
2,376340091E1;3,294921875E1
2,386340091E1;3,292968750E1
2,396340091E1;3,294921875E1
2,406340091E1;3,290625000E1
2,416340091E1;3,292968750E1
2,426340091E1;3,294921875E1
2,436340091E1;3,294140625E1
2,446340091E1;3,292187500E1
2,456340091E1;3,291406250E1
2,466340091E1;3,292187500E1
2,476340091E1;3,292968750E1
2,486340091E1;3,289062500E1
2,496340091E1;3,288281250E1
2,506340091E1;3,292187500E1
2,516340091E1;3,291406250E1
2,526340091E1;3,289062500E1
2,536340091E1;3,291406250E1
2,546340091E1;3,288281250E1
2,556340091E1;3,287500000E1
2,566340091E1;3,291406250E1
2,576340091E1;3,288281250E1
2,586340091E1;3,291406250E1
2,596340091E1;3,286328125E1
2,606340091E1;3,286328125E1
2,616340091E1;3,287500000E1
2,626340091E1;3,285546875E1
2,636340091E1;3,283203125E1
2,646340091E1;3,285546875E1
2,656340091E1;3,283203125E1
2,666340091E1;3,287500000E1
2,676340091E1;3,284375000E1
2,686340091E1;3,284765625E1
2,696340091E1;3,281640625E1
2,706340091E1;3,285546875E1
2,716340091E1;3,281640625E1
2,726340091E1;3,282421875E1
2,736340091E1;3,278906250E1
2,746340091E1;3,282031250E1
2,756340091E1;3,279687500E1
2,766340091E1;3,280859375E1
2,776340091E1;3,284765625E1
2,786340091E1;3,283203125E1
2,796340091E1;3,280859375E1
2,806340091E1;3,280859375E1
2,816340091E1;3,278906250E1
2,826340091E1;3,280859375E1
2,836340091E1;3,280468750E1
2,846340091E1;3,278906250E1
2,856340091E1;3,282421875E1
2,866340091E1;3,275000000E1
2,876340091E1;3,283984375E1
2,886340091E1;3,278906250E1
2,896340091E1;3,278125000E1
2,906340091E1;3,274218750E1
2,916340091E1;3,278125000E1
2,926340091E1;3,278125000E1
2,936340091E1;3,281640625E1
2,946340091E1;3,278906250E1
2,956340091E1;3,281640625E1
2,966340091E1;3,281640625E1
2,976340091E1;3,275000000E1
2,986340091E1;3,278125000E1
2,996340091E1;3,274218750E1
3,006340091E1;3,278906250E1
3,016340091E1;3,276562500E1
3,026340091E1;3,278125000E1
3,036340091E1;3,275781250E1
3,046340091E1;3,279687500E1
3,056340091E1;3,277343750E1
3,066340091E1;3,277343750E1
3,076340091E1;3,274218750E1
3,086340091E1;3,275000000E1
3,096340091E1;3,272265625E1
3,106340091E1;3,271093750E1
3,116340091E1;3,272265625E1
3,126340091E1;3,272656250E1
3,136340091E1;3,278906250E1
3,146340091E1;3,275781250E1
3,156340091E1;3,270703125E1
