"Time (s)";"Illuminance (lx)"
1,115476223E3;1,373799896E2
1,115576223E3;1,373799896E2
1,115676223E3;1,373799896E2
1,115776223E3;1,373799896E2
1,115876223E3;1,373799896E2
1,115976223E3;1,373799896E2
1,116076223E3;1,373799896E2
1,116176223E3;1,373799896E2
1,116276223E3;1,373799896E2
1,116376223E3;1,373799896E2
1,116476223E3;1,373799896E2
1,116576223E3;1,373799896E2
1,116676223E3;1,373799896E2
1,116776223E3;1,373799896E2
1,116876223E3;1,373799896E2
1,116976223E3;1,373799896E2
1,117076223E3;1,373799896E2
1,117176223E3;1,373799896E2
1,117276223E3;1,373799896E2
1,117376223E3;1,373799896E2
1,117476223E3;1,373799896E2
1,117576223E3;1,373799896E2
1,117676223E3;1,373799896E2
1,117776223E3;1,373799896E2
1,117876223E3;1,373799896E2
1,117976223E3;1,373799896E2
1,118076223E3;1,373799896E2
1,118176223E3;1,373799896E2
1,118276223E3;1,373799896E2
1,118376223E3;1,373799896E2
1,118476223E3;1,373799896E2
1,118576223E3;1,373799896E2
1,118676223E3;1,373799896E2
1,118776223E3;1,373799896E2
1,118876223E3;1,373799896E2
1,118976223E3;1,373799896E2
1,119076223E3;1,373799896E2
1,119176223E3;1,373799896E2
1,119276223E3;1,373799896E2
1,119376223E3;1,373799896E2
1,119476223E3;1,373799896E2
1,119576223E3;1,373799896E2
1,119676223E3;1,697724915E2
1,119776223E3;1,697724915E2
1,119876223E3;1,697724915E2
1,119976223E3;1,697724915E2
1,120076223E3;1,697724915E2
1,120176223E3;1,697724915E2
1,120276223E3;1,697724915E2
1,120376223E3;1,697724915E2
1,120476223E3;1,697724915E2
1,120576223E3;1,697724915E2
1,120676223E3;1,697724915E2
1,120776223E3;1,697724915E2
1,120876223E3;1,096512451E2
1,120976223E3;1,199037476E2
1,121076223E3;1,199037476E2
1,121176223E3;1,199037476E2
1,121276223E3;1,199037476E2
1,121376223E3;1,199037476E2
1,121476223E3;1,199037476E2
1,121576223E3;1,199037476E2
1,121676223E3;1,199037476E2
1,121776223E3;1,199037476E2
1,121876223E3;1,199037476E2
1,121976223E3;1,199037476E2
1,122076223E3;1,199037476E2
1,122176223E3;1,199037476E2
1,122276223E3;1,199037476E2
1,122376223E3;1,199037476E2
1,122476223E3;1,199037476E2
1,122576223E3;1,199037476E2
1,122676223E3;1,199037476E2
1,122776223E3;1,199037476E2
1,122876223E3;1,199037476E2
1,122976223E3;1,199037476E2
1,123076223E3;1,199037476E2
1,123176223E3;1,199037476E2
1,123276223E3;1,298337402E2
1,123376223E3;1,298337402E2
1,123476223E3;1,298337402E2
1,123576223E3;1,298337402E2
1,123676223E3;1,298337402E2
1,123776223E3;1,298337402E2
1,123876223E3;1,298337402E2
1,123976223E3;1,298337402E2
1,124076223E3;1,298337402E2
1,124176223E3;1,298337402E2
1,124276223E3;1,298337402E2
1,124376223E3;1,298337402E2
1,124476223E3;1,298337402E2
1,124576223E3;1,298337402E2
1,124676223E3;1,298337402E2
1,124776223E3;1,298337402E2
