"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
8,605824585E0;-0,000000000E0;2,443460980E-3;-1,527163113E-4
8,705824585E0;6,108652451E-4;2,138028387E-3;3,054326226E-4
8,805824585E0;-4,581489484E-4;2,138028387E-3;1,527163113E-4
8,905824585E0;1,527163113E-4;1,527163084E-3;3,054326226E-4
9,005824585E0;1,527163113E-4;0,000000000E0;-0,000000000E0
9,105824585E0;1,527163113E-4;1,221730490E-3;1,527163113E-4
9,205824585E0;-0,000000000E0;1,069014193E-3;-1,527163113E-4
9,305824585E0;-4,581489484E-4;4,581489484E-4;0,000000000E0
9,405824585E0;-1,527163113E-4;4,581489484E-4;1,527163113E-4
9,505824585E0;6,108652451E-4;1,527163113E-4;0,000000000E0
9,605824585E0;-1,527163113E-4;-4,581489484E-4;-3,054326226E-4
9,705824585E0;-1,679879380E-3;-1,527163113E-4;4,581489484E-4
9,805824585E0;3,054326226E-4;6,108652451E-4;1,527163113E-4
9,905824585E0;-6,108652451E-4;-6,108652451E-4;-0,000000000E0
1,000582459E1;7,635815418E-4;6,108652451E-4;-4,581489484E-4
1,010582458E1;-7,635815418E-4;-0,000000000E0;-1,527163113E-4
1,020582458E1;-6,108652451E-4;-6,108652451E-4;-4,581489484E-4
1,030582458E1;-1,527163084E-3;-6,108652451E-4;-0,000000000E0
1,040582459E1;0,000000000E0;0,000000000E0;-0,000000000E0
1,050582459E1;3,054326226E-4;-1,527163113E-4;-1,527163113E-4
1,060582458E1;4,581489484E-4;-1,527163113E-4;1,527163113E-4
1,070582458E1;-0,000000000E0;3,054326226E-4;-1,527163113E-4
1,080582458E1;-3,054326226E-4;-0,000000000E0;-3,054326226E-4
1,090582459E1;-1,527163113E-4;-9,162978968E-4;0,000000000E0
1,100582459E1;-6,108652451E-4;-4,581489484E-4;3,054326226E-4
1,110582458E1;-1,069014193E-3;-6,108652451E-4;-0,000000000E0
1,120582458E1;-7,635815418E-4;-1,221730490E-3;4,581489484E-4
1,130582458E1;9,162978968E-4;0,000000000E0;-1,527163113E-4
1,140582459E1;1,221730490E-3;-3,054326226E-4;-0,000000000E0
1,150582459E1;7,635815418E-4;0,000000000E0;-3,054326226E-4
1,160582458E1;1,527163113E-4;4,581489484E-4;-4,581489484E-4
1,170582458E1;-3,054326226E-4;-1,527163113E-4;4,581489484E-4
1,180582458E1;-3,054326226E-4;-4,581489484E-4;4,581489484E-4
1,190582459E1;1,527163113E-4;-1,221730490E-3;3,054326226E-4
1,200582459E1;0,000000000E0;-9,162978968E-4;-1,527163113E-4
1,210582458E1;-3,054326226E-4;-7,635815418E-4;1,527163113E-4
1,220582458E1;1,527163113E-4;-1,221730490E-3;-1,527163113E-4
1,230582459E1;-3,054326226E-4;-1,985311974E-3;-0,000000000E0
1,240582459E1;3,054326226E-4;-2,596177394E-3;1,527163113E-4
1,250582459E1;-3,054326226E-4;-1,679879380E-3;4,581489484E-4
1,260582458E1;9,162978968E-4;-1,069014193E-3;-3,054326226E-4
1,270582458E1;-7,635815418E-4;-1,527163084E-3;3,054326226E-4
1,280582459E1;1,069014193E-3;-9,162978968E-4;-3,054326226E-4
1,290582459E1;9,162978968E-4;-1,527163113E-4;-6,108652451E-4
1,300582459E1;-9,162978968E-4;-1,679879380E-3;3,054326226E-4
1,310582458E1;-3,054326226E-4;-7,635815418E-4;-1,527163113E-4
1,320582458E1;1,527163113E-4;-6,108652451E-4;0,000000000E0
1,330582459E1;-2,748893574E-3;-1,527163084E-3;6,108652451E-4
1,340582459E1;1,679879380E-3;9,162978968E-4;-3,054326226E-4
1,350582459E1;4,581489484E-4;6,108652451E-4;-3,054326226E-4
1,360582458E1;-0,000000000E0;-1,527163113E-4;1,527163113E-4
1,370582458E1;9,162978968E-4;1,069014193E-3;-4,581489484E-4
1,380582459E1;7,635815418E-4;1,221730490E-3;-4,581489484E-4
1,390582459E1;-1,527163113E-4;1,832595794E-3;-1,527163113E-4
1,400582459E1;-9,162978968E-4;2,596177394E-3;-3,054326226E-4
1,410582458E1;4,581489484E-4;3,665191587E-3;1,527163113E-4
1,420582458E1;-0,000000000E0;3,512475174E-3;4,581489484E-4
1,430582459E1;1,069014193E-3;3,665191587E-3;-1,527163113E-4
1,440582459E1;3,054326226E-4;3,970623948E-3;-1,527163113E-4
1,450582459E1;3,054326226E-4;4,276056774E-3;1,527163113E-4
1,460582458E1;0,000000000E0;3,665191587E-3;0,000000000E0
1,470582458E1;-6,108652451E-4;2,596177394E-3;-0,000000000E0
1,480582459E1;6,108652451E-4;1,832595794E-3;1,527163113E-4
1,490582459E1;-1,527163113E-4;9,162978968E-4;0,000000000E0
1,500582459E1;-3,054326226E-4;-7,635815418E-4;-0,000000000E0
1,510582458E1;7,635815418E-4;-1,069014193E-3;-4,581489484E-4
1,520582458E1;1,527163113E-4;-3,054326167E-3;-1,527163113E-4
1,530582459E1;-1,527163113E-4;-3,817907767E-3;-1,527163113E-4
