"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
9,129372540E0;-1,623820038E2;-8,231340027E1;-3,270453796E2
9,229402694E0;-1,625283966E2;-8,127639771E1;-3,272771912E2
9,329395250E0;-1,623575897E2;-8,014179993E1;-3,272528076E2
9,429393991E0;-1,626869965E2;-7,877539825E1;-3,280091858E2
9,529408927E0;-1,626138000E2;-7,757979584E1;-3,286923828E2
9,629372268E0;-1,632115936E2;-7,546920013E1;-3,279237976E2
9,729380083E0;-1,640655975E2;-7,400519562E1;-3,279237976E2
9,829403441E0;-1,649317932E2;-7,272419739E1;-3,280701904E2
9,929395591E0;-1,667251892E2;-7,134559631E1;-3,275821838E2
1,002942656E1;-1,693237915E2;-7,105279541E1;-3,275578003E2
1,012937342E1;-1,712514038E2;-7,171160126E1;-3,280335999E2
1,022938478E1;-1,734718018E2;-7,218740082E1;-3,277286072E2
1,032937163E1;-1,758141937E2;-7,301699829E1;-3,279969788E2
1,042941298E1;-1,775099945E2;-7,509099579E1;-3,290462036E2
1,052942291E1;-1,794010010E2;-7,698200226E1;-3,299367981E2
1,062937172E1;-1,802183990E2;-7,837279510E1;-3,291681824E2
1,072940013E1;-1,807063904E2;-8,117879486E1;-3,295830078E2
1,082936969E1;-1,810601959E2;-8,372859955E1;-3,300588074E2
1,092938882E1;-1,799255981E2;-8,561959839E1;-3,299367981E2
1,102939529E1;-1,798280029E2;-8,749839783E1;-3,286923828E2
1,112935444E1;-1,794985962E2;-8,885260010E1;-3,273259888E2
1,122936234E1;-1,788519897E2;-9,021900177E1;-3,269477844E2
1,132940051E1;-1,786080017E2;-9,123159790E1;-3,261059875E2
1,142939506E1;-1,773148041E2;-9,229299927E1;-3,245809937E2
1,152939567E1;-1,767048035E2;-9,263459778E1;-3,245565796E2
1,162937203E1;-1,762534027E2;-9,198799896E1;-3,236781921E2
1,172942538E1;-1,756434021E2;-9,220759583E1;-3,227875977E2
1,182936610E1;-1,743135986E2;-9,279319763E1;-3,227143860E2
1,192940988E1;-1,731667938E2;-9,267119598E1;-3,223483887E2
1,202939487E1;-1,721053925E2;-9,252479553E1;-3,212503967E2
1,212937205E1;-1,712758026E2;-9,259799957E1;-3,212869873E2
1,222939972E1;-1,699216003E2;-9,254920197E1;-3,204696045E2
1,232940908E1;-1,687015991E2;-9,312259674E1;-3,199083862E2
1,242939553E1;-1,679451904E2;-9,273220062E1;-3,191031799E2
1,252941034E1;-1,678598022E2;-9,307379913E1;-3,190665894E2
1,262937214E1;-1,674571991E2;-9,325679779E1;-3,194813843E2
1,272936461E1;-1,687381897E2;-9,370819855E1;-3,194447937E2
1,282938191E1;-1,688967896E2;-9,284199524E1;-3,193471985E2
1,292938126E1;-1,696531982E2;-9,323239899E1;-3,200303955E2
1,302938924E1;-1,696531982E2;-9,318360138E1;-3,188103943E2
1,312936707E1;-1,708731995E2;-9,270780182E1;-3,195180054E2
1,322940015E1;-1,713123932E2;-9,314699554E1;-3,191153870E2
1,332944027E1;-1,712025909E2;-9,296399689E1;-3,188348083E2
1,342939442E1;-1,715197906E2;-9,296399689E1;-3,188348083E2
1,352941008E1;-1,716905975E2;-9,236619568E1;-3,191641846E2
1,362936187E1;-1,717881927E2;-9,236619568E1;-3,187981873E2
1,372941648E1;-1,722030029E2;-9,229299927E1;-3,193837891E2
1,382938767E1;-1,727885895E2;-9,159759521E1;-3,189567871E2
1,392941779E1;-1,728862000E2;-9,150000000E1;-3,185664062E2
1,402936729E1;-1,729593964E2;-9,088999939E1;-3,185419922E2
1,412936327E1;-1,727397919E2;-9,081679535E1;-3,191398010E2
1,422938459E1;-1,728007965E2;-9,006040192E1;-3,199205933E2
1,432939538E1;-1,735816040E2;-8,909659576E1;-3,190665894E2
1,442943509E1;-1,737402039E2;-8,842559814E1;-3,201157837E2
1,452936417E1;-1,751065979E2;-8,679080200E1;-3,198107910E2
1,462938423E1;-1,761801910E2;-8,726660156E1;-3,204939880E2
1,472938652E1;-1,773757935E2;-8,793759918E1;-3,186883850E2
1,482940304E1;-1,790594025E2;-8,813279724E1;-3,184566040E2
1,492941692E1;-1,794375916E2;-8,909659576E1;-3,181882019E2
1,502937301E1;-1,799499969E2;-9,074359894E1;-3,177245789E2
1,512939934E1;-1,814993896E2;-9,219539642E1;-3,183955994E2
1,522939381E1;-1,806087952E2;-9,457440186E1;-3,172976074E2
1,532940708E1;-1,813773956E2;-9,705099487E1;-3,178710022E2
1,542941209E1;-1,798524017E2;-9,941780090E1;-3,190787964E2
1,552937290E1;-1,782297974E2;-1,003450012E2;-3,190910034E2
1,562938690E1;-1,755457916E2;-1,008573990E2;-3,208599854E2
1,572940896E1;-1,739232025E2;-1,000887985E2;-3,221654053E2
1,582937271E1;-1,724835968E2;-9,875899506E1;-3,224947815E2
1,592936632E1;-1,721907959E2;-9,740480042E1;-3,238733826E2
1,602936344E1;-1,715319977E2;-9,696559906E1;-3,241417847E2
1,612938480E1;-1,718858032E2;-9,576999664E1;-3,246907959E2
1,622940922E1;-1,708975983E2;-9,505020142E1;-3,246663818E2
1,632939457E1;-1,700191956E2;-9,436699677E1;-3,257399902E2
1,642939474E1;-1,695677948E2;-9,391559601E1;-3,256423950E2
1,652937293E1;-1,689212036E2;-9,364720154E1;-3,258375854E2
1,662940219E1;-1,691286011E2;-9,354959869E1;-3,253251953E2
1,672942038E1;-1,687015991E2;-9,343979645E1;-3,249469910E2
1,682942400E1;-1,680793915E2;-9,331779480E1;-3,242027893E2
1,692940814E1;-1,677621918E2;-9,333000183E1;-3,248249817E2
1,702936904E1;-1,678475952E2;-9,303720093E1;-3,236659851E2
1,712939589E1;-1,681526031E2;-9,287860107E1;-3,238612061E2
1,722938792E1;-1,679451904E2;-9,289080048E1;-3,245932007E2
1,732938825E1;-1,679207916E2;-9,253699493E1;-3,243858032E2
1,742940611E1;-1,672985992E2;-9,258580017E1;-3,235683899E2
1,752937173E1;-1,680061951E2;-9,225640106E1;-3,235928040E2
1,762939993E1;-1,683112030E2;-9,200019836E1;-3,237635803E2
1,772939489E1;-1,681403961E2;-9,087779999E1;-3,239831848E2
1,782940930E1;-1,687259979E2;-9,020679474E1;-3,246542053E2
1,792939258E1;-1,689212036E2;-9,009700012E1;-3,265574036E2
1,802936133E1;-1,697751923E2;-9,046299744E1;-3,263865967E2
1,812940015E1;-1,700435944E2;-9,141459656E1;-3,262402039E2
1,822940886E1;-1,698117981E2;-9,270780182E1;-3,258375854E2
1,832939381E1;-1,697142029E2;-9,285419464E1;-3,248981934E2
1,842940166E1;-1,692261963E2;-9,325679779E1;-3,242882080E2
1,852936195E1;-1,694701996E2;-9,218319702E1;-3,229339905E2
1,862941526E1;-1,688601990E2;-9,246379852E1;-3,214455872E2
1,872941815E1;-1,696653900E2;-9,189039612E1;-3,218847961E2
1,882940879E1;-1,696409912E2;-9,145119476E1;-3,216651917E2
