"Time (s)";"X (hPa)"
2,107526610E2;1,016624985E3
2,118249790E2;1,016626663E3
2,128972460E2;1,016626663E3
2,139695350E2;1,016627045E3
2,150418200E2;1,016627502E3
2,161140950E2;1,016628113E3
2,171863720E2;1,016628418E3
2,182586670E2;1,016628418E3
2,193309610E2;1,016630707E3
2,204032520E2;1,016631165E3
2,214755890E2;1,016631775E3
2,225479280E2;1,016631927E3
2,236202620E2;1,016632996E3
2,246925960E2;1,016632996E3
2,257649290E2;1,016632309E3
2,268372730E2;1,016631470E3
2,279096120E2;1,016630859E3
2,289819600E2;1,016630707E3
2,300542700E2;1,016630859E3
2,311266280E2;1,016631317E3
2,321989930E2;1,016632767E3
2,332713360E2;1,016634064E3
2,343436890E2;1,016635284E3
2,354160440E2;1,016635284E3
2,364883850E2;1,016635056E3
2,375606610E2;1,016634216E3
2,386329900E2;1,016634216E3
2,397053140E2;1,016633987E3
2,407775790E2;1,016633377E3
2,418498340E2;1,016632309E3
2,429220940E2;1,016628189E3
2,439943990E2;1,016625443E3
2,450667090E2;1,016621628E3
2,461390180E2;1,016618271E3
2,472113700E2;1,016616516E3
2,482837650E2;1,016615982E3
2,493561430E2;1,016616516E3
2,504284970E2;1,016616745E3
2,515008390E2;1,016618271E3
2,525731970E2;1,016618271E3
2,536455690E2;1,016614227E3
2,547179350E2;1,016611099E3
2,557902630E2;1,016607971E3
2,568625480E2;1,016601868E3
2,579348670E2;1,016599274E3
2,590071490E2;1,016597824E3
2,600794320E2;1,016596146E3
2,611517570E2;1,016594925E3
2,622240890E2;1,016594315E3
2,632963960E2;1,016594315E3
2,643687190E2;1,016595535E3
2,654410420E2;1,016596832E3
2,665133620E2;1,016597366E3
2,675857190E2;1,016597443E3
2,686580160E2;1,016597672E3
2,697303530E2;1,016597672E3
2,708027150E2;1,016597672E3
2,718750900E2;1,016597366E3
2,729474840E2;1,016597366E3
2,740198500E2;1,016597443E3
2,750921620E2;1,016598282E3
2,761644850E2;1,016601181E3
2,772368090E2;1,016606216E3
2,783091240E2;1,016611557E3
2,793814580E2;1,016616821E3
2,804538020E2;1,016619339E3
2,815261770E2;1,016622314E3
2,825985720E2;1,016623764E3
2,836709700E2;1,016623764E3
2,847433840E2;1,016623764E3
2,858157470E2;1,016623764E3
2,868880780E2;1,016622925E3
2,879604270E2;1,016620178E3
2,890327500E2;1,016620178E3
2,901050940E2;1,016620941E3
2,911774290E2;1,016621246E3
2,922497800E2;1,016622009E3
2,933220790E2;1,016623306E3
2,943943710E2;1,016625671E3
2,954667040E2;1,016625671E3
2,965390610E2;1,016625671E3
2,976114200E2;1,016625900E3
2,986837710E2;1,016626205E3
2,997561070E2;1,016627045E3
3,008284790E2;1,016628799E3
3,019008750E2;1,016630707E3
3,029732460E2;1,016632156E3
3,040455730E2;1,016632614E3
3,051179170E2;1,016632614E3
3,061902740E2;1,016632309E3
3,072625990E2;1,016631165E3
3,083349270E2;1,016630478E3
3,094072260E2;1,016630478E3
3,104795230E2;1,016630478E3
3,115518490E2;1,016630478E3
3,126241860E2;1,016630478E3
3,136965590E2;1,016627884E3
3,147688680E2;1,016626205E3
3,158411950E2;1,016623993E3
3,169135330E2;1,016620560E3
3,179858650E2;1,016616364E3
3,190582250E2;1,016616135E3
3,201305970E2;1,016613617E3
3,212029500E2;1,016611328E3
3,222752960E2;1,016609268E3
3,233476290E2;1,016609268E3
3,244199900E2;1,016611252E3
3,254922680E2;1,016611252E3
3,265645650E2;1,016611099E3
3,276368740E2;1,016610947E3
3,287092020E2;1,016610107E3
3,297815460E2;1,016610107E3
3,308539180E2;1,016609650E3
3,319262580E2;1,016609650E3
3,329986040E2;1,016609039E3
3,340709170E2;1,016608429E3
3,351432340E2;1,016605988E3
3,362155520E2;1,016605988E3
3,372879090E2;1,016606369E3
3,383602870E2;1,016608200E3
3,394326410E2;1,016611099E3
3,405050070E2;1,016611710E3
3,415773430E2;1,016612320E3
3,426497150E2;1,016612320E3
3,437220790E2;1,016611786E3
3,447943780E2;1,016608963E3
3,458667090E2;1,016608582E3
3,469390680E2;1,016608582E3
3,480114110E2;1,016609268E3
3,490837520E2;1,016609573E3
3,501560620E2;1,016610718E3
3,512283860E2;1,016612396E3
3,523007530E2;1,016614304E3
3,533731130E2;1,016614304E3
3,544454700E2;1,016613235E3
3,555178010E2;1,016611938E3
3,565901260E2;1,016611557E3
3,576624530E2;1,016610031E3
3,587347690E2;1,016609192E3
3,598070640E2;1,016609192E3
3,608793640E2;1,016609192E3
3,619516890E2;1,016609192E3
3,630240120E2;1,016608810E3
3,640963240E2;1,016605835E3
3,651686370E2;1,016602707E3
3,662409550E2;1,016601639E3
3,673132780E2;1,016601639E3
3,683855840E2;1,016606369E3
3,694579080E2;1,016614532E3
3,705302340E2;1,016622238E3
3,716025170E2;1,016628342E3
3,726748000E2;1,016634903E3
3,737471180E2;1,016637039E3
3,748194370E2;1,016639099E3
3,758917770E2;1,016639099E3
3,769641470E2;1,016635971E3
3,780365060E2;1,016631927E3
3,791088410E2;1,016629181E3
3,801811600E2;1,016629181E3
3,812534260E2;1,016630630E3
3,823257310E2;1,016632309E3
3,833980460E2;1,016632538E3
3,844703650E2;1,016632538E3
3,855426740E2;1,016629028E3
3,866150030E2;1,016623993E3
3,876872790E2;1,016620789E3
3,887596150E2;1,016618652E3
3,898319410E2;1,016617203E3
3,909042410E2;1,016615906E3
3,919765580E2;1,016614838E3
3,930488740E2;1,016610947E3
3,941211870E2;1,016602478E3
3,951934910E2;1,016593475E3
3,962657800E2;1,016585693E3
3,973380910E2;1,016578903E3
3,984103620E2;1,016577606E3
3,994826590E2;1,016577606E3
4,005549340E2;1,016580811E3
4,016272080E2;1,016583557E3
4,026994900E2;1,016583557E3
4,037718030E2;1,016583252E3
4,048440930E2;1,016582718E3
4,059163860E2;1,016581039E3
4,069886800E2;1,016578522E3
4,080609770E2;1,016575470E3
4,091332670E2;1,016574631E3
4,102055300E2;1,016571503E3
4,112777950E2;1,016568756E3
4,123501050E2;1,016566086E3
4,134224480E2;1,016565857E3
4,144947800E2;1,016564178E3
4,155671720E2;1,016562424E3
4,166395080E2;1,016559677E3
4,177118380E2;1,016559296E3
4,187841510E2;1,016556168E3
4,198565040E2;1,016551895E3
4,209288740E2;1,016548843E3
4,220012610E2;1,016542206E3
4,230736560E2;1,016532974E3
4,241460690E2;1,016526871E3
4,252184360E2;1,016523895E3
4,262907780E2;1,016523895E3
4,273631090E2;1,016529694E3
4,284354600E2;1,016542053E3
4,295077810E2;1,016553421E3
4,305800990E2;1,016563797E3
4,316524120E2;1,016569366E3
4,327247330E2;1,016571884E3
4,337970390E2;1,016571884E3
4,348693280E2;1,016571960E3
4,359416610E2;1,016571960E3
4,370140230E2;1,016577454E3
4,380864190E2;1,016582947E3
4,391588080E2;1,016583099E3
4,402311280E2;1,016587143E3
4,413034530E2;1,016591492E3
4,423757700E2;1,016594849E3
4,434480990E2;1,016598282E3
4,445204410E2;1,016602936E3
4,455927610E2;1,016606827E3
4,466650660E2;1,016607513E3
4,477373630E2;1,016607513E3
4,488096750E2;1,016604996E3
4,498819800E2;1,016600952E3
4,509542940E2;1,016597366E3
4,520266270E2;1,016593170E3
4,530989800E2;1,016590118E3
4,541713340E2;1,016589584E3
4,552436620E2;1,016589432E3
4,563159490E2;1,016589432E3
4,573883230E2;1,016587372E3
4,584607090E2;1,016586838E3
4,595330840E2;1,016586075E3
4,606054860E2;1,016582718E3
4,616778880E2;1,016581879E3
4,627502370E2;1,016581650E3
4,638225480E2;1,016579895E3
4,648948560E2;1,016575775E3
4,659672080E2;1,016574097E3
4,670395360E2;1,016570587E3
4,681118970E2;1,016563568E3
4,691842300E2;1,016557693E3
4,702565170E2;1,016555252E3
4,713288290E2;1,016550751E3
4,724011140E2;1,016546707E3
4,734734400E2;1,016545258E3
4,745457290E2;1,016543121E3
4,756180170E2;1,016540375E3
4,766902820E2;1,016536560E3
4,777625990E2;1,016536179E3
4,788349250E2;1,016535721E3
4,799072380E2;1,016535721E3
4,809795650E2;1,016533661E3
4,820519570E2;1,016533051E3
4,831243780E2;1,016530914E3
4,841967230E2;1,016523132E3
4,852690840E2;1,016518097E3
4,863414310E2;1,016518021E3
4,874137500E2;1,016517868E3
4,884860570E2;1,016517868E3
4,895583810E2;1,016521378E3
4,906307620E2;1,016524734E3
4,917031060E2;1,016524811E3
4,927753970E2;1,016524811E3
4,938477010E2;1,016527710E3
4,949200480E2;1,016529846E3
4,959924160E2;1,016531525E3
4,970647950E2;1,016531525E3
4,981371020E2;1,016531372E3
4,992093930E2;1,016529465E3
5,002817220E2;1,016529007E3
5,013540890E2;1,016528091E3
5,024264280E2;1,016525192E3
5,034987690E2;1,016525116E3
5,045711240E2;1,016523972E3
5,056434460E2;1,016522064E3
5,067157900E2;1,016520996E3
5,077881390E2;1,016520615E3
5,088605020E2;1,016520157E3
5,099328170E2;1,016518936E3
5,110051650E2;1,016518631E3
5,120774900E2;1,016516113E3
5,131498070E2;1,016515579E3
5,142221990E2;1,016514893E3
5,152946260E2;1,016512985E3
5,163669900E2;1,016512604E3
5,174393280E2;1,016511154E3
5,185116750E2;1,016510696E3
5,195840150E2;1,016510696E3
5,206564100E2;1,016509476E3
5,217287560E2;1,016509247E3
5,228011530E2;1,016509018E3
5,238734910E2;1,016506729E3
5,249458800E2;1,016505585E3
5,260182090E2;1,016503372E3
5,270905580E2;1,016503372E3
5,281629300E2;1,016503754E3
5,292353090E2;1,016503754E3
5,303076770E2;1,016503906E3
5,313800340E2;1,016503906E3
5,324523830E2;1,016503143E3
5,335246930E2;1,016502686E3
5,345970380E2;1,016501465E3
5,356693660E2;1,016499939E3
5,367417230E2;1,016498718E3
5,378140920E2;1,016496201E3
5,388864460E2;1,016495056E3
5,399588050E2;1,016492996E3
5,410311560E2;1,016491089E3
5,421034890E2;1,016488571E3
5,431758010E2;1,016486664E3
5,442480990E2;1,016486206E3
5,453204250E2;1,016485062E3
5,463927840E2;1,016484528E3
5,474651750E2;1,016482620E3
5,485375490E2;1,016482468E3
5,496098810E2;1,016482620E3
5,506821770E2;1,016482697E3
5,517544850E2;1,016483688E3
5,528268110E2;1,016484146E3
5,538991110E2;1,016484146E3
5,549714120E2;1,016483307E3
5,560436940E2;1,016482315E3
5,571159950E2;1,016480560E3
5,581883240E2;1,016478424E3
5,592606560E2;1,016477203E3
5,603330320E2;1,016476974E3
5,614053810E2;1,016476593E3
5,624777370E2;1,016476135E3
5,635500580E2;1,016474457E3
5,646223750E2;1,016470947E3
5,656946760E2;1,016464996E3
5,667669690E2;1,016464539E3
5,678393260E2;1,016462936E3
5,689117310E2;1,016462708E3
5,699841240E2;1,016462936E3
