"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8,780739792E0;-1,247862458E0;-6,591158509E-1;5,113617778E-1
8,881232792E0;-2,579115331E-1;7,241095304E-1;1,436672807E0
8,981724792E0;-6,390136480E-1;7,167528272E-1;4,875607491E-1
9,082216792E0;-7,906160951E-1;1,484293461E0;-1,860580593E-1
9,182708792E0;-2,355136164E-2;3,768299818E-1;2,924114764E-1
9,283201792E0;2,819777727E0;-1,209347725E0;2,537883818E-1
9,383693792E0;4,503866434E-1;-4,998101890E-1;3,965704516E-2
9,484185792E0;-8,290962130E-2;-8,535599113E-1;-1,435227275E0
9,584677792E0;5,713008642E-1;-4,079081714E-1;-1,097779274E-1
9,685169542E0;-1,406721771E-1;-7,611067593E-2;-2,657717764E-1
9,785662542E0;3,710844517E-1;9,898164868E-1;-6,382259130E-1
9,886154542E0;-8,309379220E-1;-1,027847409E0;-2,773647904E-1
9,986646542E0;2,020298988E-1;1,080901146E0;1,849937558E0
1,008713854E1;-3,029429317E-1;1,124685049E0;6,800667048E-1
1,018763054E1;-1,572703719E0;1,753777742E0;-1,832542419E-1
1,028812354E1;-1,710520536E-1;6,314879656E-1;4,197409451E-1
1,038861554E1;2,564698458E0;-3,581257164E-1;1,027043462E0
1,048910754E1;1,032026887E0;-2,045322418E0;2,717573643E-1
1,058959954E1;-4,923101366E-1;-1,174881816E0;-1,875915289E0
1,069009117E1;4,474055171E-1;-5,079648495E-1;-2,372048646E-1
1,079058417E1;-2,861182690E-1;-4,933146834E-1;2,812102810E-2
1,089107617E1;1,352993697E-1;-4,262824953E-1;-2,545223832E-1
1,099156817E1;-6,683247685E-1;-1,059913754E0;-4,592368007E-1
1,109206017E1;-3,570271283E-2;9,047694802E-1;1,705073118E0
1,119255217E1;-5,609129071E-1;8,505864739E-1;3,260734975E-1
1,129304517E1;-1,402358532E0;1,179096699E0;-1,086931489E-2
1,139353717E1;-6,122742593E-2;1,557856649E-1;1,498425007E-1
1,149402917E1;1,994555831E0;-7,119724154E-1;8,251669407E-1
1,159452117E1;1,458286643E0;-2,429193735E0;2,785655856E-1
1,169501342E1;-5,573186278E-1;-2,928555906E-1;-1,564287782E0
1,179550642E1;5,573166013E-1;-3,694526553E-1;-3,420410454E-1
1,189599842E1;-2,873454392E-1;-5,690936446E-1;1,948208958E-1
1,199649042E1;-4,757075608E-1;-1,265939593E0;-8,321879804E-2
1,209698242E1;-1,014174342E0;-3,472621441E-1;-6,664938927E-1
1,219747442E1;-2,889651656E-1;7,494959831E-1;1,903499961E0
1,229796642E1;-2,328686267E-1;9,928559065E-1;7,459354401E-1
1,239845942E1;-1,173464894E0;9,759403467E-1;-7,344394177E-2
1,249895142E1;-1,263837423E-2;5,132895112E-1;1,758774370E-1
1,259944342E1;8,579874635E-1;4,763425291E-1;7,624778748E-1
1,269993567E1;2,163072586E0;-1,998396397E0;2,153784037E-1
1,280042767E1;-3,165972531E-1;5,088756084E-1;-1,249199748E0
1,290092067E1;2,847735286E-1;-4,934704006E-1;-7,051628232E-1
1,300141267E1;-2,496944927E-2;-4,116732776E-1;2,938029468E-1
1,310190467E1;-3,786726296E-1;-6,830154061E-1;-2,123778611E-1
1,320239667E1;-2,088752985E0;8,483787775E-1;-5,725011826E-1
1,330288967E1;-1,152426124E0;-1,734422147E-1;7,092400193E-1
1,340338167E1;-4,324975610E-2;2,912793458E-1;7,756204009E-1
1,350387367E1;-9,556112289E-1;8,237889409E-1;2,036887258E-1
1,360436567E1;-6,526403427E-1;1,311356902E0;-3,786870092E-2
1,370485854E1;1,036988199E-1;7,442486286E-1;4,215207398E-1
1,380535054E1;2,949925661E0;-1,417713881E0;3,941866457E-1
1,390584254E1;6,140620112E-1;-4,854349494E-1;-6,810523570E-2
1,400633454E1;-2,833404392E-2;-6,740601659E-1;-1,155861259E0
1,410682754E1;3,315490782E-1;-5,329949260E-1;2,270487845E-1
1,420731954E1;4,750982299E-2;5,152642727E-2;-3,471769989E-1
1,430781154E1;2,432892565E-3;7,569730282E-1;-9,329650998E-1
1,440830354E1;-1,087458611E0;-5,531412959E-1;-8,248301595E-2
1,450879654E1;8,719112724E-2;1,093553424E0;1,522385836E0
1,460928854E1;-3,922819793E-1;1,546614408E0;8,296148777E-1
1,470978017E1;-1,029403567E0;9,993764162E-1;8,614431322E-2
1,481027217E1;-1,578802615E-1;1,811919659E-1;-3,546825424E-2
1,491076517E1;1,205868840E0;1,034199476E0;1,155969381E0
1,501125717E1;1,786000729E0;-2,397225380E0;2,686027586E-1
1,511174917E1;1,788790971E-1;8,848029375E-1;-1,366876841E0
1,521224117E1;2,627287209E-1;-1,953205913E-1;-5,520098805E-1
1,531273417E1;-3,077773005E-2;-4,340250194E-1;1,425540894E-1
1,541322617E1;-4,513638020E-1;-5,785111189E-1;-2,591553032E-1
1,551371817E1;-9,801867604E-1;7,058227658E-1;-7,855210304E-1
1,561421017E1;-8,066377640E-1;1,078854897E-3;7,369068861E-1
1,571470354E1;-4,710524380E-1;8,533185124E-1;8,023791313E-1
1,581519554E1;-8,477039337E-1;4,039306045E-1;3,727901876E-1
1,591568754E1;-6,009659767E-1;1,552583098E0;8,068580180E-2
1,601617954E1;-6,426587701E-2;1,247138143E0;3,991789520E-1
1,611667254E1;3,182591677E0;-1,643825054E0;4,853595495E-1
1,621716454E1;5,742149353E-1;-9,725328684E-1;9,609721601E-2
1,631765654E1;-1,275629550E-1;-8,642886281E-1;-1,415744185E0
1,641814854E1;5,871132612E-1;-3,473528922E-1;-3,068984672E-2
1,651864154E1;-6,840109080E-2;-1,570239365E-1;-2,450803220E-1
1,661913354E1;1,483317316E-1;3,651970923E-1;-8,846185207E-1
1,671962508E1;-1,376175284E0;-1,101742268E0;-1,201911569E-1
1,682011708E1;1,824993938E-1;3,521893620E-1;1,595788360E0
1,692061008E1;-4,157664478E-1;7,357349396E-1;7,035589218E-1
1,702110208E1;-1,354064226E0;1,081912756E0;-1,247872785E-1
1,712159408E1;7,318558544E-2;-1,280336380E-1;2,092860639E-1
1,722208608E1;1,132101297E0;5,407460332E-1;9,698634744E-1
1,732257908E1;1,676888227E0;-2,884832621E0;2,985987067E-1
1,742307108E1;-1,021735519E-1;8,026626110E-1;-1,518011212E0
1,752356308E1;4,603620172E-1;-7,420164943E-1;-7,624043822E-1
1,762405608E1;-8,744931966E-2;-6,277209520E-1;1,846907884E-1
1,772454779E1;-4,613377154E-1;-1,062684417E0;-2,209067941E-1
1,782503979E1;-1,327146888E0;6,064478159E-1;-9,411514997E-1
1,792553179E1;-9,592252374E-1;-2,222401351E-1;7,378106117E-1
1,802602479E1;-5,181505084E-1;7,985358238E-1;8,448898792E-1
1,812651679E1;-7,741929889E-1;2,770958543E-1;3,776311576E-1
1,822700879E1;-7,505213022E-1;1,620113015E0;-1,379308850E-1
1,832750179E1;2,480587810E-1;6,390098333E-1;3,592858315E-1
1,842799379E1;3,200608253E0;-1,739095211E0;5,690339804E-1
1,852848579E1;2,210790366E-1;-6,011618972E-1;-2,761415839E-1
1,862897779E1;-2,275047749E-1;-7,653687000E-1;-1,392024636E0
1,872947142E1;3,162398636E-1;-6,289030313E-1;1,690366566E-1
1,882996342E1;-2,867739648E-2;-4,254643992E-2;-2,773266137E-1
1,893045542E1;-3,663439453E-1;2,338787913E-1;-1,222410083E0
1,903094842E1;-9,351513386E-1;-1,094494462E0;1,368004829E-1
1,913144042E1;1,549965143E-1;2,844029367E-1;1,671527505E0
1,923193242E1;-4,098864794E-1;6,929131746E-1;7,314100266E-1
1,933242542E1;-1,511629224E0;1,443490505E0;-3,944783509E-1
1,943291742E1;-1,404592097E-1;3,527266383E-1;3,897098601E-1
1,953340942E1;1,873039007E0;6,596589088E-1;1,303329587E0
1,963390242E1;9,324834347E-1;-2,531816006E0;2,721275985E-1
1,973439467E1;-2,793368995E-1;-3,640485108E-1;-1,669156551E0
1,983488667E1;2,608288825E-1;-4,052447379E-1;-3,218957484E-1
1,993537967E1;3,679282218E-2;-6,860784292E-1;8,259580284E-2
2,003587167E1;-4,639101326E-1;-1,222558975E0;5,812839419E-2
2,013636367E1;-8,977364898E-1;-4,647465423E-2;-1,033478379E0
2,023685667E1;-6,660073996E-1;7,202839255E-1;1,687399626E0
2,033734867E1;-4,250424802E-1;1,023369908E0;5,229297280E-1
2,043784067E1;-1,285532475E0;1,163500786E0;-3,153227642E-2
2,053833367E1;-2,481383234E-1;4,894535840E-1;2,148748338E-1
2,063882567E1;1,081866622E0;5,992295146E-1;9,250668287E-1
2,073931796E1;2,448474407E0;-2,486726522E0;3,523398340E-1
2,083981096E1;4,801348448E-1;6,342403889E-1;-1,104846358E0
2,094030296E1;2,030955441E-2;-6,559267044E-1;-7,958706021E-1
2,104079496E1;-2,396354824E-1;-5,125451088E-1;3,324632645E-1
2,114128796E1;-1,915207803E-1;-6,628324986E-1;-3,695628941E-1
