"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
4,285449910E1;5,233476531E1;4,867535966E0;5,791452779E-1;7,482151430E-1;8,159154254E1;8,560101564E0;1,000000400E0
4,385449409E1;5,233476569E1;4,867533491E0;2,946086638E-1;8,344986785E-1;8,699078376E1;8,733353379E0;9,983114187E-1
4,485448945E1;5,233478527E1;4,867545101E0;4,677413022E-1;1,030665593E0;6,432162840E1;8,699073171E0;9,965010096E-1
4,585448492E1;5,233475501E1;4,867567169E0;4,074096577E-1;1,235595109E0;9,963457762E1;9,036936533E0;1,007499810E0
4,685447955E1;5,233476399E1;4,867567332E0;5,513553228E-2;1,158553293E0;8,294102993E1;9,208213513E0;1,006274008E0
4,785447443E1;5,233476045E1;4,867600459E0;2,232302884E-1;1,051531739E0;7,213976540E1;9,739409419E0;1,004927475E0
4,885446906E1;5,233477141E1;4,867615386E0;4,118934814E-1;1,182829652E0;6,334734058E1;1,032773345E1;1,003743316E0
4,985446322E1;5,233478948E1;4,867665092E0;5,824787626E-1;1,404210322E0;7,166156132E1;9,038252432E0;1,142877069E0
5,085445726E1;5,233474252E1;4,867622582E0;3,161802068E-1;8,253811068E-1;9,682553320E1;7,755612345E0;1,139202020E0
5,185445058E1;5,233474854E1;4,867645199E0;9,437484108E-2;9,018016639E-1;9,403451954E1;7,471987333E0;1,137320826E0
5,285444474E1;5,233474196E1;4,867683800E0;2,202479336E-1;1,050446536E0;9,664714893E1;7,325345920E0;1,134776060E0
5,385443854E1;5,233473802E1;4,867695678E0;3,043371709E-1;9,034384061E-1;9,846634046E1;7,371113977E0;1,246442390E0
5,485443139E1;5,233474210E1;4,867725635E0;5,874570180E-1;1,040195010E0;9,664834900E1;7,265036442E0;1,241499983E0
5,585442543E1;5,233475161E1;4,867763382E0;-4,547423031E-2;1,294302730E0;9,324851982E1;6,936574694E0;1,233156042E0
5,685441828E1;5,233475990E1;4,867775984E0;7,546479022E-1;1,227092394E0;8,988571429E1;7,029509684E0;1,225317666E0
5,785441136E1;5,233475919E1;4,867785056E0;4,517114423E-1;1,047910579E0;9,289254935E1;7,014049232E0;1,219482825E0
5,885440385E1;5,233475499E1;4,867790013E0;-4,365144884E-1;9,964580679E-1;9,596020838E1;6,820278164E0;1,183306455E0
5,985439718E1;5,233476263E1;4,867808141E0;7,749937940E-1;9,087393132E-1;8,785528955E1;6,941298717E0;1,205200830E0
6,085438991E1;5,233475021E1;4,867835086E0;3,568572430E-1;1,193759136E0;9,499422608E1;6,859606779E0;1,300650853E0
6,185438311E1;5,233474043E1;4,867846144E0;5,736435559E-1;1,139837027E0;9,860734071E1;6,700568318E0;1,547813673E0
6,285437560E1;5,233473693E1;4,867865732E0;2,278597206E-1;1,199255623E0;9,781779364E1;6,700827088E0;1,636783372E0
6,385436976E1;5,233475030E1;4,867873100E0;-4,393250495E-2;1,005362060E0;9,355587621E1;6,779875922E0;1,635755825E0
