"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1717657983,695;"2024-06-06 09:13:03.695 UTC+02:00"
"PAUSE";3,557117300E2;1717658339,406;"2024-06-06 09:18:59.406 UTC+02:00"
"START";3,557117300E2;1717658346,066;"2024-06-06 09:19:06.066 UTC+02:00"
"PAUSE";9,171788456E2;1717658907,533;"2024-06-06 09:28:27.533 UTC+02:00"
"START";9,171788456E2;1717658912,801;"2024-06-06 09:28:32.801 UTC+02:00"
"PAUSE";1,193554578E3;1717659189,177;"2024-06-06 09:33:09.177 UTC+02:00"
