"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717663096630000E9;"2024-06-06 10:38:16.630 UTC+02:00"
"PAUSE";6,717989272083360E2;1,717663768425000E9;"2024-06-06 10:49:28.425 UTC+02:00"
