"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2,815968300E-2;-4,248456478E0;5,913262844E0;7,634898663E0
9,395186900E-2;-3,725624800E0;4,013959885E0;7,512865067E0
1,939518690E-1;-1,785643935E0;1,302293777E0;1,036690426E1
2,939518690E-1;-4,809573591E-1;1,625324726E0;8,145168304E0
3,939518690E-1;1,948355794E0;1,895713687E0;1,033639526E1
4,939518690E-1;1,998006850E-1;1,713261008E0;8,252845764E0
5,939518690E-1;2,248655081E0;1,625923038E0;8,507082939E0
6,939518690E-1;4,793421745E0;-6,299105883E-1;4,179663181E0
7,939518690E-1;4,858027935E0;-1,652842283E0;8,877372146E-1
8,939518690E-1;1,083350468E1;-6,937989235E0;9,142376900E0
9,939518690E-1;1,744547081E1;-7,554739475E0;9,675976753E0
1,093951869E0;1,451486206E1;-6,760322094E0;1,041476011E0
1,193951869E0;5,830112457E0;-9,960124016E0;1,923829436E0
1,293951869E0;6,765107632E0;7,387840152E-1;2,592025042E0
1,393951869E0;4,040879250E0;-3,077169895E0;-3,511467278E-1
1,493951869E0;2,782254457E0;-9,460622787E0;2,985046148E0
1,593951869E0;6,277570248E0;-7,377072334E0;1,001396298E0
1,693951869E0;1,093519974E1;-8,005785942E0;2,030309916E0
1,793951869E0;9,979267120E0;-7,068397999E0;2,312663078E0
1,893951869E0;2,754138947E0;-4,594219685E0;-1,433898926E0
1,993951869E0;3,505485058E0;-6,745367050E0;-6,909275651E-1
2,093951869E0;-1,937588096E0;-1,061157036E1;2,605185747E0
2,193951869E0;-4,171288013E0;-1,271306705E1;2,214557409E0
2,293951869E0;-1,533799291E0;-1,074975586E1;2,657827854E0
2,393951869E0;-3,332603693E0;-1,124925709E1;3,749552965E0
2,493951869E0;-7,034898400E-1;-1,110509014E1;-2,159522474E-1
2,593951869E0;5,982056609E-4;-1,170389366E1;-4,046263218E0
2,693951869E0;-4,713262558E0;-1,166501045E1;-4,101297855E0
2,793951869E0;-4,217350006E0;-3,872783422E0;-5,042873859E0
2,893951869E0;-5,356931686E0;-2,670390129E0;-4,850849628E0
2,993951869E0;-6,507879257E0;-7,447660565E-1;-4,009772778E0
3,093951869E0;-6,276373863E0;-3,182454109E-1;-5,319244862E0
3,193951869E0;-6,556334019E0;-1,524227977E0;-6,489335060E0
3,293951869E0;-6,191428661E0;-2,548954248E0;-5,662614822E0
3,393951869E0;-6,203990936E0;-4,068994999E0;-6,508477688E0
3,493951869E0;-6,963113785E0;-3,580260992E0;-6,894320011E0
3,593951869E0;-4,737788677E0;-4,557130814E0;-8,350353241E0
3,693951869E0;-2,852842808E0;-3,825525284E0;-4,989035130E0
3,793951869E0;-9,421738982E-1;-6,681358814E0;-8,372486115E0
3,893951869E0;-2,033899277E-1;-7,520641804E0;-7,190432072E0
3,993951869E0;8,560323119E-1;-6,659225464E0;-6,082555294E0
4,093951869E0;1,495514158E-2;-6,957729816E0;-5,018347263E0
4,193951869E0;3,609572887E0;-1,066241741E1;-8,223533630E0
4,293951869E0;2,026720762E0;-7,086344242E0;-5,515456200E0
4,393951869E0;2,087737799E0;-8,145766258E0;-7,350152969E0
4,493951869E0;1,857428551E0;-8,437690735E0;-6,151947021E0
4,593951869E0;2,965903759E0;-6,723831654E0;-6,125626087E0
4,693951869E0;3,173480988E0;-6,213562012E0;-6,880561352E0
4,793951869E0;3,607180119E0;-5,014159679E0;-9,659825325E0
4,893951869E0;4,192225456E0;-5,493322372E0;-9,897313118E0
4,993951869E0;1,336391449E0;-5,006981373E0;-8,910273552E0
5,093951869E0;-1,322034448E-1;-3,078964472E0;-6,967301369E0
5,193951869E0;9,122636318E-1;-6,532405615E-1;-8,559126854E0
5,293951869E0;3,734597921E0;-5,506483078E0;-9,565308571E0
5,393951869E0;1,205384374E0;-2,840280533E0;-6,753741741E0
5,493951869E0;2,187638044E0;-7,060621262E0;-5,667998791E0
5,593951869E0;1,808375716E0;-1,065822983E1;-6,735197544E0
5,693951869E0;2,268395901E0;-8,795417786E0;-9,098708153E0
5,793951869E0;3,595814228E0;-7,971090317E0;-3,987040758E0
5,893951869E0;3,735196114E0;-7,013363361E0;-8,392825127E0
5,993951869E0;4,322634220E0;-7,629515171E0;-7,417151928E0
6,093951869E0;6,167500615E-1;-4,353740692E0;-6,796214581E0
6,193951869E0;3,852444589E-1;-1,517647743E0;-4,275974274E0
6,293951869E0;1,900499344E0;-2,497508526E0;-6,947560310E0
6,393951869E0;3,596412420E0;-4,909473896E0;-6,430710793E0
6,493951869E0;2,829512835E0;-1,011625576E1;-7,907082558E0
6,593951869E0;2,372483730E0;-8,045268059E0;-5,158925533E0
6,693951869E0;2,251047850E0;-8,313263893E0;-5,428118229E0
6,793951869E0;3,561716557E0;-7,949554920E0;-4,804787636E0
6,893951869E0;4,232305050E0;-6,130411625E0;-6,724429607E0
6,993951869E0;4,869394302E0;-8,863015175E0;-1,003011417E1
7,093951869E0;-1,088136077E0;-1,697109461E0;-4,454837322E0
7,193951869E0;-5,264209956E-2;-1,374078393E0;-4,354339123E0
7,293951869E0;2,525026083E0;-4,727619171E0;-7,518248558E0
7,393951869E0;3,740580082E0;-5,719444275E0;-6,694519520E0
7,493951869E0;1,794018745E0;-1,013180923E1;-6,736393929E0
7,593951869E0;2,130210400E0;-9,066405296E0;-6,625127792E0
7,693951869E0;3,574278831E0;-9,439086914E0;-5,434100151E0
7,793951869E0;4,073182583E0;-5,057828903E0;-5,839085579E0
7,893951869E0;2,970689297E0;-5,658427238E0;-7,050451756E0
7,993951869E0;7,369893789E-1;-1,628315806E0;-5,912066460E0
8,093951869E0;1,110269666E0;-2,602194548E0;-6,607181549E0
8,193951869E0;2,187638044E0;-2,316850424E0;-5,429912567E0
8,293951869E0;2,801397085E0;-6,297310829E0;-6,310471535E0
8,393951869E0;3,116651535E0;-1,117268753E1;-7,091129780E0
8,493951869E0;2,428116798E0;-9,416355133E0;-6,285346985E0
8,593951869E0;2,488535643E0;-1,003789139E1;-6,153741837E0
8,693951869E0;2,876770973E0;-8,618947029E0;-4,804189682E0
8,793951869E0;4,588835716E0;-6,569494724E0;-6,773482800E0
8,893951869E0;5,805585861E0;-7,523034573E0;-1,010788059E1
8,993951869E0;-1,045065284E0;-1,862214208E0;-3,313461065E0
9,093951869E0;5,551348329E-1;-2,210369825E0;-6,578467846E0
9,193951869E0;2,539981127E0;-1,837687731E0;-6,633502483E0
9,293951869E0;1,948355794E0;-4,673780918E0;-4,780261517E0
9,393951869E0;2,353341103E0;-1,210170078E1;-7,548159122E0
9,493951869E0;2,794816732E0;-1,035194874E1;-6,556932449E0
9,593951869E0;1,614557028E0;-8,632107735E0;-4,913063049E0
9,693951869E0;2,806182861E0;-9,671789169E0;-6,342176437E0
9,793951869E0;3,328416348E0;-7,392625332E0;-6,507281303E0
9,893951869E0;3,839882135E0;-6,184250355E0;-6,957729816E0
9,993951869E0;3,125624657E0;-5,513661385E0;-7,049255371E0
1,009395187E1;1,289133191E0;-5,932405472E0;-5,231308460E0
1,019395187E1;5,419743061E-1;1,136590727E-2;-5,422734261E0
1,029395187E1;4,526622295E0;-9,165108681E0;-1,148016453E1
1,039395187E1;5,898307562E-1;-4,808377266E0;-3,725624800E0
1,049395187E1;2,344966173E0;-8,602795601E0;-6,177670002E0
1,059395187E1;3,674777269E0;-1,329033470E1;-7,801798344E0
