"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8,874030333E0;-1,405378103E0;8,418716192E-1;-3,274140060E-1
8,974531333E0;-2,418389767E-1;8,514260650E-1;4,859861135E-1
9,075032458E0;2,620887995E0;-4,546996653E-1;5,074872971E-1
9,175533458E0;1,058732152E0;-1,379676700E0;2,371627986E-1
9,276033458E0;-3,289280832E-1;-8,722849488E-1;-1,795374513E0
9,376534458E0;3,841092587E-1;-3,237632513E-1;-4,456760734E-2
9,477035458E0;2,386636846E-2;-2,558960915E-1;8,676688373E-2
9,577536458E0;4,064420164E-1;-2,162100524E-1;-8,137847781E-1
9,678037458E0;-6,164322495E-1;-8,192896247E-1;-5,766502023E-1
9,778538458E0;1,972798854E-1;2,737168074E-1;1,765477657E0
9,879039458E0;-3,114645481E-1;4,415186346E-1;7,528658509E-1
9,979539458E0;-6,882818937E-1;5,483030528E-2;1,795863062E-1
1,008004050E1;-6,416005492E-1;1,519784689E0;2,249743044E-1
1,018054150E1;2,214715332E-1;1,118441939E0;7,373975515E-1
1,028104250E1;2,568040609E0;-1,056275010E0;3,887140751E-1
1,038154350E1;1,528917551E-1;-3,615418971E-1;-8,508363366E-1
1,048204450E1;3,156836331E-2;-8,540487885E-1;-9,868922830E-1
1,058254550E1;3,539169729E-1;-4,588892758E-1;-2,904730476E-2
1,068304650E1;1,134086847E-1;-2,507500052E-1;-7,994561642E-2
1,078354750E1;-2,848166823E-1;-4,369314611E-1;-5,533404276E-2
1,088404850E1;-4,200948775E-1;-1,072971940E0;-5,106368065E-1
1,098455050E1;-3,377566338E-1;4,356852174E-1;1,522448063E0
1,108505050E1;-2,701932490E-1;5,134429932E-1;8,007078171E-1
1,118555150E1;-1,127752900E0;6,939036846E-1;-3,445778787E-2
1,128605250E1;-7,231353223E-2;7,106513977E-1;-1,221605614E-1
1,138655350E1;8,267922401E-1;1,648260832E0;1,034065723E0
1,148705450E1;2,346983433E0;-2,048480272E0;3,711059391E-1
1,158755550E1;-8,869124204E-2;-4,497970343E-1;-1,638837457E0
1,168805750E1;5,203503966E-1;-8,530080914E-1;-7,406735420E-1
1,178855850E1;-3,867296875E-1;-6,182577014E-1;5,288631916E-1
1,188905950E1;-1,022763699E-1;-3,954104483E-1;-2,206311226E-1
1,198956050E1;3,022756875E-1;1,733165383E-1;-1,298329830E0
1,209006283E1;-8,728072047E-1;9,804587811E-2;1,141435206E-1
1,219056383E1;-5,337072536E-2;7,992222309E-1;1,770662546E0
1,229106483E1;-3,093649745E-1;6,764089465E-1;6,410197616E-1
1,239156583E1;-1,090517879E0;1,001853108E0;-1,691386998E-1
1,249206783E1;-2,470659018E-1;8,789526820E-1;4,820695817E-1
1,259256883E1;1,267398477E0;2,661568224E-1;6,926901937E-1
1,269306983E1;1,977299452E0;-1,782400608E0;5,227652788E-1
1,279357183E1;-5,246085525E-1;1,793626994E-1;-2,032401562E0
1,289407283E1;5,913887024E-1;-5,364219546E-1;-4,929540753E-1
1,299457383E1;-1,561601758E-1;-3,476524949E-1;3,604638278E-1
1,309507650E1;-1,215548515E-1;-5,824325681E-1;-2,969060242E-1
1,319557750E1;-1,058054090E0;1,360421926E-1;-8,575856090E-1
1,329607950E1;-1,261203647E0;-6,796421409E-1;3,439663947E-1
1,339658050E1;-2,237672061E-1;3,547207117E-1;1,546231627E0
1,349708150E1;-4,612334371E-1;1,273309439E-1;3,528794348E-1
1,359758350E1;-1,379942417E0;1,484799266E0;-4,667007551E-2
1,369808450E1;2,234058082E-2;4,560765624E-1;4,223139584E-1
1,379858650E1;2,164119482E0;-9,009200335E-2;5,826545954E-1
1,389908750E1;1,206466913E0;-1,782681823E0;4,676826894E-1
1,399958950E1;-7,307265401E-1;-6,430310607E-1;-1,817849398E0
1,410008971E1;6,176320314E-1;-3,785379529E-1;-1,599887013E-1
1,420059171E1;-9,185764939E-2;-5,671590567E-1;2,241884172E-1
1,430109271E1;-2,501508892E-1;-1,008442283E0;-2,332798988E-1
1,440159471E1;-4,234971702E-1;-1,042818308E0;-6,512633562E-1
1,450209571E1;-4,042322934E-2;4,521752894E-1;1,793372512E0
1,460259771E1;-2,791299522E-1;7,726737261E-1;8,713740110E-1
1,470309871E1;-8,464035988E-1;1,451372653E-1;1,198365390E-1
1,480360071E1;-3,362215757E-1;1,553324699E0;3,337170184E-1
1,490410271E1;-8,378127217E-2;1,434103131E0;7,395104766E-1
1,500460371E1;2,398736238E0;-2,054472446E0;2,744112611E-1
1,510510625E1;1,138613343E0;-1,307945251E0;-4,528966546E-2
1,520560725E1;-5,252493620E-1;-6,375899911E-1;-1,867182732E0
1,530610925E1;6,237039566E-1;-7,451884747E-1;-4,282797575E-1
1,540661125E1;-6,614041924E-1;-3,933299780E-1;1,886970103E-1
1,550711225E1;-1,884582341E-1;-6,575840116E-1;-1,205292866E-1
1,560761425E1;-2,045838118E0;4,952761233E-1;-1,568086445E-1
1,570811525E1;-8,707415462E-1;-2,652584016E-1;7,269561887E-1
1,580861725E1;-2,757076323E-1;-9,555608034E-3;1,039844155E0
1,590911925E1;-4,017042518E-1;6,664661318E-2;6,201614141E-1
1,600962025E1;-9,548505545E-1;1,617553949E0;-2,948394418E-1
1,611012196E1;-2,617534436E-2;4,638808370E-1;5,747522116E-1
1,621062396E1;2,485603809E0;2,902750373E-1;5,212057829E-1
1,631112496E1;8,064419627E-1;-1,032976508E0;-3,194321990E-1
1,641162696E1;-1,684579402E-1;-2,317901403E-1;-1,444269896E0
1,651212796E1;4,861606359E-1;-1,645901203E-1;-8,198481798E-2
1,661262996E1;-1,746216118E-1;-2,811544240E-1;3,948997334E-2
1,671313196E1;-5,609658957E-1;-1,234926581E0;-7,066234201E-2
1,681363296E1;-1,155516148E0;7,265493274E-1;-5,216809511E-1
1,691413496E1;-1,136451513E-1;4,617131352E-1;1,932119131E0
1,701463696E1;-4,142602980E-1;1,035271645E0;7,869788408E-1
1,711513958E1;-1,054220557E0;1,055635512E-1;-4,280741885E-2
1,721564058E1;-6,438090652E-2;6,925330758E-1;2,066859156E-1
