"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
4,298555040E1;5,235678144E1;4,891317513E0;3,291301809E0;1,076985337E0;2,648746787E2;4,894251992E0;3,141788420E0
4,398555100E1;5,235677962E1;4,891287914E0;3,189652217E0;1,129113742E0;2,778216357E2;4,889891206E0;3,148571268E0
4,498555148E1;5,235677762E1;4,891263513E0;3,255106602E0;1,001746416E0;2,730695592E2;4,886841369E0;3,153302788E0
4,598555112E1;5,235677679E1;4,891243209E0;3,183812853E0;1,173487041E0;2,787195880E2;4,884417471E0;3,157056065E0
4,698555124E1;5,235677606E1;4,891221625E0;3,190564175E0;1,145463524E0;2,681823883E2;4,878907808E0;3,165564032E0
4,798555040E1;5,235676856E1;4,891205642E0;3,312479593E0;1,115576513E0;2,459420042E2;4,876076974E0;3,169922772E0
4,898555017E1;5,235676128E1;4,891182165E0;3,037426329E0;1,046840052E0;2,448887294E2;4,870794560E0;3,178033572E0
4,998554885E1;5,235676287E1;4,891162593E0;3,051012473E0;9,418841555E-1;2,742110464E2;4,867934953E0;3,182412029E0
5,098554718E1;5,235676420E1;4,891145396E0;3,021860442E0;9,775006361E-1;2,630372333E2;4,866360443E0;3,184819158E0
5,198554659E1;5,235676543E1;4,891122953E0;2,906265769E0;1,170018487E0;2,752203099E2;4,868478948E0;3,181579760E0
5,298554456E1;5,235676840E1;4,891100108E0;3,039732036E0;1,171679946E0;2,859715802E2;4,871789205E0;3,176508614E0
5,398554397E1;5,235677255E1;4,891079656E0;2,844186303E0;1,072295585E0;2,803561887E2;4,867735047E0;3,182717792E0
5,498554170E1;5,235677796E1;4,891065604E0;2,948492164E0;1,059050442E0;2,922218505E2;4,864860494E0;3,187109883E0
5,598553956E1;5,235677917E1;4,891062514E0;2,736368981E0;1,083778762E0;2,820160656E2;4,791359185E0;3,296576131E0
5,698553824E1;5,235677909E1;4,891042569E0;2,647335711E0;1,075618075E0;2,740602013E2;4,788925135E0;3,300111072E0
5,798553598E1;5,235677765E1;4,891028676E0;2,743639327E0;9,471363533E-1;2,704890349E2;4,785299964E0;3,305365531E0
5,898553336E1;5,235677463E1;4,891008996E0;2,779163485E0;1,021650811E0;2,644066276E2;4,782104813E0;3,309986494E0
5,998553085E1;5,235677242E1;4,890991720E0;2,885477582E0;1,160780451E0;2,592583632E2;4,780988241E0;3,311599081E0
6,098552859E1;5,235677270E1;4,890970630E0;2,770736936E0;1,244287985E0;2,628303015E2;4,780516106E0;3,312280603E0
6,198552608E1;5,235677195E1;4,890953173E0;2,476353950E0;1,133372834E0;2,599533566E2;4,776574083E0;3,317962788E0
6,298552322E1;5,235677589E1;4,890934654E0;2,712968265E0;1,037329314E0;2,697725662E2;4,776187082E0;3,318519850E0
6,398552132E1;5,235677860E1;4,890907230E0;2,605281775E0;1,102438393E0;2,751370000E2;4,776148319E0;3,318575639E0
6,498551846E1;5,235678179E1;4,890897530E0;2,712768216E0;7,280612779E-1;2,836291444E2;4,772867809E0;3,323292029E0
6,598551512E1;5,235677925E1;4,890866149E0;2,117881183E0;9,251199115E-1;2,765910810E2;4,775180856E0;3,319967594E0
6,698551273E1;5,235677472E1;4,890835609E0;1,511042777E0;1,083650442E0;2,652220780E2;4,773573695E0;3,322278016E0
6,798550999E1;5,235677322E1;4,890812104E0;1,732959906E0;1,155332383E0;2,645169942E2;4,775503257E0;3,319503830E0
6,898550713E1;5,235677047E1;4,890791106E0;1,180707751E0;1,215829885E0;2,597667966E2;4,773663613E0;3,322148814E0
6,998550403E1;5,235676989E1;4,890782520E0;2,421698144E0;9,976947760E-1;2,579329154E2;4,774733795E0;3,320610519E0
7,098550045E1;5,235676382E1;4,890776796E0;2,464084314E0;8,408665230E-1;2,389559927E2;4,782972785E0;3,308732140E0
7,198549664E1;5,235676115E1;4,890761596E0;2,624116239E0;9,185536925E-1;2,433283763E2;4,793572579E0;3,293356792E0
7,298549402E1;5,235675998E1;4,890761394E0;2,758729526E0;4,158260806E-1;2,415407458E2;4,806804734E0;3,274013635E0
7,398549092E1;5,235675147E1;4,890743190E0;2,540179928E0;5,600726382E-1;2,361436634E2;4,821987360E0;3,251611129E0
7,498548782E1;5,235674077E1;4,890714521E0;2,770877739E0;1,171542972E0;2,342778945E2;4,819970533E0;3,254599990E0
7,598548388E1;5,235674042E1;4,890700630E0;2,649421697E0;1,126351388E0;2,375832176E2;4,818731262E0;3,256434562E0
7,698548043E1;5,235673084E1;4,890693923E0;2,361329900E0;1,142747232E0;2,284041934E2;4,822818836E0;3,250377748E0
7,798547733E1;5,235672276E1;4,890689877E0;2,456853621E0;9,480296076E-1;2,216353427E2;4,829321881E0;3,240707824E0
7,898547399E1;5,235670850E1;4,890702914E0;2,666234611E0;8,726614874E-1;1,935314863E2;4,838528223E0;3,226946183E0
7,998547077E1;5,235669152E1;4,890693786E0;2,535017818E0;1,334959427E0;1,972929516E2;4,850266194E0;3,209276380E0
8,098546696E1;5,235667393E1;4,890689848E0;2,304123802E0;1,574637934E0;1,959311429E2;4,859673151E0;3,195013913E0
8,198546326E1;5,235665914E1;4,890698010E0;1,992143877E0;1,442817938E0;1,884024140E2;4,879341670E0;3,164895243E0
8,298545992E1;5,235664762E1;4,890707552E0;2,164868327E0;1,241465990E0;1,806297903E2;4,890783241E0;3,147185460E0
8,398545659E1;5,235664027E1;4,890710107E0;2,209674689E0;1,047212530E0;1,774416718E2;4,918373265E0;3,103891341E0
8,498545361E1;5,235663615E1;4,890718131E0;2,248940245E0;8,729654814E-1;1,707055870E2;4,923506788E0;3,095741905E0
8,598545194E1;5,235661662E1;4,890736619E0;1,856577527E0;1,124950575E0;1,668642967E2;4,942227032E0;3,065767276E0
8,698544598E1;5,235659447E1;4,890775025E0;1,723220568E0;1,331966541E0;1,617916595E2;4,958304848E0;3,039695719E0
8,798544252E1;5,235658311E1;4,890780127E0;1,760278717E0;1,179106045E0;1,682344747E2;4,979892686E0;3,004198041E0
