"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3,992273508E1;5,231381463E1;5,028104736E0;8,168658651E-1;8,460000038E0;2,702332458E2;4,610479943E0;3,545139170E0
4,092270838E1;5,231381226E1;5,027979837E0;7,185382294E-1;8,460000038E0;2,696911011E2;4,610479966E0;3,545139139E0
4,192268609E1;5,231380974E1;5,027860583E0;8,574541006E-1;8,350000381E0;2,696911011E2;4,610479989E0;3,545139109E0
4,292265175E1;5,231381070E1;5,027750778E0;1,084626592E0;8,069999695E0;2,664322205E2;4,610480020E0;3,545139068E0
4,392262946E1;5,231380380E1;5,027666290E0;7,336126901E-1;7,480000019E0;2,618897705E2;4,610480032E0;3,545139053E0
4,492260538E1;5,231378829E1;5,027623783E0;8,092939192E-1;5,070000172E0;2,448550873E2;4,610480018E0;3,545139071E0
4,592257594E1;5,231375838E1;5,027537608E0;8,132619644E-1;5,949999809E0;2,422265014E2;4,610479975E0;3,545139127E0
4,692254816E1;5,231375290E1;5,027469643E0;3,606249113E-1;5,579999924E0;2,464452531E2;4,610479972E0;3,545139132E0
4,792252217E1;5,231374217E1;5,027397470E0;4,314256916E-1;5,579999924E0;2,517186885E2;4,610479956E0;3,545139152E0
4,892249773E1;5,231378417E1;5,027360359E0;-7,411208162E-1;5,440000057E0;2,882811901E2;4,610480034E0;3,545139050E0
4,992247425E1;5,231381993E1;5,027336595E0;-8,308430873E-1;4,690000057E0;3,301926270E2;4,610480118E0;3,545138942E0
5,092245303E1;5,231388675E1;5,027332419E0;-1,076874618E0;6,090000153E0;3,301926270E2;4,610480266E0;3,545138748E0
5,192243360E1;5,231394619E1;5,027354585E0;-1,290863873E0;6,090000153E0;3,717865229E0;4,610480415E0;3,545138555E0
5,292241500E1;5,231405352E1;5,027361886E0;-6,512129186E-1;8,319999695E0;1,501386285E0;4,610480667E0;3,545138227E0
5,392239736E1;5,231419085E1;5,027357563E0;-4,131101184E-1;1,134000015E1;7,362964153E-1;4,610480990E0;3,545137808E0
5,492238306E1;5,231431293E1;5,027360693E0;2,554105734E-1;1,272999954E1;0,000000000E0;4,610481290E0;3,545137417E0
5,592236470E1;5,231444535E1;5,027367119E0;-3,429763028E-1;1,360000038E1;0,000000000E0;4,610481623E0;3,545136984E0
5,692235087E1;5,231456647E1;5,027366566E0;-6,567580393E-1;1,360000038E1;0,000000000E0;4,610481938E0;3,545136574E0
5,792233895E1;5,231469627E1;5,027367462E0;-4,351387620E-1;1,389000034E1;1,503530741E-1;4,610482272E0;3,545136140E0
5,892232488E1;5,231477948E1;5,027374835E0;1,468599793E0;1,381453886E1;1,503530741E-1;4,842502112E0;3,220979715E0
5,992231582E1;5,231490473E1;5,027380373E0;1,167359116E0;1,391303469E1;1,503530741E-1;4,841370742E0;3,222679998E0
6,092230259E1;5,231503292E1;5,027381707E0;8,248987468E-1;1,410579752E1;2,128263563E-1;4,839527137E0;3,225447894E0
6,192229198E1;5,231516250E1;5,027384863E0;6,764076818E-1;1,426188055E1;2,128263563E-1;4,829851500E0;3,239918443E0
6,292228256E1;5,231529297E1;5,027387732E0;1,223089962E0;1,427168564E1;2,715618312E-1;4,838641165E0;3,226776830E0
6,392227648E1;5,231542236E1;5,027389630E0;1,140196796E0;1,420716192E1;2,715618312E-1;4,843451795E0;3,219551482E0
6,492226957E1;5,231556070E1;5,027388806E0;-1,911633313E-1;1,400557554E1;2,715618312E-1;4,779547788E0;3,313677712E0
6,592225800E1;5,231568619E1;5,027389151E0;-5,160817951E-1;1,399248779E1;1,946980059E-1;4,778320301E0;3,315447501E0
6,692225049E1;5,231581257E1;5,027387520E0;2,360840803E-1;1,398556944E1;1,946980059E-1;4,776860855E0;3,317549910E0
6,792224406E1;5,231593524E1;5,027389033E0;-8,513006791E-1;1,366411094E1;2,248546183E-1;4,776994094E0;3,317358054E0
6,892223822E1;5,231604365E1;5,027389551E0;-9,598962385E-1;1,253260076E1;2,248546183E-1;4,776615984E0;3,317902465E0
6,992223142E1;5,231614229E1;5,027389684E0;-1,145074512E0;1,150958955E1;2,248546183E-1;4,767245608E0;3,331352029E0
7,092222582E1;5,231623385E1;5,027388467E0;-1,757369394E0;1,075579021E1;2,248546183E-1;4,769678599E0;3,327867650E0
7,192222415E1;5,231632639E1;5,027389636E0;-1,200707472E0;1,047335895E1;2,001280636E-1;4,768373816E0;3,329736954E0
7,292221867E1;5,231641764E1;5,027388761E0;-1,199044648E0;1,029451512E1;2,001280636E-1;4,768535351E0;3,329505615E0
7,392221223E1;5,231650969E1;5,027388323E0;-1,481196024E0;1,045817988E1;4,016520977E-1;4,768535359E0;3,329505604E0
7,492221068E1;5,231660709E1;5,027386179E0;-5,022945888E-1;1,078303929E1;1,914183140E0;4,769026759E0;3,328801708E0
