"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717674396383175E9;"2024-06-06 13:46:36.383 UTC+02:00"
"PAUSE";6,325110812499770E1;1,717674459633720E9;"2024-06-06 13:47:39.634 UTC+02:00"
"START";6,325110812499770E1;1,717675432004384E9;"2024-06-06 14:03:52.004 UTC+02:00"
"PAUSE";6,826922383332567E1;1,717675437022450E9;"2024-06-06 14:03:57.022 UTC+02:00"
