"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
4,217497277E1;5,235565977E1;4,890271702E0;1,553687640E0;1,249940505E0;9,424189388E1;5,138085469E0;2,724814626E0
4,317493010E1;5,235566040E1;4,890284176E0;1,723011401E0;1,115056088E0;8,959167305E1;5,139354193E0;2,722420891E0
4,417488873E1;5,235566135E1;4,890306389E0;1,994426896E0;8,411209590E-1;9,445569634E1;5,120838809E0;2,757090301E0
4,517485178E1;5,235566017E1;4,890321347E0;2,030037308E0;6,417188445E-1;6,950401056E1;5,085559964E0;2,821633726E0
4,617481494E1;5,235568506E1;4,890372542E0;1,828208148E0;1,156670451E0;4,636082969E1;5,029750312E0;2,919956991E0
4,717478049E1;5,235570623E1;4,890417230E0;2,042415174E0;1,088360184E0;3,362295200E1;4,974323090E0;3,013411162E0
4,817474794E1;5,235572491E1;4,890460726E0;1,775181940E0;8,957838363E-1;2,358939586E1;4,948227784E0;3,056072453E0
4,917471564E1;5,235573829E1;4,890491106E0;1,849992123E0;8,693964405E-1;3,008193831E1;4,935664498E0;3,076321341E0
5,017468548E1;5,235574200E1;4,890538631E0;1,869219416E0;9,657615000E-1;6,883159640E1;4,942228838E0;3,065764365E0
5,117465699E1;5,235573610E1;4,890563929E0;1,677014884E0;1,010368217E0;9,198429525E1;4,980317667E0;3,003493460E0
5,217462957E1;5,235572860E1;4,890572012E0;1,729170240E0;6,783880514E-1;1,147452078E2;5,026834486E0;2,924973860E0
5,317460310E1;5,235573088E1;4,890554909E0;1,789966848E0;3,140498008E-1;NaN;5,019774554E0;2,937073451E0
5,417457783E1;5,235573596E1;4,890525252E0;1,634142715E0;2,280642824E-1;NaN;4,989117026E0;2,988854016E0
5,517455292E1;5,235573585E1;4,890499520E0;2,037045533E0;1,208464360E-1;NaN;4,961869501E0;3,033873447E0
