"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1717595503,120;"2024-06-05 15:51:43.120 UTC+02:00"
"PAUSE";4,919909971E2;1717595995,111;"2024-06-05 15:59:55.111 UTC+02:00"
"START";4,919909971E2;1717596020,599;"2024-06-05 16:00:20.599 UTC+02:00"
"PAUSE";9,106044880E2;1717596439,213;"2024-06-05 16:07:19.213 UTC+02:00"
