"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
9,421132125E0;-1,435594940E1;3,695521545E1;-4,416259766E1
9,521627125E0;-1,436565399E1;3,793869019E1;-4,327120972E1
9,622121125E0;-1,524729156E1;3,734019470E1;-4,164865112E1
9,722616125E0;-1,653542328E1;3,688087463E1;-4,099459839E1
9,823110125E0;-1,651148224E1;3,530009460E1;-4,121536255E1
9,923605125E0;-1,729378510E1;3,408464813E1;-4,330462646E1
1,002409913E1;-1,597234344E1;3,370745850E1;-4,312263489E1
1,012459412E1;-1,429842377E1;3,399983978E1;-4,231323242E1
1,022508912E1;-1,258547211E1;3,425991821E1;-4,094007874E1
1,032558312E1;-1,195911407E1;3,455859375E1;-4,055078125E1
1,042607846E1;-9,944541931E0;3,422972107E1;-3,863316345E1
1,052657246E1;-8,564460754E0;3,451580048E1;-3,793692017E1
1,062706746E1;-7,523490906E0;3,442903137E1;-3,747290039E1
1,072756146E1;-7,325386047E0;3,419387817E1;-3,623048401E1
1,082805646E1;-6,752235413E0;3,347983551E1;-3,493132019E1
1,092855146E1;-6,233879089E0;3,252378082E1;-3,270684814E1
1,102904546E1;-5,682762146E0;3,225732422E1;-3,071826172E1
1,112954046E1;-5,007911682E0;3,210054016E1;-2,857832336E1
1,123003446E1;-6,839271545E0;3,169396210E1;-2,641609192E1
1,133052946E1;-6,134605408E0;3,116934204E1;-2,425840759E1
1,143102350E1;-8,687660217E0;3,033808136E1;-2,258554077E1
1,153151850E1;-1,003810883E1;2,935256195E1;-2,187649536E1
1,163201350E1;-1,069463348E1;2,870701599E1;-2,184765625E1
1,173250750E1;-1,155886078E1;2,746279144E1;-2,205070496E1
1,183300250E1;-1,323824310E1;2,635213470E1;-2,173182678E1
1,193349650E1;-1,499678802E1;2,577330017E1;-2,221658325E1
1,203399150E1;-1,725045013E1;2,481392670E1;-2,289839172E1
1,213448650E1;-1,943642426E1;2,382050323E1;-2,301727295E1
1,223498050E1;-2,133649445E1;2,257923126E1;-2,369444275E1
1,233547550E1;-2,139318085E1;2,179737854E1;-2,536851501E1
1,243596912E1;-2,247049713E1;2,139155579E1;-2,710702515E1
1,253646413E1;-2,414145660E1;2,101661682E1;-2,801075745E1
1,263695812E1;-2,369373322E1;2,022657776E1;-2,887823486E1
1,273745313E1;-2,568997955E1;2,070077515E1;-2,973059082E1
1,283794813E1;-2,565651703E1;2,170980835E1;-3,117396545E1
1,293844212E1;-2,492324066E1;2,170335388E1;-3,198728943E1
1,303893713E1;-2,685443878E1;2,188873291E1;-3,206149292E1
1,313943112E1;-2,736879730E1;2,184983063E1;-3,325639343E1
1,323992613E1;-2,717682648E1;2,244657898E1;-3,414411926E1
1,334042012E1;-2,673892975E1;2,260018921E1;-3,367462158E1
1,344091496E1;-2,676833344E1;2,257261658E1;-3,360932922E1
1,354140896E1;-2,726052094E1;2,280268860E1;-3,344438171E1
1,364190396E1;-2,741428375E1;2,346191406E1;-3,275761414E1
1,374239896E1;-2,804328156E1;2,302395630E1;-3,245024109E1
1,384289296E1;-2,885750580E1;2,316272736E1;-3,229115295E1
1,394338796E1;-2,923442841E1;2,368312836E1;-3,195574951E1
1,404388196E1;-2,970999908E1;2,454384613E1;-3,183966064E1
1,414437696E1;-2,941857147E1;2,504132080E1;-3,161236572E1
1,424487096E1;-2,846953583E1;2,453936005E1;-3,189463806E1
1,434536596E1;-2,794756317E1;2,437511444E1;-3,204116821E1
1,444586137E1;-2,795508575E1;2,472722626E1;-3,222650146E1
1,454635538E1;-2,813126373E1;2,565871429E1;-3,244515991E1
1,464685037E1;-2,734720612E1;2,547142029E1;-3,215895081E1
1,474734438E1;-2,655843353E1;2,394641876E1;-3,277905273E1
1,484783937E1;-2,664087677E1;2,544409943E1;-3,291531372E1
1,494833437E1;-2,634554291E1;2,497167969E1;-3,315962219E1
1,504882838E1;-2,625701141E1;2,419382477E1;-3,245355225E1
1,514932337E1;-2,592531586E1;2,362174225E1;-3,282771301E1
1,524981738E1;-2,588228607E1;2,424993896E1;-3,294079590E1
1,535031237E1;-2,597414398E1;2,465383148E1;-3,323182678E1
1,545080650E1;-2,586406708E1;2,447997284E1;-3,270135498E1
1,555130150E1;-2,590686798E1;2,377323914E1;-3,329669189E1
1,565179550E1;-2,614405060E1;2,433596039E1;-3,318588257E1
1,575229050E1;-2,578133392E1;2,495125580E1;-3,325962830E1
1,585278550E1;-2,554087067E1;2,451316071E1;-3,333222961E1
1,595327950E1;-2,526096344E1;2,361500549E1;-3,332452393E1
1,605377450E1;-2,479810333E1;2,342609406E1;-3,379946899E1
1,615426850E1;-2,507317352E1;2,424188232E1;-3,391423035E1
1,625476350E1;-2,487152863E1;2,395396423E1;-3,387292480E1
1,635525750E1;-2,427646637E1;2,364042664E1;-3,374890137E1
1,645575300E1;-2,456346893E1;2,348499298E1;-3,413450623E1
1,655624700E1;-2,483428192E1;2,382842255E1;-3,387814331E1
