"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
7,612230250E0;-2,475678362E-2;8,488294668E-3;2,551740594E-2
7,712725250E0;3,669027612E-2;-1,554450952E-2;-3,989425302E-2
7,813219250E0;3,568752855E-2;-3,737068176E-2;-1,709804498E-2
7,913714250E0;-2,901580650E-3;-1,077350322E-2;1,451487467E-2
8,014208250E0;2,827136777E-2;-1,107826363E-2;-4,786943644E-2
8,114703250E0;-2,326513268E-2;5,613038316E-3;-3,104188479E-3
8,215197250E0;2,396886051E-2;-5,717419460E-2;-5,317325518E-2
8,315692250E0;-1,612947322E-2;-4,246703163E-2;-5,269457400E-2
8,416186833E0;-1,488604397E-2;1,916144602E-2;-1,708704606E-2
8,516681833E0;-5,481506884E-2;2,901609987E-2;6,491614133E-2
8,617176833E0;-1,843317598E-2;6,129561737E-2;-1,486109197E-2
8,717670833E0;-1,727098599E-3;2,115561999E-2;-1,510512084E-2
8,818165833E0;1,040619705E-2;1,515935548E-2;1,022765879E-2
8,918659833E0;6,791644543E-2;-1,712050289E-2;1,930551231E-2
9,019154833E0;6,061102822E-2;-3,125728667E-2;3,244222328E-2
9,119648833E0;1,020214036E-1;-5,736439675E-2;-6,727280468E-2
9,220143833E0;5,631201342E-2;-3,127631545E-2;-1,100882143E-1
9,320637833E0;5,658943672E-3;-3,046651557E-2;-6,109991670E-2
9,421132125E0;4,741477221E-2;-6,052165478E-2;-7,840355486E-2
9,521627125E0;6,622213125E-2;-6,531526893E-2;-4,689376801E-2
9,622121125E0;-3,568334132E-2;3,519071639E-2;1,681839116E-3
9,722616125E0;-4,250652716E-2;5,564194545E-2;-9,797919542E-2
9,823110125E0;-5,116114393E-2;2,522318996E-2;-6,155080348E-2
9,923605125E0;-2,126240730E-2;2,166328486E-3;-1,873752847E-2
1,002409913E1;4,681748897E-2;-2,355710790E-2;-6,328557432E-2
1,012459412E1;-1,527835382E-3;1,125851367E-2;-6,288120523E-3
1,022508912E1;-4,745863378E-2;-9,345829487E-3;5,427262187E-2
1,032558312E1;-2,370162494E-2;-3,018676862E-2;2,690431103E-2
1,042607846E1;6,248118356E-3;-1,133530401E-2;3,163811937E-2
1,052657246E1;-4,539717734E-2;1,654631924E-4;4,748116434E-2
1,062706746E1;-2,405555733E-2;3,272215277E-2;3,407460451E-2
1,072756146E1;1,079934556E-2;3,280268610E-2;8,781569079E-3
1,082805646E1;3,397585452E-2;2,157066390E-2;-1,629677415E-2
1,092855146E1;4,367087409E-2;-1,014711894E-2;4,430244491E-2
1,102904546E1;1,036513001E-1;-4,502009228E-2;-1,853352971E-2
1,112954046E1;4,051820561E-2;-4,888693988E-2;-3,264579549E-2
1,123003446E1;-4,706381261E-2;2,226095833E-2;1,199992001E-2
1,133052946E1;-3,914154135E-3;-9,329551831E-3;-2,210675366E-2
1,143102350E1;5,639674142E-2;-2,962035313E-2;-2,171524242E-2
1,153151850E1;-2,967554331E-2;5,321104079E-2;2,928209305E-2
1,163201350E1;-1,134794764E-2;-2,711102553E-2;4,075519741E-3
1,173250750E1;6,605289131E-2;-7,541553676E-2;-4,482341558E-2
1,183300250E1;-2,145092003E-2;-4,552581534E-2;1,836293563E-2
1,193349650E1;2,515681274E-2;-8,658973128E-2;-2,862355113E-2
1,203399150E1;-2,158351801E-2;-3,471502662E-2;1,346373465E-2
1,213448650E1;-3,735525161E-2;3,250049800E-2;6,666327268E-2
1,223498050E1;-2,155502141E-2;1,627438888E-2;7,330740802E-3
1,233547550E1;3,221869469E-3;8,143775910E-2;-3,952371329E-2
1,243596912E1;4,326402396E-2;-1,019272720E-3;2,420581318E-2
1,253646413E1;1,951253787E-2;3,090915084E-2;-8,207011037E-3
1,263695812E1;-2,307491191E-2;6,906983256E-2;6,041762233E-2
1,273745313E1;4,087771848E-2;-2,666461468E-2;5,308435857E-2
1,283794813E1;-5,251052231E-2;1,636403054E-2;1,851328462E-2
1,293844212E1;-3,600931168E-2;1,889909431E-2;6,503923982E-2
1,303893713E1;3,201396018E-2;4,394005612E-2;3,046397120E-2
1,313943112E1;-1,600403525E-2;5,220577493E-2;6,909701973E-2
1,323992613E1;6,694783270E-2;-6,060022861E-2;-4,312477261E-2
1,334042012E1;-3,133425489E-2;-2,905099839E-2;2,886544354E-2
1,344091496E1;4,208473489E-2;-7,129806280E-2;-1,732659340E-2
1,354140896E1;8,556026034E-3;-3,168632090E-2;2,405132726E-2
1,364190396E1;6,072666496E-2;-5,429771915E-2;-6,468442827E-2
1,374239896E1;-2,427987056E-3;-4,984435067E-2;-4,090619460E-2
1,384289296E1;-2,117261477E-2;-6,363148242E-2;-1,122247614E-2
1,394338796E1;-2,907535061E-3;-7,391883433E-2;-6,597200409E-3
1,404388196E1;-1,569320261E-2;8,147869259E-3;2,582878433E-2
1,414437696E1;1,526095532E-2;6,218843535E-2;6,450548023E-2
1,424487096E1;-5,562639330E-3;7,981742918E-2;9,789130837E-2
1,434536596E1;2,616724372E-2;4,662634339E-3;1,013607606E-1
1,444586137E1;-1,785517670E-3;1,485572569E-2;7,611546665E-2
1,454635538E1;-1,770844683E-2;4,278410971E-2;1,407160237E-2
1,464685037E1;-5,119354650E-2;1,253710538E-1;1,195619255E-2
1,474734438E1;4,447062500E-3;1,020075232E-1;5,176253244E-2
1,484783937E1;7,852026820E-2;-2,472545719E-3;9,151816368E-2
1,494833437E1;6,656925660E-3;-3,440487385E-2;3,194786608E-2
1,504882838E1;5,966050550E-2;-4,994319752E-2;-6,830226630E-3
1,514932337E1;-2,608447336E-3;1,947064884E-2;1,064216867E-1
1,524981738E1;1,134372689E-2;-2,317744307E-2;3,578188643E-2
1,535031237E1;-5,686914083E-4;1,571609173E-4;-1,563260891E-2
1,545080650E1;-8,064635098E-3;2,494630404E-2;-5,276117474E-2
1,555130150E1;3,819649573E-3;1,598869823E-2;-1,129230019E-3
1,565179550E1;4,405533522E-2;3,084824048E-2;1,032197848E-1
