"Time (s)";"X (hPa)"
2,107969561E2;1,008975220E3
2,118695421E2;1,008958359E3
2,129420941E2;1,008944473E3
2,140146151E2;1,008940659E3
2,150871071E2;1,008940659E3
2,161596001E2;1,008968506E3
2,172321251E2;1,008999863E3
2,183046401E2;1,009033585E3
2,193771371E2;1,009068069E3
2,204496721E2;1,009075012E3
2,215221881E2;1,009075012E3
2,225947781E2;1,009048920E3
2,236673221E2;1,008993988E3
2,247398721E2;1,008932114E3
2,258124211E2;1,008868103E3
2,268849901E2;1,008833542E3
2,279575801E2;1,008808060E3
2,290301561E2;1,008805771E3
2,301027471E2;1,008805771E3
2,311753451E2;1,008805771E3
2,322479331E2;1,008805771E3
2,333205061E2;1,008805771E3
2,343930941E2;1,008805695E3
2,354656821E2;1,008805695E3
2,365382631E2;1,008805084E3
2,376108151E2;1,008804703E3
2,386833651E2;1,008804855E3
2,397559281E2;1,008804855E3
2,408285111E2;1,008810654E3
2,419011001E2;1,008837814E3
2,429736901E2;1,008855209E3
2,440463101E2;1,008873367E3
2,451189591E2;1,008897324E3
2,461915651E2;1,008918381E3
2,472641801E2;1,008919678E3
2,483368081E2;1,008927231E3
2,494094121E2;1,008932724E3
2,504820021E2;1,008932724E3
2,515545951E2;1,008920288E3
2,526271731E2;1,008897705E3
2,536997731E2;1,008873367E3
2,547723831E2;1,008846207E3
2,558449951E2;1,008824081E3
2,569175701E2;1,008809814E3
2,579901801E2;1,008809586E3
2,590628161E2;1,008809814E3
2,601354161E2;1,008812027E3
2,612080191E2;1,008815689E3
2,622806231E2;1,008816071E3
2,633532261E2;1,008818436E3
2,644257811E2;1,008820343E3
2,654983221E2;1,008828278E3
2,665708791E2;1,008837509E3
2,676434251E2;1,008856049E3
2,687159971E2;1,008879166E3
2,697886311E2;1,008897400E3
2,708612441E2;1,008915253E3
2,719338181E2;1,008932114E3
2,730063871E2;1,008936005E3
2,740789491E2;1,008936005E3
2,751515071E2;1,008929901E3
2,762240811E2;1,008917084E3
2,772966791E2;1,008900681E3
2,783692981E2;1,008885269E3
2,794419451E2;1,008879623E3
2,805145261E2;1,008879623E3
2,815871141E2;1,008885574E3
