"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
4,355386794E1;5,235660014E1;4,906892625E0;-1,423787139E-2;4,440262791E0;2,010482749E2;4,918552023E0;3,103608066E0
4,455386102E1;5,235655393E1;4,906889637E0;2,650746508E-1;4,489794276E0;1,886146060E2;4,917114908E0;3,105884417E0
4,555385470E1;5,235651122E1;4,906882648E0;4,183163755E-1;4,396425778E0;1,872090447E2;4,907411836E0;3,121193058E0
4,655384851E1;5,235647640E1;4,906883759E0;4,619234428E-1;4,044131086E0;1,865153700E2;4,943773353E0;3,063273097E0
4,755384207E1;5,235643890E1;4,906880339E0;5,979464939E-1;4,055929220E0;1,851756955E2;4,928389549E0;3,087962676E0
4,855383837E1;5,235640654E1;4,906871051E0;7,550408700E-1;3,867942921E0;1,921259648E2;4,934963179E0;3,077446255E0
4,955382979E1;5,235638303E1;4,906848785E0;1,010616480E0;3,408893859E0;2,051362486E2;4,918188995E0;3,104183313E0
5,055382299E1;5,235636772E1;4,906834012E0;1,543259079E0;2,763566480E0;2,149284511E2;4,914377726E0;3,110213594E0
5,155381703E1;5,235634026E1;4,906789192E0;1,475567247E0;3,582467041E0;2,242285472E2;4,911755373E0;3,114353253E0
5,255381131E1;5,235632385E1;4,906751651E0;1,465122129E0;3,411917813E0;2,331268949E2;4,900528031E0;3,131990111E0
5,355380571E1;5,235631356E1;4,906706535E0;1,458116387E0;3,109531808E0;2,423703003E2;4,884625239E0;3,156734596E0
5,455379951E1;5,235630327E1;4,906659861E0;1,155756865E0;3,209611115E0;2,501390917E2;4,872719840E0;3,175080848E0
5,555379438E1;5,235629192E1;4,906597565E0;1,050787768E0;3,662766990E0;2,520934893E2;4,846756415E0;3,214574511E0
5,655378938E1;5,235628531E1;4,906539913E0;9,682146693E-1;3,952507704E0;2,544290645E2;4,846049300E0;3,215640406E0
5,755378306E1;5,235627404E1;4,906481621E0;8,303832244E-1;3,855620317E0;2,543964102E2;4,837002353E0;3,229232924E0
5,855377817E1;5,235626685E1;4,906442523E0;5,090774633E-1;3,345947458E0;2,547984074E2;4,827546837E0;3,243351441E0
5,955377185E1;5,235625843E1;4,906407269E0;1,379618272E-1;2,809333930E0;2,547620417E2;4,815494785E0;3,261218639E0
6,055376697E1;5,235625378E1;4,906370209E0;-7,231229451E-2;2,426370478E0;2,544211046E2;4,810209527E0;3,269009230E0
6,155376124E1;5,235625586E1;4,906382420E0;-6,692491192E-2;0,000000000E0;2,544211143E2;4,793001506E0;3,294187851E0
6,255375648E1;5,235624478E1;4,906312916E0;-9,233758878E-2;1,806873766E0;2,547905762E2;4,783512177E0;3,307952280E0
6,355375051E1;5,235624403E1;4,906296562E0;-4,606358893E-2;1,588716268E0;2,544167891E2;4,787038977E0;3,302846480E0
6,455374551E1;5,235623994E1;4,906267786E0;7,957194000E-3;2,199948584E0;2,557876356E2;4,790375243E0;3,298005771E0
6,555374062E1;5,235623759E1;4,906230025E0;6,317647081E-2;2,657759033E0;2,552508075E2;4,791803702E0;3,295929962E0
6,655373621E1;5,235622811E1;4,906189456E0;9,725116938E-2;2,759993264E0;2,553108589E2;4,796222160E0;3,289496926E0
6,755373001E1;5,235622462E1;4,906145531E0;5,141863972E-2;2,712044343E0;2,550476314E2;4,798492435E0;3,286184320E0
6,855372477E1;5,235621932E1;4,906104615E0;-6,996490248E-2;2,701875707E0;2,550728435E2;4,800358679E0;3,283457566E0
6,955371964E1;5,235620994E1;4,906059684E0;-3,631788185E-1;2,781223618E0;2,551636380E2;4,792626491E0;3,294733426E0
7,055371511E1;5,235619955E1;4,906020896E0;-3,300019801E-1;2,795355213E0;2,547714445E2;4,792759866E0;3,294539406E0
7,155370891E1;5,235619747E1;4,905983034E0;-2,577701360E-1;2,654093510E0;2,557661922E2;4,785076643E0;3,305688816E0
7,255370486E1;5,235618879E1;4,905942919E0;-1,941289892E-1;2,736100244E0;2,547259913E2;4,784617004E0;3,306354058E0
7,355369878E1;5,235618268E1;4,905896938E0;-2,953364709E-1;2,751307053E0;2,558670653E2;4,784540269E0;3,306465099E0
