"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717669550145142E9;"2024-06-06 12:25:50.145 UTC+02:00"
"PAUSE";7,887030463333358E2;1,717670338843927E9;"2024-06-06 12:38:58.844 UTC+02:00"
