"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1717659438,995;"2024-06-06 09:37:18.995 UTC+02:00"
"PAUSE";4,656202361E2;1717659904,615;"2024-06-06 09:45:04.615 UTC+02:00"
