"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
9,584677792E0;-1,466235352E1;3,812957001E1;1,281468201E1
9,685169542E0;-1,417269897E1;3,842830658E1;1,293792725E1
9,785662542E0;-1,463558960E1;3,744073486E1;1,504425049E1
9,886154542E0;-1,699029541E1;3,504249573E1;1,754618835E1
9,986646542E0;-1,476359558E1;3,482454681E1;2,000650024E1
1,008713854E1;-1,394667053E1;3,635936737E1;1,966149902E1
1,018763054E1;-1,633045959E1;3,467714691E1;2,193530273E1
1,028812354E1;-1,971212769E1;3,341999054E1;2,225328064E1
1,038861554E1;-1,975677490E1;3,573280334E1;1,909521484E1
1,048910754E1;-1,548815918E1;4,003050995E1;1,497245789E1
1,058959954E1;-1,741421509E1;3,868586731E1;1,579837036E1
1,069009117E1;-1,994966125E1;3,657747650E1;1,690657043E1
1,079058417E1;-1,851033020E1;3,638924408E1;1,892778015E1
1,089107617E1;-1,798791504E1;3,509024048E1;2,133618164E1
1,099156817E1;-1,949705505E1;3,186133575E1;2,331315613E1
1,109206017E1;-1,554345703E1;3,069966888E1;2,675027466E1
1,119255217E1;-1,335072327E1;3,163104248E1;2,722857666E1
1,129304517E1;-1,403077698E1;2,958139038E1;2,956039429E1
1,139353717E1;-1,609982300E1;2,765437317E1;3,031555176E1
1,149402917E1;-1,442599487E1;3,023335266E1;2,855023193E1
1,159452117E1;-7,466415405E0;3,615332794E1;2,387149048E1
1,169501342E1;-7,544342041E0;3,652030945E1;2,197134399E1
1,179550642E1;-8,746459961E0;3,607616425E1;2,158059692E1
1,189599842E1;-6,709701538E0;3,638403320E1;2,033364868E1
1,199649042E1;-5,317871094E0;3,623084259E1;1,969784546E1
1,209698242E1;-6,903060913E0;3,489730072E1;2,060670471E1
1,219747442E1;-4,261718750E0;3,416239166E1;2,178810120E1
1,229796642E1;-2,325424194E0;3,527641296E1;2,145956421E1
1,239845942E1;-3,039550781E0;3,422351837E1;2,350634766E1
1,249895142E1;-6,235885620E0;3,260729218E1;2,491741943E1
1,259944342E1;-7,386840820E0;3,340222931E1;2,400935364E1
1,269993567E1;-4,866104126E0;3,764089203E1;1,817677307E1
1,280042767E1;-3,027877808E0;3,980909729E1;1,360690308E1
1,290092067E1;-8,093093872E0;3,893316650E1;1,332412720E1
1,300141267E1;-8,592514038E0;3,937162018E1;1,172734070E1
1,310190467E1;-9,015243530E0;3,909554291E1;1,262628174E1
1,320239667E1;-1,049685669E1;3,872952271E1;1,262881470E1
1,330288967E1;-1,139041138E1;3,660408020E1;1,674586487E1
1,340338167E1;-8,093414307E0;3,760765076E1;1,812797546E1
1,350387367E1;-8,134124756E0;3,736175537E1;1,959617615E1
1,360436567E1;-1,098040771E1;3,471434021E1;2,407476807E1
1,370485854E1;-1,170408630E1;3,463677216E1;2,453688049E1
1,380535054E1;-1,015698242E1;3,862807465E1;1,908760071E1
1,390584254E1;-6,323196411E0;4,124122620E1;1,501062012E1
1,400633454E1;-1,011270142E1;4,016127014E1;1,550692749E1
1,410682754E1;-1,077444458E1;3,986454010E1;1,539801025E1
1,420731954E1;-9,541137695E0;4,016197968E1;1,560379028E1
1,430781154E1;-9,203033447E0;4,009416199E1;1,679359436E1
1,440830354E1;-1,107049561E1;3,754152679E1;1,941117859E1
1,450879654E1;-8,276779175E0;3,723215485E1;2,180416870E1
1,460928854E1;-6,985229492E0;3,815126801E1;2,203164673E1
1,470978017E1;-8,062744141E0;3,650698853E1;2,424986267E1
1,481027217E1;-9,669052124E0;3,532418060E1;2,517016602E1
1,491076517E1;-9,199783325E0;3,638477325E1;2,360778809E1
1,501125717E1;-4,869049072E0;4,134086609E1;1,626205444E1
1,511174917E1;-4,789062500E0;4,212596893E1;1,317593384E1
1,521224117E1;-8,339996338E0;4,183583832E1;1,285289001E1
1,531273417E1;-7,500885010E0;4,215638733E1;1,099372864E1
1,541322617E1;-7,838729858E0;4,208026886E1;1,068278503E1
1,551371817E1;-8,430923462E0;4,160028076E1;1,028184509E1
1,561421017E1;-9,087615967E0;4,026984406E1;1,378355408E1
1,571470354E1;-4,488128662E0;4,150531006E1;1,432635498E1
1,581519554E1;-3,735549927E0;4,101510620E1;1,614758301E1
1,591568754E1;-5,992050171E0;3,947292328E1;1,970121765E1
1,601617954E1;-7,339447021E0;3,973905945E1;1,959509277E1
1,611667254E1;-7,136474609E0;4,138453674E1;1,324191284E1
1,621716454E1;-5,238037109E0;4,281494141E1;6,988082886E0
1,631765654E1;-9,782867432E0;4,186879730E1;7,096298218E0
1,641814854E1;-1,209674072E1;4,103277588E1;6,498992920E0
1,651864154E1;-1,125442505E1;4,002955627E1;7,927398682E0
1,661913354E1;-1,125779724E1;3,875022125E1;8,601150513E0
1,671962508E1;-1,169792175E1;3,610254669E1;1,198373413E1
1,682011708E1;-6,846969604E0;3,543444824E1;1,502859497E1
1,692061008E1;-3,749908447E0;3,601874542E1;1,564247131E1
1,702110208E1;-2,435394287E0;3,448706818E1;1,697500610E1
1,712159408E1;-3,971618652E0;3,279534149E1;1,795892334E1
1,722208608E1;-3,641693115E0;3,332373810E1;1,526402283E1
1,732257908E1;-2,920791626E0;3,532608795E1;6,735885620E0
1,742307108E1;-4,417968750E0;3,528752899E1;4,213348389E0
1,752356308E1;-9,529037476E0;3,435562134E1;3,182128906E0
1,762405608E1;-1,223280334E1;3,317117310E1;2,396011353E0
1,772454779E1;-1,477568054E1;3,155354309E1;3,994903564E0
1,782503979E1;-1,741043091E1;2,883055878E1;6,326019287E0
1,792553179E1;-1,744731140E1;2,527397919E1;1,101274109E1
1,802602479E1;-1,382830811E1;2,688162231E1;1,285694885E1
1,812651679E1;-1,383085632E1;2,611989594E1;1,426516724E1
1,822700879E1;-1,653048706E1;2,350183868E1;1,499482727E1
1,832750179E1;-1,811256409E1;2,282541656E1;1,504411316E1
1,842799379E1;-1,811788940E1;2,515319061E1;1,145425415E1
1,852848579E1;-1,511682129E1;2,712324524E1;1,250318909E1
1,862897779E1;-1,681861877E1;2,433060455E1;1,255552673E1
1,872947142E1;-1,725254822E1;2,297003937E1;1,310467529E1
1,882996342E1;-1,673570251E1;2,250040436E1;1,433401489E1
1,893045542E1;-1,661589050E1;2,226422882E1;1,554063416E1
1,903094842E1;-1,776113892E1;1,954190826E1;1,656683350E1
1,913144042E1;-1,645899963E1;2,090218353E1;1,922630310E1
1,923193242E1;-1,688032532E1;2,310628510E1;2,107188416E1
1,933242542E1;-1,804988098E1;2,267164612E1;2,406668091E1
1,943291742E1;-2,217900085E1;2,134786224E1;2,578129578E1
1,953340942E1;-2,222309875E1;2,474765778E1;2,586439514E1
1,963390242E1;-1,525584412E1;3,158055878E1;2,315672302E1
1,973439467E1;-1,394180298E1;3,233750153E1;2,279330444E1
1,983488667E1;-1,457125854E1;3,074145508E1;2,391885376E1
1,993537967E1;-1,259077454E1;3,142268372E1;2,434886169E1
2,003587167E1;-1,174618530E1;3,106939697E1;2,548504639E1
2,013636367E1;-1,253015137E1;2,982583618E1;2,637321472E1
2,023685667E1;-1,040275574E1;2,725115967E1;2,880609131E1
2,033734867E1;-9,153396606E0;2,855281067E1;2,952709961E1
2,043784067E1;-1,171018982E1;2,684449005E1;3,088027954E1
2,053833367E1;-1,475479126E1;2,448209381E1;3,249526978E1
2,063882567E1;-1,463298035E1;2,588556671E1;3,214790344E1
2,073931796E1;-9,912292480E0;3,446186066E1;2,550382996E1
2,083981096E1;-5,451004028E0;3,714153290E1;2,325036621E1
2,094030296E1;-8,877227783E0;3,645764160E1;2,279823303E1
2,104079496E1;-7,769241333E0;3,766390991E1;2,162068176E1
2,114128796E1;-6,814392090E0;3,780549622E1;2,186552429E1
2,124177996E1;-7,799270630E0;3,743843842E1;2,220080566E1
2,134227196E1;-7,020629883E0;3,515819550E1;2,507475281E1
2,144276396E1;-4,199371338E0;3,551564789E1;2,630871582E1
2,154325696E1;-5,334869385E0;3,447283173E1;2,754092407E1
2,164374896E1;-8,698608398E0;3,166927338E1;3,027841187E1
2,174424083E1;-9,333190918E0;3,174224854E1;3,047503662E1
2,184473383E1;-9,629608154E0;3,538622284E1;2,652291870E1
2,194522583E1;-3,487075806E0;4,003198242E1;2,008406067E1
2,204571883E1;-4,982345581E0;3,981211090E1;1,893771362E1
2,214621083E1;-6,533096313E0;3,951817322E1;1,839814758E1
2,224670283E1;-5,365692139E0;3,948891449E1;1,803865051E1
2,234719583E1;-5,571273804E0;3,899034882E1;1,843093872E1
2,244768783E1;-8,102966309E0;3,750689697E1;1,945704651E1
2,254817983E1;-6,812866211E0;3,603554535E1;2,323893738E1
2,264867283E1;-4,772750854E0;3,647456360E1;2,476837158E1
2,274916417E1;-6,770568848E0;3,566626740E1;2,676556396E1
2,284965617E1;-9,780120850E0;3,231037140E1;2,949693298E1
2,295014917E1;-1,121315002E1;3,272042084E1;2,926214600E1
2,305064117E1;-7,807739258E0;3,833708954E1;2,297604370E1
2,315113317E1;-3,158767700E0;4,057019043E1;1,986154175E1
2,325162617E1;-7,430084229E0;3,940949249E1;1,956967163E1
2,335211817E1;-6,613922119E0;3,956682587E1;1,879716492E1
2,345261117E1;-4,679748535E0;3,934166718E1;2,060443115E1
2,355310317E1;-5,169174194E0;3,851049042E1;2,081076050E1
2,365359517E1;-7,019805908E0;3,599982452E1;2,382214355E1
2,375408833E1;-3,405197144E0;3,427468872E1;2,590417480E1
2,385458033E1;-2,071777344E0;3,410984802E1;2,716777039E1
2,395507233E1;-2,707061768E0;3,203566742E1;2,960795593E1
2,405556533E1;-6,154006958E0;2,981293488E1;3,190092468E1
2,415605733E1;-6,690780640E0;3,086666870E1;3,054797363E1
2,425655033E1;-1,761550903E0;3,681079102E1;2,238218689E1
2,435704233E1;5,841217041E-1;3,834841919E1;2,006719971E1
2,445753433E1;-2,174545288E0;3,809282684E1;1,903355408E1
2,455802733E1;-1,939529419E0;3,806951141E1;1,776896667E1
2,465851933E1;-7,242126465E-1;3,770990753E1;1,804833984E1
2,475901129E1;-1,920394897E0;3,733856964E1;1,776318359E1
2,485950429E1;-2,037551880E0;3,457649231E1;2,109556580E1
2,495999629E1;2,267456055E-1;3,442404175E1;2,202185059E1
2,506048829E1;-1,236495972E0;3,414801025E1;2,344804382E1
2,516098129E1;-3,666229248E0;3,157969666E1;2,667543030E1
2,526147329E1;-6,178802490E0;3,139672852E1;2,667347717E1
2,536196529E1;-5,485855103E0;3,509626770E1;2,305795288E1
2,546245829E1;-8,212280273E-1;3,864042664E1;1,633921814E1
2,556295029E1;-3,725646973E0;3,866883087E1;1,561557007E1
2,566344329E1;-5,387985229E0;3,892987061E1;1,468237305E1
2,576393554E1;-3,715606689E0;3,878149414E1;1,489636230E1
2,586442754E1;-4,594772339E0;3,839478302E1;1,516110229E1
2,596492054E1;-6,657073975E0;3,719409180E1;1,616888428E1
2,606541254E1;-5,361770630E0;3,550432587E1;2,016308594E1
2,616590454E1;-3,047149658E0;3,610948944E1;2,094158936E1
2,626639754E1;-3,716094971E0;3,521919250E1;2,313963318E1
2,636688954E1;-7,488510132E0;3,247509766E1;2,624060059E1
2,646738154E1;-8,472900391E0;3,251100159E1;2,615556335E1
2,656787454E1;-6,329864502E0;3,696535492E1;2,097756958E1
2,666836654E1;-2,376159668E0;4,003981018E1;1,636747742E1
2,676885917E1;-6,389633179E0;3,924697876E1;1,604042053E1
2,686935117E1;-7,384124756E0;3,978240204E1;1,479635620E1
2,696984317E1;-6,426757812E0;3,929685211E1;1,577445984E1
2,707033617E1;-7,145675659E0;3,899281311E1;1,586289978E1
2,717082817E1;-9,070114136E0;3,724804688E1;1,837184143E1
2,727132017E1;-5,466491699E0;3,656143188E1;2,134362793E1
2,737181317E1;-4,791061401E0;3,649500275E1;2,247677612E1
2,747230517E1;-6,361480713E0;3,464024353E1;2,554522705E1
2,757279817E1;-8,777084351E0;3,319615936E1;2,702781677E1
2,767329017E1;-9,613815308E0;3,493861389E1;2,596907043E1
2,777378208E1;-5,094619751E0;3,983296967E1;1,880078125E1
2,787427508E1;-5,483489990E0;4,063220215E1;1,690983582E1
2,797476708E1;-8,295364380E0;3,983135986E1;1,727470398E1
2,807526008E1;-7,190246582E0;4,009271240E1;1,708940125E1
2,817575208E1;-7,416015625E0;3,987371826E1;1,742059326E1
2,827624408E1;-8,555648804E0;3,905131531E1;1,852046204E1
2,837673708E1;-9,322784424E0;3,678421783E1;2,147463989E1
2,847722908E1;-5,912826538E0;3,694308472E1;2,323860168E1
2,857772208E1;-6,530059814E0;3,615656281E1;2,516220093E1
2,867821408E1;-8,852859497E0;3,329099274E1;2,845472717E1
2,877870629E1;-1,068754578E1;3,322621155E1;2,918051147E1
2,887919929E1;-8,706878662E0;3,712249756E1;2,464996338E1
2,897969129E1;-2,980560303E0;4,075872803E1;1,912620544E1
2,908018429E1;-6,786834717E0;4,058158112E1;1,867787170E1
2,918067629E1;-8,114929199E0;4,084802246E1;1,766456604E1
2,928116929E1;-5,849777222E0;4,011705017E1;1,841311646E1
2,938166129E1;-6,615005493E0;4,001091003E1;1,826530457E1
2,948215329E1;-9,673919678E0;3,751630402E1;2,178327942E1
2,958264629E1;-5,984588623E0;3,709159851E1;2,460104370E1
2,968313829E1;-4,837829590E0;3,796623993E1;2,467442322E1
2,978363117E1;-5,391571045E0;3,563237000E1;2,760389709E1
2,988412317E1;-9,902542114E0;3,286084747E1;2,972064209E1
2,998461617E1;-1,071516418E1;3,433667755E1;2,848936462E1
3,008510817E1;-5,156555176E0;4,059672546E1;2,067047119E1
3,018560017E1;-4,256866455E0;4,151256561E1;1,856202698E1
3,028609317E1;-7,015274048E0;4,055834198E1;1,953092957E1
3,038658517E1;-5,667068481E0;4,100057983E1;1,883892822E1
3,048707817E1;-4,983398438E0;4,070439911E1;1,899644470E1
3,058757017E1;-6,684249878E0;3,929428101E1;2,081501770E1
3,068806217E1;-5,943511963E0;3,689975739E1;2,379226685E1
3,078855508E1;-3,329666138E0;3,770145416E1;2,460676575E1
3,088904708E1;-4,368469238E0;3,687194061E1;2,664363098E1
3,098954008E1;-8,101257324E0;3,350083160E1;2,975744629E1
3,109003208E1;-9,443862915E0;3,398091888E1;2,952844238E1
3,119052508E1;-6,856292725E0;3,912062836E1;2,379858398E1
3,129101708E1;-2,014694214E0;4,197492981E1;1,887669373E1
3,139151008E1;-7,362579346E0;4,168282318E1;1,835916138E1
3,149200208E1;-7,724334717E0;4,138908386E1;1,721794128E1
3,159249408E1;-6,047164917E0;4,135507965E1;1,834794617E1
3,169298708E1;-6,001937866E0;4,135646820E1;1,824533081E1
3,179347971E1;-8,998825073E0;3,937081146E1;2,067124939E1
3,189397271E1;-5,773757935E0;3,856863403E1;2,285668945E1
3,199446471E1;-4,724960327E0;3,904908752E1;2,384303284E1
3,209495771E1;-6,593643188E0;3,620258331E1;2,743592834E1
3,219544971E1;-9,556015015E0;3,462802887E1;2,907426453E1
3,229594271E1;-8,985610962E0;3,654209137E1;2,699926758E1
3,239643471E1;-3,114517212E0;4,163431549E1;1,924435425E1
3,249692771E1;-5,812484741E0;4,190135193E1;1,732341003E1
3,259741971E1;-8,942001343E0;4,135576630E1;1,727682495E1
3,269791271E1;-7,323684692E0;4,166496277E1;1,684007263E1
3,279840404E1;-7,286621094E0;4,087471771E1;1,815844727E1
3,289889704E1;-1,020703125E1;3,885266113E1;1,978959656E1
3,299938904E1;-7,980712891E0;3,650972748E1;2,335356140E1
3,309988204E1;-4,642288208E0;3,761286926E1;2,520793152E1
3,320037404E1;-5,337966919E0;3,626280212E1;2,727442932E1
3,330086604E1;-9,519271851E0;3,270654297E1;3,063114929E1
3,340135904E1;-9,946502686E0;3,380093384E1;3,034393311E1
3,350185104E1;-5,665405273E0;3,959243774E1;2,346089172E1
3,360234404E1;-1,790115356E0;4,173292542E1;2,005241394E1
3,370283604E1;-6,019927979E0;4,076472473E1;2,002049255E1
3,380332904E1;-5,338088989E0;4,111723328E1;1,907025146E1
3,390382104E1;-3,876296997E0;4,057245636E1;1,998835754E1
3,400431404E1;-6,405532837E0;3,994284821E1;2,021838379E1
3,410480604E1;-5,680938721E0;3,736772156E1;2,444831848E1
3,420529904E1;-2,304733276E0;3,775495911E1;2,508503723E1
3,430579104E1;-2,331146240E0;3,675496674E1;2,682023621E1
3,440628404E1;-5,603942871E0;3,375265503E1;3,053598022E1
3,450677604E1;-7,457336426E0;3,305189514E1;3,153382874E1
3,460726904E1;-7,752670288E0;3,661528778E1;2,792265320E1
3,470776154E1;-7,904052734E-1;4,089064026E1;2,146191406E1
3,480825454E1;-3,565734863E0;4,118061829E1;2,062234497E1
3,490874654E1;-4,765319824E0;4,116791534E1;1,970700073E1
3,500923954E1;-2,240280151E0;4,104513550E1;1,977664185E1
3,510973154E1;-2,014801025E0;4,069989014E1;2,012409973E1
3,521022454E1;-4,648239136E0;3,910591888E1;2,190971375E1
3,531071654E1;-1,209411621E0;3,704454041E1;2,477532959E1
3,541120854E1;-1,119384766E-1;3,776065826E1;2,534701538E1
3,551170154E1;-1,880065918E0;3,622895813E1;2,817164612E1
3,561219354E1;-5,207275391E0;3,366529846E1;3,068830872E1
3,571268633E1;-7,119903564E0;3,357971191E1;3,137452698E1
3,581317833E1;-4,245666504E0;3,903067017E1;2,502639771E1
3,591367133E1;-1,031829834E0;4,147131348E1;2,065928650E1
3,601416333E1;-5,559875488E0;4,095085907E1;1,959402466E1
3,611465633E1;-5,940841675E0;4,182619476E1;1,817736816E1
3,621514833E1;-6,359527588E0;4,141805267E1;1,828323364E1
3,631564133E1;-6,273849487E0;4,102713776E1;1,903323364E1
3,641613333E1;-5,855194092E0;3,832110596E1;2,320605469E1
3,651662633E1;-1,370223999E0;3,891564178E1;2,457591248E1
3,661711833E1;-1,201782227E-1;3,787786102E1;2,625440979E1
3,671761171E1;-3,049667358E0;3,442900085E1;3,003584290E1
3,681810471E1;-4,807907104E0;3,381947327E1;3,088803101E1
3,691859671E1;-3,723373413E0;3,578039551E1;2,920344543E1
3,701908971E1;9,114837646E-1;4,038945007E1;2,168534851E1
3,711958171E1;-2,464981079E0;4,054874420E1;2,095637512E1
3,722007471E1;-5,988357544E0;4,093431854E1;1,840856934E1
3,732056671E1;-6,114486694E0;4,118558502E1;1,729301453E1
3,742105971E1;-7,348678589E0;4,059287262E1;1,750335693E1
3,752155171E1;-7,381774902E0;3,924536896E1;1,945133972E1
3,762204471E1;-4,335433960E0;3,742916107E1;2,328825378E1
3,772253617E1;-2,715301514E-1;3,750592041E1;2,464660645E1
3,782302917E1;4,792480469E-1;3,572178650E1;2,703814697E1
3,792352117E1;-2,966262817E0;3,248353577E1;3,075814819E1
3,802401417E1;-2,990737915E0;3,303952026E1;3,049488831E1
3,812450717E1;-1,895095825E0;3,570143127E1;2,668777466E1
3,822499917E1;1,613662720E0;4,000895691E1;1,974162292E1
3,832549217E1;-2,603683472E0;3,978464508E1;2,026797485E1
3,842598417E1;-5,103576660E0;4,078915405E1;1,792294312E1
3,852647717E1;-4,812240601E0;4,038336182E1;1,834004211E1
3,862696917E1;-5,815505981E0;4,029233551E1;1,797099304E1
3,872746183E1;-6,162994385E0;3,822188568E1;2,131851196E1
3,882795383E1;-2,433868408E0;3,704372406E1;2,360400391E1
3,892844683E1;5,528259277E-2;3,681110382E1;2,589408875E1
3,902893983E1;4,317626953E-1;3,522871399E1;2,770382690E1
