"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3,476595879E-2;5,235572153E1;4,889725314E0;2,908883572E0;NaN;NaN;2,204709207E1;1,993416977E1
3,605389595E-2;5,235572153E1;4,889725314E0;2,911593199E0;NaN;NaN;2,204709207E1;3,083918953E1
3,605389595E-2;5,235572153E1;4,889725314E0;2,914278150E0;NaN;NaN;2,204709207E1;3,074726677E1
9,727079868E-1;5,235572153E1;4,889725314E0;2,918015838E0;NaN;NaN;2,204709207E1;3,121253395E1
3,018294930E0;5,235572153E1;4,889725314E0;2,934052944E0;NaN;NaN;2,204709207E1;3,114054108E1
8,565394998E0;5,235572153E1;4,889725314E0;2,966908097E0;NaN;NaN;2,204709207E1;3,010846519E1
8,705898404E0;5,235587051E1;4,890269442E0;1,218837738E0;2,029999971E0;1,487109375E2;1,818550198E1;4,000000000E0
9,707011938E0;5,235583409E1;4,890246224E0;1,621181488E0;7,599999905E-1;1,532812500E2;1,858222842E1;4,000000000E0
1,070699573E1;5,235586200E1;4,890259970E0;1,514186859E0;8,700000048E-1;1,170703125E2;1,507070142E1;4,000000000E0
1,170698392E1;5,235585173E1;4,890321996E0;1,275905609E0;8,700000048E-1;1,508203125E2;1,381702517E1;4,000000000E0
1,270697939E1;5,235584901E1;4,890363989E0;1,282375336E0;9,399999976E-1;1,061718750E2;1,319512228E1;4,000000000E0
1,370697188E1;5,235583141E1;4,890359547E0;1,055324554E0;1,039999962E0;1,079296875E2;1,285341675E1;4,000000000E0
1,470696354E1;5,235583023E1;4,890369857E0;9,591331482E-1;8,999999762E-1;1,388671875E2;1,240416192E1;4,000000000E0
1,570696056E1;5,235582189E1;4,890374383E0;4,900169373E-1;8,999999762E-1;1,469531250E2;1,330873833E1;6,000000000E0
1,670695841E1;5,235582189E1;4,890374383E0;4,900170043E-1;8,999999762E-1;NaN;1,330873833E1;6,000000000E0
1,770694971E1;5,235581188E1;4,890374634E0;-1,226538932E-1;7,900000215E-1;NaN;1,361564540E1;8,000000000E0
1,870694447E1;5,235580190E1;4,890369941E0;-3,047827994E-1;7,200000286E-1;NaN;1,423422088E1;8,000000000E0
1,970693815E1;5,235578878E1;4,890364073E0;-5,636971351E-2;7,200000286E-1;NaN;1,440422204E1;1,200000000E1
2,070693016E1;5,235577182E1;4,890401332E0;-4,049412562E-1;1,730000019E0;1,286718907E2;1,233511261E1;1,200000000E1
2,170692539E1;5,235577452E1;4,890429234E0;-2,227512058E0;1,730000019E0;1,044140820E2;1,118009721E1;1,200000000E1
2,270692277E1;5,235577642E1;4,890413694E0;-1,136264732E0;1,289999962E0;NaN;1,031735829E1;1,200000000E1
2,370691288E1;5,235577487E1;4,890429955E0;-3,602390219E0;9,900000095E-1;NaN;9,738865030E0;1,200000000E1
2,470690989E1;5,235576913E1;4,890439762E0;-3,402011804E0;8,199999928E-1;NaN;8,460983603E0;8,000000000E0
2,570690751E1;5,235575848E1;4,890438840E0;-1,632419517E0;6,200000048E-1;NaN;7,983520121E0;8,000000000E0
2,670690334E1;5,235575018E1;4,890463811E0;2,951259800E0;1,230000019E0;1,079297011E2;6,301909043E0;8,000000000E0
2,770690000E1;5,235575646E1;4,890462704E0;6,440395484E0;8,700000048E-1;6,468750914E1;5,814494962E0;8,000000000E0
2,870689690E1;5,235575820E1;4,890483535E0;6,383632846E0;1,230000019E0;7,066407599E1;5,617834785E0;8,000000000E0
2,970689440E1;5,235575616E1;4,890510419E0;4,281826251E0;1,450000048E0;8,507814179E1;5,547227823E0;8,000000000E0
3,070689070E1;5,235575266E1;4,890504386E0;3,788051674E0;6,299999952E-1;NaN;5,617829150E0;8,000000000E0
3,170688713E1;5,235576403E1;4,890542793E0;1,978054344E0;1,710000038E0;6,679689327E1;5,847803482E0;8,000000000E0
3,270688415E1;5,235577498E1;4,890537358E0;3,527858882E0;1,019999981E0;2,531250507E1;5,461544969E0;8,000000000E0
3,370688140E1;5,235578364E1;4,890535982E0;4,205471189E0;1,019999981E0;3,515625727E0;5,675454954E0;8,000000000E0
3,470687807E1;5,235579190E1;4,890544382E0;3,683193345E0;9,499999881E-1;2,812500542E0;5,082778047E0;6,000000000E0
3,570687521E1;5,235579712E1;4,890555369E0;6,277919893E0;8,399999738E-1;2,039062840E1;4,888722583E0;6,000000000E0
3,670687246E1;5,235583481E1;4,890646197E0;1,119404731E0;1,060247966E0;2,614125051E1;6,655217554E0;2,494595370E0
3,770686829E1;5,235583505E1;4,890651866E0;1,526368738E0;1,158798295E0;1,937288869E1;7,029492777E0;2,483480068E0
3,870686579E1;5,235583633E1;4,890626501E0;1,547793503E0;3,133487493E-1;NaN;7,414962402E0;2,402273131E0
3,970686245E1;5,235587033E1;4,890587927E0;1,470448070E0;9,293827057E-1;3,549400253E2;7,631239579E0;2,459294855E0
4,070685995E1;5,235587958E1;4,890601239E0;1,150926546E0;9,061717927E-1;5,817979997E0;7,177370146E0;2,468958642E0
4,170685720E1;5,235588959E1;4,890603390E0;1,390954061E0;1,019836196E0;5,087604330E0;6,767192468E0;2,511730850E0
4,270685387E1;5,235590255E1;4,890636009E0;8,548607826E-1;1,284545959E0;1,357071770E1;6,853049083E0;2,468061335E0
4,370685005E1;5,235592832E1;4,890619957E0;1,076805802E0;1,512866062E0;7,948382374E0;6,881696800E0;2,408170800E0
4,470684671E1;5,235596405E1;4,890586407E0;7,971979193E-1;1,900972134E0;1,725414978E0;6,976630634E0;2,316219718E0
4,570684350E1;5,235596978E1;4,890609601E0;1,146802005E0;1,839842584E0;8,563237664E0;6,274711452E0;2,541033565E0
4,670684099E1;5,235597299E1;4,890651684E0;1,056232580E0;1,571632040E0;1,852524929E1;5,903398730E0;2,634293385E0
4,770683837E1;5,235597701E1;4,890623534E0;1,523227417E0;1,068900307E0;3,502897112E0;5,621143748E0;2,672689529E0
4,870683503E1;5,235598874E1;4,890623245E0;1,770539647E0;1,135382459E0;4,412032350E0;5,502342473E0;2,678911610E0
4,970683169E1;5,235600758E1;4,890620815E0;8,923401339E-1;1,311839917E0;2,632858872E0;5,554877929E0;2,656190159E0
5,070682740E1;5,235600806E1;4,890599250E0;1,552090400E0;1,017371343E0;3,518922457E2;5,802138865E0;2,592433376E0
5,170682466E1;5,235600912E1;4,890627638E0;2,954069683E-1;8,374002751E-1;8,679591511E0;5,720672340E0;2,533403040E0
5,270682240E1;5,235602198E1;4,890632290E0;9,832569994E-1;1,032682627E0;8,941869098E0;5,790345312E0;2,595543219E0
5,370681906E1;5,235604139E1;4,890618535E0;1,568851594E0;1,298722964E0;3,006163995E0;5,843442767E0;2,613674168E0
5,470681548E1;5,235605418E1;4,890611638E0;1,508562474E0;1,217179020E0;4,034403400E-2;5,934964990E0;2,544052292E0
5,570681322E1;5,235605678E1;4,890604231E0;1,237234626E0;1,105069746E0;3,577998139E2;6,045468801E0;2,507637984E0
5,670680892E1;5,235606085E1;4,890611888E0;1,294029594E0;1,025931780E0;1,855486819E0;5,889598866E0;2,524542760E0
5,770680666E1;5,235606266E1;4,890607607E0;1,830791932E0;7,860845522E-1;4,089569848E-2;5,605401895E0;2,715303643E0
5,870680308E1;5,235607535E1;4,890625133E0;1,945966135E0;9,820581339E-1;9,443492456E0;5,494180368E0;2,699567507E0
5,970679951E1;5,235608882E1;4,890605720E0;2,021348237E0;1,033607027E0;3,590602785E2;5,351550932E0;2,768977042E0
6,070679700E1;5,235609907E1;4,890620962E0;1,425526622E0;1,022661433E0;5,958842973E0;5,231122601E0;2,792101783E0
6,170679414E1;5,235610796E1;4,890637879E0;1,637267581E0;9,849774056E-1;1,351386132E1;5,054596515E0;2,876732713E0
6,270679057E1;5,235611369E1;4,890641248E0;1,592131279E0;9,789384947E-1;1,257579322E1;5,054793459E0;2,876386643E0
6,370678735E1;5,235613089E1;4,890653336E0;1,771826593E0;1,418959293E0;1,421057625E1;5,094446739E0;2,805556890E0
6,470678377E1;5,235614198E1;4,890624381E0;1,436544002E0;1,346867713E0;9,072194728E-1;5,293302383E0;2,533600543E0
6,570678174E1;5,235616186E1;4,890635644E0;1,973618392E0;1,408604068E0;5,219841809E0;5,188005012E0;2,774589660E0
6,670677876E1;5,235617087E1;4,890592488E0;2,267398174E0;1,263020752E0;3,469261749E2;5,057061406E0;2,872397426E0
6,770677507E1;5,235619280E1;4,890569553E0;2,119865749E0;1,198710829E0;3,405736523E2;5,067550232E0;2,853852077E0
6,870677197E1;5,235621434E1;4,890524601E0;1,485200259E0;1,527374496E0;3,313517391E2;5,071230719E0;2,847306803E0
6,970676851E1;5,235622753E1;4,890486651E0;1,587949032E0;1,628278066E0;3,259808944E2;5,192410208E0;2,619811686E0
7,070676661E1;5,235624146E1;4,890479244E0;1,701182662E0;1,557524328E0;3,309769791E2;5,186401830E0;2,631686358E0
7,170676279E1;5,235624855E1;4,890489773E0;1,543425279E0;1,225610937E0;3,417763478E2;5,238796136E0;2,525777519E0
7,270675921E1;5,235627228E1;4,890487985E0;1,702844559E0;1,351300472E0;3,467842118E2;5,149067620E0;2,704004379E0
7,370675635E1;5,235627354E1;4,890496876E0;1,390150541E0;1,007106675E0;3,572171662E2;5,099985740E0;2,795475359E0
7,470675349E1;5,235628117E1;4,890507199E0;1,719805484E0;1,016254744E0;4,798739213E0;5,067132875E0;2,854593046E0
