"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717503115707000E9;"2024-06-04 14:11:55.707 UTC+02:00"
"PAUSE";3,649807646249974E2;1,717503480691000E9;"2024-06-04 14:18:00.691 UTC+02:00"
