"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
8,818211626E0;2,255109847E-1;-7,646172643E-1;1,606369019E-2
8,918211626E0;2,261999100E-1;-7,437050343E-1;3,370857239E-2
9,018211626E0;2,298015654E-1;-7,564442754E-1;2,432537079E-2
9,118211626E0;2,286195904E-1;-7,384132147E-1;3,109169006E-2
9,218211626E0;2,312463075E-1;-7,341655493E-1;-6,256103516E-4
9,318211626E0;2,415642291E-1;-7,342818975E-1;1,357841492E-2
9,418211626E0;2,364977747E-1;-7,163280249E-1;1,314163208E-2
9,518211626E0;2,298551649E-1;-7,245173454E-1;-2,632141113E-4
9,618211626E0;2,425829023E-1;-7,076715231E-1;5,461692810E-3
9,718211626E0;2,261566073E-1;-7,466205359E-1;-1,278495789E-2
9,818211626E0;2,279394865E-1;-7,267310023E-1;1,957511902E-2
9,918211626E0;2,415682822E-1;-7,440156937E-1;6,024360657E-3
1,001821163E1;2,232879549E-1;-7,218071818E-1;2,800941467E-3
1,011821163E1;2,166614234E-1;-7,208714485E-1;2,603149414E-2
1,021821163E1;2,132635117E-1;-7,241580486E-1;1,970100403E-2
1,031821163E1;2,237370610E-1;-7,505923510E-1;-1,318836212E-2
1,041821163E1;2,187277228E-1;-7,438766956E-1;-9,931564331E-3
1,051821163E1;2,269507200E-1;-7,374679446E-1;-2,583026886E-2
1,061821163E1;2,182888985E-1;-7,420092225E-1;-7,467269897E-4
1,071821163E1;2,122799456E-1;-7,345410585E-1;2,669811249E-2
1,081821163E1;2,086390853E-1;-7,317635417E-1;2,617168427E-2
1,091821163E1;2,232006639E-1;-7,345429063E-1;2,399635315E-2
1,101821163E1;2,202402055E-1;-7,857816815E-1;1,683807373E-2
1,111821163E1;2,100416124E-1;-7,294870615E-1;-1,100540161E-2
1,121821163E1;2,225935161E-1;-7,405095100E-1;-3,114318848E-2
1,131821163E1;2,131161690E-1;-7,339668274E-1;9,937286377E-4
1,141821163E1;2,095692903E-1;-7,125670910E-1;1,512241364E-2
1,151821163E1;2,111539096E-1;-7,177080512E-1;6,854057312E-3
1,161821163E1;2,076066285E-1;-7,050212026E-1;2,808380127E-2
1,171821163E1;2,018730640E-1;-7,037053108E-1;3,894519806E-2
1,181821163E1;2,022117823E-1;-6,995463371E-1;1,762199402E-2
1,191821163E1;1,894997209E-1;-7,016041279E-1;1,572132111E-2
1,201821163E1;1,910298616E-1;-6,914710999E-1;-5,486488342E-3
1,211821163E1;1,988956481E-1;-6,959980726E-1;-1,731300354E-2
1,221821163E1;1,953965575E-1;-6,913475990E-1;-1,016712189E-2
1,231821163E1;1,966553777E-1;-6,925057173E-1;5,163192749E-3
1,241821163E1;1,951067150E-1;-7,186927199E-1;1,270675659E-2
1,251821163E1;1,952874362E-1;-7,217144966E-1;2,090644836E-2
1,261821163E1;1,927502751E-1;-6,953141689E-1;2,031803131E-2
1,271821163E1;1,987999678E-1;-7,194179296E-1;3,230094910E-3
1,281821163E1;1,850745380E-1;-7,085344791E-1;2,433872223E-2
1,291821163E1;1,990067363E-1;-6,797140837E-1;-3,877067566E-2
1,301821163E1;2,066795528E-1;-6,892802715E-1;-3,329944611E-2
1,311821163E1;1,991176307E-1;-6,921577454E-1;-1,959800720E-3
1,321821163E1;2,088569701E-1;-7,000141740E-1;8,985519409E-3
1,331821163E1;1,971944869E-1;-7,233695984E-1;3,424072266E-2
1,341821163E1;1,905883253E-1;-7,668349743E-1;1,100635529E-2
1,351821163E1;1,882325262E-1;-7,368418574E-1;-6,832122803E-3
1,361821163E1;1,902017146E-1;-7,252407074E-1;-1,103878021E-2
1,371821163E1;1,914305538E-1;-7,034916878E-1;7,589340210E-3
1,381821163E1;2,054684460E-1;-7,006664276E-1;1,996040344E-3
1,391821163E1;2,057943195E-1;-6,877702475E-1;4,808425903E-3
1,401821163E1;2,060840130E-1;-6,911876202E-1;-1,401519775E-2
1,411821163E1;2,007820904E-1;-6,833629608E-1;-1,675415039E-2
1,421821163E1;1,958894432E-1;-6,845599413E-1;-1,099777222E-2
1,431821163E1;1,891457736E-1;-6,782474518E-1;1,196861267E-2
1,441821163E1;1,805652231E-1;-6,674813628E-1;2,942085266E-3
1,451821163E1;1,711790562E-1;-6,679656506E-1;1,714229584E-2
1,461821163E1;1,677919626E-1;-6,715005636E-1;9,372711182E-3
1,471821163E1;1,514241695E-1;-6,558660865E-1;9,768486023E-3
1,481821163E1;1,560965180E-1;-6,615340710E-1;8,912086487E-3
1,491821163E1;1,343126595E-1;-6,500751376E-1;1,225280762E-2
1,501821163E1;1,380975842E-1;-6,478344202E-1;1,620769501E-2
1,511821163E1;1,405669451E-1;-6,354290247E-1;2,854156494E-2
1,521821163E1;1,469979733E-1;-6,287600994E-1;2,167987823E-2
1,531821163E1;1,563674212E-1;-6,256226301E-1;1,315212250E-2
1,541821163E1;1,633104980E-1;-6,283433437E-1;-1,715660095E-2
1,551821163E1;1,803199500E-1;-6,236547232E-1;-1,509571075E-2
1,561821163E1;1,791337281E-1;-6,237497330E-1;-1,575183868E-2
1,571821163E1;1,979045868E-1;-6,251639128E-1;-3,648757935E-3
1,581821163E1;2,016819417E-1;-6,103655100E-1;-9,155273438E-4
1,591821163E1;2,128399014E-1;-6,354808211E-1;-5,623817444E-3
1,601821163E1;2,118184865E-1;-6,617755890E-1;-1,890850067E-2
1,611821163E1;2,086583674E-1;-6,890061498E-1;-1,483726501E-2
1,621821163E1;1,933719814E-1;-6,794787645E-1;-2,027702332E-2
1,631821163E1;1,966655105E-1;-6,723732352E-1;-2,863979340E-2
1,641821163E1;1,718841493E-1;-6,454227567E-1;-4,399299622E-3
1,651821163E1;1,798744500E-1;-6,411166191E-1;1,153945923E-4
1,661821163E1;1,533089876E-1;-6,575980186E-1;2,101516724E-2
1,671821163E1;1,597164869E-1;-6,847601533E-1;-1,862430573E-2
1,681821163E1;1,418357790E-1;-6,667855978E-1;9,347915649E-3
1,691821163E1;1,376698464E-1;-6,712017059E-1;-3,750801086E-3
1,701821163E1;1,243050098E-1;-6,705686450E-1;-1,184463501E-3
1,711821163E1;1,380337775E-1;-6,636376977E-1;-8,692741394E-3
1,721821163E1;1,381460130E-1;-6,668403745E-1;2,279853821E-2
1,731821163E1;1,510647088E-1;-6,448748112E-1;4,158306122E-2
1,741821163E1;1,626442820E-1;-6,343485117E-1;2,174282074E-2
1,751821163E1;1,617626995E-1;-6,496706605E-1;-1,049995422E-2
1,761821163E1;1,701157838E-1;-6,460134983E-1;-3,669261932E-2
1,771821163E1;1,761994660E-1;-6,525270939E-1;-3,271579742E-2
1,781821163E1;1,819555610E-1;-6,264327168E-1;-1,695537567E-2
1,791821163E1;1,838531792E-1;-6,139932275E-1;3,076553345E-3
1,801821163E1;1,698481143E-1;-6,031693220E-1;1,452922821E-2
1,811821163E1;1,708290577E-1;-6,066301465E-1;-4,439353943E-3
1,821821163E1;1,541910619E-1;-5,981042981E-1;-1,498508453E-2
1,831821163E1;1,394816339E-1;-6,009935141E-1;-3,130912781E-3
1,841821163E1;1,178069413E-1;-5,958368778E-1;3,015899658E-2
1,851821163E1;1,073052883E-1;-5,936221480E-1;3,721809387E-2
1,861821163E1;1,018385962E-1;-5,929383636E-1;2,963352203E-2
1,871821163E1;1,116465777E-1;-5,781462193E-1;-3,767013550E-4
1,881821163E1;1,215395704E-1;-5,875297785E-1;-1,822757721E-2
1,891821163E1;1,467434168E-1;-6,059149504E-1;-5,040264130E-2
1,901821163E1;1,596905887E-1;-5,829133987E-1;-5,519676208E-2
1,911821163E1;1,836010516E-1;-5,624368787E-1;-4,523658752E-2
1,921821163E1;2,004864812E-1;-5,659623742E-1;-5,609035492E-2
1,931821163E1;2,150444984E-1;-5,404834151E-1;5,193901062E-2
1,941821163E1;2,278775275E-1;-5,231242180E-1;4,686450958E-2
1,951821163E1;2,232691050E-1;-5,471196175E-1;6,087303162E-3
1,961821163E1;2,194746137E-1;-5,499804616E-1;-2,396392822E-2
1,971821163E1;2,012948543E-1;-5,342835784E-1;-6,472587585E-3
1,981821163E1;1,945132613E-1;-5,437482595E-1;-2,825355530E-2
1,991821163E1;1,388846785E-1;-5,424938798E-1;-2,929306030E-2
2,001821163E1;1,374346167E-1;-5,276450515E-1;-6,098747253E-2
2,011821163E1;9,343346953E-2;-5,271021128E-1;-2,222156525E-2
2,021821163E1;8,416009694E-2;-5,274711847E-1;1,756668091E-3
2,031821163E1;7,995258272E-2;-5,213354230E-1;4,221057892E-2
2,041821163E1;6,530629843E-2;-5,181659460E-1;6,808185577E-2
2,051821163E1;7,285793126E-2;-5,016642809E-1;9,409809113E-2
2,061821163E1;7,759867609E-2;-4,941961169E-1;9,339332581E-2
2,071821163E1;7,803849876E-2;-4,861117601E-1;3,819370270E-2
2,081821163E1;9,195493907E-2;-4,894727170E-1;1,597881317E-2
2,091821163E1;1,152434647E-1;-4,823717475E-1;-2,596759796E-2
2,101821163E1;1,415113509E-1;-4,903562665E-1;-1,950168610E-2
2,111821163E1;1,543198228E-1;-4,801411629E-1;-3,332138062E-2
2,121821163E1;1,645395458E-1;-4,925256670E-1;-1,544857025E-2
2,131821163E1;1,827909648E-1;-4,849303365E-1;-1,150035858E-2
2,141821163E1;1,943082958E-1;-4,785031080E-1;-2,001571655E-2
2,151821163E1;2,003745735E-1;-4,689300060E-1;-9,704589844E-3
2,161821163E1;2,094896734E-1;-4,713273644E-1;-2,282238007E-2
2,171821163E1;2,131246328E-1;-4,629690349E-1;-3,758144379E-2
2,181821163E1;2,038286030E-1;-4,553018212E-1;-4,170227051E-2
2,191821163E1;1,917962730E-1;-4,623776078E-1;-1,403141022E-2
2,201821163E1;1,581218988E-1;-4,618246555E-1;1,260566711E-2
2,211821163E1;1,533341259E-1;-4,578869939E-1;-5,115509033E-3
2,221821163E1;1,449260861E-1;-4,549372494E-1;-7,540702820E-3
2,231821163E1;1,245281398E-1;-4,368265271E-1;2,328968048E-2
2,241821163E1;1,073046625E-1;-4,173055291E-1;1,471710205E-2
2,251821163E1;9,710890055E-2;-4,175286591E-1;-2,123832703E-2
2,261821163E1;7,023601979E-2;-4,351004958E-1;-6,703376770E-3
2,271821163E1;6,503634155E-2;-4,235504270E-1;1,518630981E-2
2,281821163E1;7,178217918E-2;-4,458497763E-1;-2,550315857E-2
2,291821163E1;6,377484649E-2;-4,373963475E-1;-1,912403107E-2
