"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
9,014059083E0;-1,256231871E-2;-4,713860750E-1;9,820143700E0
9,114059083E0;-1,256231871E-2;-4,498506486E-1;9,829116821E0
9,214059083E0;-8,973085321E-3;-4,450650215E-1;9,810572624E0
9,314059083E0;-1,076770201E-2;-4,552344978E-1;9,825528145E0
9,414059083E0;-5,982056726E-3;-4,444667995E-1;9,830313683E0
9,514059083E0;-1,914258115E-2;-4,528416991E-1;9,806983948E0
9,614059083E0;-3,589233849E-3;-4,408775866E-1;9,811769485E0
9,714059083E0;-4,785645287E-3;-4,779663086E-1;9,811769485E0
9,814059083E0;-1,734796353E-2;-4,683950245E-1;9,819545746E0
9,914059083E0;-4,785645287E-3;-4,845465720E-1;9,815358162E0
1,001405908E1;-1,256231871E-2;-4,719842672E-1;9,821340561E0
1,011405908E1;-1,196411345E-2;-4,701896608E-1;9,817152977E0
1,021405908E1;-1,914258115E-2;-4,839483798E-1;9,836894035E0
1,031405908E1;-1,435693540E-2;-5,042873621E-1;9,784850121E0
1,041405908E1;-1,914258115E-2;-5,078766346E-1;9,795019150E0
1,051405908E1;-1,196411322E-3;-5,006981492E-1;9,782457352E0
1,061405908E1;-1,435693540E-2;-5,126622319E-1;9,811170578E0
1,071405908E1;-1,914258115E-2;-5,090730190E-1;9,836894035E0
1,081405908E1;-1,615155302E-2;-5,024927258E-1;9,836894035E0
1,091405908E1;-4,785645287E-3;-5,132604837E-1;9,824930191E0
1,101405908E1;-4,187439568E-3;-5,270192027E-1;9,827322960E0
1,111405908E1;-1,914258115E-2;-5,359922647E-1;9,795019150E0
1,121405908E1;-5,383851007E-3;-5,479564071E-1;9,782457352E0
1,131405908E1;-8,973085321E-3;-5,318048596E-1;9,795618057E0
1,141405908E1;5,982056609E-4;-5,144568682E-1;9,789037704E0
1,151405908E1;-2,392822644E-3;-5,162515044E-1;9,822537422E0
1,161405908E1;-8,374879137E-3;-5,150550604E-1;9,849455833E0
1,171405908E1;-1,734796353E-2;-5,144568682E-1;9,844670296E0
1,181405908E1;-1,316052489E-2;-5,156532526E-1;9,821938515E0
1,191405908E1;-1,854437590E-2;-5,174478889E-1;9,806385040E0
1,201405908E1;-1,495514158E-2;-5,036891699E-1;9,806983948E0
1,211405908E1;-1,316052489E-2;-5,162515044E-1;9,790233612E0
1,221405908E1;-1,256231871E-2;-5,168496966E-1;9,803394318E0
1,231405908E1;-1,375873014E-2;-5,288137794E-1;9,823733330E0
1,241405908E1;-7,776673418E-3;-5,653043389E-1;9,817750931E0
1,251405908E1;3,589233849E-3;-5,665007830E-1;9,824331284E0
1,261405908E1;-4,187439568E-3;-5,377869010E-1;9,832706451E0
1,271405908E1;1,495514158E-2;-5,676971674E-1;9,799804688E0
1,281405908E1;-1,794616925E-3;-5,623133183E-1;9,809974670E0
