"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8,443824999E-2;-8,810999393E-1;-7,917540073E-1;5,842556357E-1
1,849422500E-1;-3,086750805E-1;-7,757581472E-1;3,583053648E-1
2,854462500E-1;-6,558761597E-1;-1,110991001E0;7,629015446E-1
3,859502500E-1;-1,103644967E0;6,401576996E-1;2,343259901E-1
4,864552500E-1;-6,007382274E-1;7,474530935E-1;-8,063366413E-1
5,869592500E-1;-1,444676399E0;-2,868026733E0;2,946503460E-1
6,874641250E-1;-6,808798313E-1;-2,683773518E0;-9,005575180E-1
7,879681250E-1;-2,042576551E0;-5,095799446E0;-2,508355618E0
8,884721250E-1;-3,264784813E0;-4,786670685E0;-4,532500207E-1
9,889761250E-1;-3,583518982E0;-3,267210960E0;3,010415316E0
1,089480125E0;-1,098964334E0;-7,532117963E-1;1,407282472E0
1,189984125E0;-1,341347694E0;8,660955429E-1;3,566389680E-1
1,290488125E0;-4,288392365E-1;1,255083561E0;2,602323145E-2
1,390992125E0;-1,161811948E0;3,253768682E0;7,898883224E-1
1,491496125E0;-2,375068665E-1;2,453858376E0;1,932921410E0
1,592000125E0;1,667019725E-1;-3,482965946E0;-1,291592270E-1
1,692504667E0;-8,647955656E-1;-6,734893918E-1;8,333331347E-1
1,793008667E0;7,941869646E-2;-1,341142297E0;6,170396879E-2
1,893512667E0;1,389273405E0;-1,966465950E0;1,171677560E-1
1,994016667E0;5,377311110E-1;-2,932992578E-1;1,295188069E0
2,094520667E0;-1,149237037E0;-1,156750798E0;1,230353236E0
2,195024667E0;-4,594586790E-1;-1,827104539E-1;1,089383006E0
2,295528667E0;1,685015798E0;-5,055875182E-1;2,287412137E-1
2,396032667E0;1,583720803E0;-1,585905701E-1;-2,543250024E-1
2,496536667E0;-8,366636038E-1;5,241002440E-1;8,567122370E-2
2,597040667E0;-7,012901306E-1;-8,524523377E-1;-2,665288001E-2
2,697544875E0;-2,284991741E0;-1,816815853E0;8,173404932E-1
