"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1,000950417E-1;-3,518433380E0;6,034401398E0;2,634072418E0
2,005890417E-1;-2,123035126E0;7,121141510E0;5,427563324E0
3,010830417E-1;5,523513794E-2;7,357649689E0;9,908495178E0
4,015771667E-1;1,125659180E-1;2,855611725E0;1,211011688E1
5,020711667E-1;-4,685256958E-1;2,200723572E0;9,015003204E0
6,025661667E-1;2,310146027E0;2,558928680E0;5,303770752E0
7,030601667E-1;1,592089233E0;2,221679993E0;7,585326233E0
8,035541667E-1;-7,096742249E-1;1,478325806E0;1,385174515E1
9,040481667E-1;4,362228699E0;-1,004561005E0;1,455782684E1
1,004542167E0;8,241711273E0;-1,645827484E0;7,079078979E0
1,105036167E0;4,668192444E0;-4,693789215E0;3,109483795E0
1,205530167E0;4,174968109E0;-1,254391479E0;4,698728943E-1
1,306024167E0;3,062780914E0;-8,088280334E0;9,587113495E0
1,406517708E0;4,675527191E0;-7,245083771E0;1,005548950E1
1,507011708E0;8,468938751E0;-1,316407516E1;-1,193468170E0
1,607505708E0;2,094594269E0;-1,452205124E1;-1,935175781E0
1,707999708E0;-2,741099854E0;-1,038300842E1;3,713477783E0
1,808493708E0;-1,110091553E0;-4,550986176E0;8,147557068E-1
1,908988708E0;1,914518738E-1;-6,471642151E0;3,328179016E0
2,009482708E0;-4,950205994E-1;-9,578431549E0;4,219425659E0
2,109976708E0;-1,698966980E0;-1,198946777E1;1,811233521E-2
2,210470708E0;-1,112785950E0;-1,120809265E1;3,318149872E0
2,310964708E0;2,567460938E0;-1,096335159E1;1,612446899E0
2,411459167E0;-2,150727539E0;-9,391919403E0;1,833986206E0
2,511953167E0;2,309996338E0;-9,022038574E0;1,465901642E0
2,612447167E0;5,164260864E-2;-1,119566849E1;3,109783173E0
2,712941167E0;-3,712280273E0;-1,264884659E1;-3,733386383E0
2,813435167E0;-4,983137512E0;-7,897277527E0;-2,770588531E0
2,913929167E0;-1,068478088E0;-6,194568329E0;-7,955955505E-1
3,014423167E0;-1,095571747E0;-6,120322723E0;-1,691482544E-1
3,114917167E0;-2,361638947E0;-1,562256271E1;-1,743873596E-1
