"Time (s)";"X (hPa)"
-5,552708333E-1;1,013584671E3
4,496991667E-1;1,013585358E3
1,454720167E0;1,013586044E3
2,459677167E0;1,013586044E3
3,464633167E0;1,013587265E3
3,816772167E0;1,013586197E3
4,888784167E0;1,013586197E3
5,960776167E0;1,013584290E3
7,032765167E0;1,013580246E3
8,104739167E0;1,013578568E3
9,176727167E0;1,013576279E3
1,024866717E1;1,013574600E3
1,132062517E1;1,013574600E3
1,239259317E1;1,013575897E3
1,346455317E1;1,013575897E3
1,453653117E1;1,013576508E3
1,560845117E1;1,013575439E3
1,668036717E1;1,013573761E3
1,775232217E1;1,013572083E3
1,882421317E1;1,013572083E3
1,989616717E1;1,013574371E3
2,096816017E1;1,013578415E3
2,204012217E1;1,013582764E3
2,311204217E1;1,013585815E3
2,418399817E1;1,013586349E3
2,525596417E1;1,013586960E3
2,632797117E1;1,013586349E3
2,739992717E1;1,013586960E3
2,847187517E1;1,013587494E3
2,954377017E1;1,013588333E3
3,061572317E1;1,013588333E3
3,168772017E1;1,013585663E3
3,275964717E1;1,013579636E3
3,383164117E1;1,013571854E3
3,490365017E1;1,013564224E3
3,597561617E1;1,013561325E3
3,704758517E1;1,013561325E3
3,811960117E1;1,013561935E3
3,919162117E1;1,013568268E3
4,026361317E1;1,013574982E3
4,133556317E1;1,013581314E3
4,240756417E1;1,013588943E3
4,347958417E1;1,013594666E3
4,455158017E1;1,013598404E3
4,562360217E1;1,013598404E3
4,669561717E1;1,013597946E3
4,776762517E1;1,013594971E3
4,883960217E1;1,013594971E3
4,991161217E1;1,013595200E3
5,098356817E1;1,013595657E3
5,205556317E1;1,013596268E3
5,312754917E1;1,013596268E3
5,419956417E1;1,013593597E3
5,527155117E1;1,013589706E3
5,634354517E1;1,013588715E3
5,741556917E1;1,013588715E3
5,848762017E1;1,013590240E3
5,955965317E1;1,013591385E3
6,063166017E1;1,013591385E3
6,170361817E1;1,013590622E3
6,277558017E1;1,013589935E3
6,384762417E1;1,013589935E3
6,491968517E1;1,013591461E3
6,599169917E1;1,013594818E3
6,706371317E1;1,013601151E3
6,813572517E1;1,013605347E3
6,920772117E1;1,013606033E3
7,027976517E1;1,013607483E3
7,135176917E1;1,013607483E3
7,242378417E1;1,013602219E3
7,349581517E1;1,013596268E3
7,456780117E1;1,013589172E3
7,563983617E1;1,013580551E3
7,671182617E1;1,013572464E3
7,778378317E1;1,013566589E3
7,885576017E1;1,013561401E3
7,992779817E1;1,013558655E3
8,099977417E1;1,013558655E3
8,207178417E1;1,013559494E3
8,314376817E1;1,013561935E3
8,421573717E1;1,013565598E3
8,528772017E1;1,013571472E3
8,635975017E1;1,013576736E3
8,743179717E1;1,013581696E3
8,850385617E1;1,013588486E3
8,957592517E1;1,013595810E3
9,064806317E1;1,013599167E3
9,172011117E1;1,013600922E3
9,279220917E1;1,013600922E3
9,386431717E1;1,013597488E3
9,493641717E1;1,013593063E3
9,600847717E1;1,013590393E3
9,708054617E1;1,013588943E3
9,815261817E1;1,013588943E3
9,922473417E1;1,013591843E3
1,002968512E2;1,013595428E3
1,013689142E2;1,013598175E3
1,024409902E2;1,013600922E3
1,035130952E2;1,013601990E3
1,045851922E2;1,013603287E3
1,056573262E2;1,013605499E3
1,067294832E2;1,013606186E3
1,078015962E2;1,013608475E3
1,088736962E2;1,013611069E3
1,099458192E2;1,013614426E3
1,110179492E2;1,013617935E3
1,120900582E2;1,013621063E3
1,131621852E2;1,013626862E3
1,142343402E2;1,013630447E3
1,153065072E2;1,013636322E3
1,163786532E2;1,013642426E3
1,174507922E2;1,013648224E3
1,185229342E2;1,013652039E3
1,195950702E2;1,013656769E3
1,206671932E2;1,013660660E3
1,217393272E2;1,013660660E3
1,228114172E2;1,013660660E3
1,238835122E2;1,013660431E3
1,249556642E2;1,013660278E3
1,260277762E2;1,013653564E3
1,270999192E2;1,013645935E3
1,281720392E2;1,013638992E3
1,292441752E2;1,013631668E3
1,303162962E2;1,013623810E3
1,313883952E2;1,013618774E3
1,324605052E2;1,013614960E3
1,335326202E2;1,013612518E3
1,346047662E2;1,013612442E3
1,356768982E2;1,013612442E3
1,367490102E2;1,013612518E3
1,378210832E2;1,013613358E3
1,388931722E2;1,013613510E3
1,399652782E2;1,013613510E3
1,410373732E2;1,013614807E3
1,421094732E2;1,013615417E3
1,431815812E2;1,013616028E3
1,442536992E2;1,013616257E3
1,453258482E2;1,013616714E3
1,463980032E2;1,013616867E3
1,474701422E2;1,013618011E3
1,485422402E2;1,013622208E3
1,496143552E2;1,013624115E3
1,506864872E2;1,013624115E3
1,517586502E2;1,013622437E3
1,528308222E2;1,013618774E3
1,539029612E2;1,013615646E3
1,549751342E2;1,013613281E3
1,560473332E2;1,013611908E3
1,571195162E2;1,013610229E3
1,581916662E2;1,013610229E3
1,592638502E2;1,013612442E3
1,603359872E2;1,013613358E3
1,614081372E2;1,013616257E3
1,624803482E2;1,013619003E3
1,635525172E2;1,013619919E3
1,646246822E2;1,013621368E3
1,656968702E2;1,013621597E3
1,667690402E2;1,013621979E3
1,678412152E2;1,013622437E3
1,689133682E2;1,013624496E3
1,699854922E2;1,013624496E3
1,710576952E2;1,013623199E3
1,721298922E2;1,013620453E3
1,732020562E2;1,013618011E3
1,742742442E2;1,013617935E3
1,753464332E2;1,013616714E3
1,764186022E2;1,013616486E3
1,774907802E2;1,013615036E3
1,785629412E2;1,013614349E3
1,796351452E2;1,013613358E3
1,807073342E2;1,013612289E3
1,817795402E2;1,013611908E3
1,828517442E2;1,013610840E3
1,839240082E2;1,013608246E3
1,849962382E2;1,013604965E3
1,860684882E2;1,013598557E3
1,871407392E2;1,013590393E3
1,882130142E2;1,013586426E3
1,892852112E2;1,013579636E3
1,903574132E2;1,013571625E3
1,914295802E2;1,013567657E3
1,925017522E2;1,013562164E3
1,935739182E2;1,013554230E3
1,946461292E2;1,013548126E3
1,957183402E2;1,013537598E3
1,967905092E2;1,013524017E3
1,978626562E2;1,013512268E3
1,989347972E2;1,013499680E3
2,000070102E2;1,013488007E3
2,010791752E2;1,013481522E3
2,021513312E2;1,013476562E3
2,032234682E2;1,013467865E3
2,042956602E2;1,013462219E3
2,053678482E2;1,013455276E3
2,064400452E2;1,013448105E3
2,075122482E2;1,013439865E3
2,085844752E2;1,013433762E3
2,096566792E2;1,013424911E3
2,107288502E2;1,013416443E3
2,118010222E2;1,013405991E3
2,128732172E2;1,013394547E3
2,139453922E2;1,013381195E3
2,150175522E2;1,013366623E3
2,160896822E2;1,013352737E3
2,171618332E2;1,013336029E3
2,182340192E2;1,013320770E3
2,193062482E2;1,013308334E3
2,203784552E2;1,013297348E3
2,214506552E2;1,013289337E3
2,225228722E2;1,013284760E3
2,235950782E2;1,013279266E3
2,246672582E2;1,013270187E3
2,257394462E2;1,013260040E3
2,268116562E2;1,013255310E3
2,278837972E2;1,013255310E3
2,289559782E2;1,013261719E3
2,300281852E2;1,013269577E3
2,311003902E2;1,013278198E3
2,321725622E2;1,013278198E3
2,332447822E2;1,013276520E3
2,343169572E2;1,013273163E3
2,353891162E2;1,013273163E3
2,364613252E2;1,013282166E3
2,375335142E2;1,013289566E3
2,386056492E2;1,013306351E3
2,396778232E2;1,013317719E3
2,407499782E2;1,013323898E3
2,418221382E2;1,013326645E3
2,428942972E2;1,013336945E3
2,439664432E2;1,013339310E3
2,450386152E2;1,013344269E3
2,461107732E2;1,013348770E3
2,471829322E2;1,013348770E3
2,482551282E2;1,013344040E3
2,493273082E2;1,013340988E3
2,503995232E2;1,013338623E3
2,514717212E2;1,013333511E3
2,525439062E2;1,013327866E3
2,536160802E2;1,013327255E3
2,546882542E2;1,013325729E3
2,557604492E2;1,013325729E3
2,568326192E2;1,013328400E3
2,579048052E2;1,013333206E3
2,589769382E2;1,013335495E3
2,600491022E2;1,013335495E3
2,611212882E2;1,013332748E3
2,621934402E2;1,013325577E3
2,632656182E2;1,013322372E3
2,643377932E2;1,013321152E3
2,654099722E2;1,013321152E3
2,664821932E2;1,013322449E3
2,675543992E2;1,013331451E3
2,686266182E2;1,013338776E3
2,696988392E2;1,013348770E3
2,707710462E2;1,013358994E3
2,718432712E2;1,013367844E3
2,729154952E2;1,013372345E3
2,739877242E2;1,013374634E3
2,750599232E2;1,013374634E3
2,761321112E2;1,013371811E3
2,772042962E2;1,013365936E3
2,782765002E2;1,013361206E3
2,793487002E2;1,013358231E3
2,804209402E2;1,013353500E3
2,814931382E2;1,013352051E3
2,825653622E2;1,013352051E3
2,836375992E2;1,013353500E3
2,847098452E2;1,013354797E3
2,857821302E2;1,013359680E3
2,868544252E2;1,013362885E3
2,879267102E2;1,013367920E3
2,889989732E2;1,013375092E3
2,900712342E2;1,013377151E3
2,911434952E2;1,013377151E3
