"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
2,685999870E-2;5,236089344E1;4,888444355E0;6,890763044E0;NaN;NaN;5,100000000E1;2,831731987E1
3,097999096E-2;5,236109816E1;4,888670500E0;5,059110641E0;NaN;NaN;3,500000000E1;2,232561302E1
3,097999096E-2;5,236111259E1;4,888687339E0;4,533173203E0;NaN;NaN;3,500000000E1;1,791033936E1
3,713314652E0;5,236121133E1;4,888966139E0;1,935512543E0;1,230000019E0;3,536718750E2;2,298819528E1;4,000000000E0
4,713255048E0;5,236124741E1;4,888973096E0;1,972621918E0;1,000000000E0;1,406250000E1;1,782234118E1;4,000000000E0
5,713199258E0;5,236128103E1;4,888953483E0;2,120571136E0;1,149999976E0;3,557812500E2;1,660814117E1;4,000000000E0
6,713202357E0;5,236129934E1;4,888942838E0;2,578884125E0;1,480000019E0;7,734375000E0;1,544016411E1;4,000000000E0
7,713172674E0;5,236131409E1;4,888924314E0;2,698146820E0;1,149999976E0;3,557812500E2;1,373562161E1;4,000000000E0
8,713141799E0;5,236133329E1;4,888924565E0;2,593959808E0;1,480000019E0;4,218750000E1;1,235285421E1;4,000000000E0
9,713115096E0;5,236135043E1;4,888938814E0;3,219631195E0;2,140000105E0;5,203125000E1;1,150386462E1;4,000000000E0
1,071308398E1;5,236136296E1;4,888948118E0;3,444789886E0;1,759999990E0;6,046875000E1;1,149205418E1;4,000000000E0
1,171305549E1;5,236137033E1;4,888958847E0;3,011562347E0;2,059999943E0;5,976562500E1;1,142634911E1;4,000000000E0
1,271302772E1;5,236138261E1;4,888962703E0;3,478542328E0;2,059999943E0;4,359375000E1;9,552509645E0;4,000000000E0
1,371300519E1;5,236139602E1;4,888983554E0;3,478542727E0;2,059999943E0;4,359376651E1;9,552509645E0;4,000000000E0
1,471298265E1;5,236140800E1;4,888970353E0;3,031155032E0;2,059999943E0;3,410157593E1;9,356508917E0;4,000000000E0
1,571296024E1;5,236141404E1;4,888948141E0;2,866909212E0;1,220000029E0;1,722656670E1;9,640298816E0;4,000000000E0
1,671293962E1;5,236142418E1;4,888953728E0;2,512722181E0;1,120000005E0;4,148438362E1;1,000132971E1;4,000000000E0
1,771291876E1;5,236143827E1;4,888966139E0;2,705349226E0;1,559999943E0;4,464845024E1;1,035876510E1;4,000000000E0
1,871290040E1;5,236144726E1;4,888962180E0;2,816921423E0;1,240000010E0;3,937500914E1;1,080700110E1;4,000000000E0
1,971288192E1;5,236146284E1;4,888963206E0;2,574489794E0;1,299999952E0;2,917969487E1;1,003778005E1;6,000000000E0
2,071286452E1;5,236147963E1;4,888969210E0;1,598049364E0;1,299999952E0;3,023438261E1;1,015227689E1;6,000000000E0
2,171284556E1;5,236149420E1;4,888961904E0;1,892849143E0;1,169999957E0;2,496094324E1;7,736125085E0;6,000000000E0
2,271282768E1;5,236150845E1;4,888946922E0;2,094326195E0;1,169999957E0;2,320313036E1;6,065678000E0;6,000000000E0
2,371281052E1;5,236152580E1;4,888929577E0;2,200100122E0;1,169999957E0;9,492189743E0;5,684708475E0;6,000000000E0
