"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717523399014000E9;"2024-06-04 19:49:59.014 UTC+02:00"
"PAUSE";2,102785825000028E2;1,717523609292000E9;"2024-06-04 19:53:29.292 UTC+02:00"
