"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717522638825000E9;"2024-06-04 19:37:18.825 UTC+02:00"
"PAUSE";2,935609682500071E2;1,717522932379000E9;"2024-06-04 19:42:12.379 UTC+02:00"
