"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
8,784653531E0;9,753990769E-1;-5,781839490E-1;1,023046613E0
8,884653531E0;1,485929728E0;8,310821652E-1;5,900958180E-1
8,984653531E0;4,529565871E-1;3,672827184E-1;9,911288619E-1
9,084653531E0;1,685988009E-1;2,641992271E-2;2,257147133E-1
9,184653531E0;-2,131156206E0;1,023352027E0;-2,246456861E0
9,284653531E0;-1,272585034E0;1,969887733E0;-1,848325491E0
9,384653531E0;-1,032209516E0;-1,407891631E0;-1,763415217E0
9,484653531E0;-6,806566119E-1;-2,277763844E0;-6,910412908E-1
9,584653531E0;-5,951354504E-1;-1,182176948E0;-2,753475010E-1
9,684653531E0;-9,158397317E-1;-1,039234519E0;-6,236934066E-1
9,784653531E0;1,207222462E0;1,076039076E0;5,740606189E-1
9,884653531E0;2,284330606E0;1,817324162E0;1,757001162E0
9,984653531E0;1,037401915E0;-3,346014321E-1;6,798930168E-1
1,008465353E1;8,959866166E-1;7,325801253E-1;1,193019867E0
1,018465353E1;4,711298347E-1;4,712825418E-1;1,145983219E0
1,028465353E1;-5,876523852E-1;-4,810563847E-2;-7,095199823E-1
1,038465353E1;-2,002110958E0;7,171558142E-1;-2,229505539E0
1,048465353E1;-6,927211881E-1;3,950771093E-1;-1,347263336E0
1,058465353E1;-1,000902653E0;-8,813258410E-1;-1,831221342E0
1,068465353E1;4,375322461E-1;-1,811673641E0;3,481931984E-2
1,078465353E1;-2,666426897E-1;-1,063058257E0;-1,808161139E-1
1,088465353E1;6,461427212E-1;-4,909829497E-1;5,193881989E-1
1,098465353E1;9,767735004E-1;8,103127480E-1;-3,619376570E-2
1,108465353E1;1,540602207E0;1,120937690E-1;2,326480389E0
1,118465353E1;1,229213595E0;-1,524108797E-1;9,874636531E-1
1,128465353E1;5,519167781E-1;5,487096906E-1;1,179733515E0
1,138465353E1;3,938553631E-1;5,448917747E-1;7,693848014E-1
1,148465353E1;-1,408960700E0;1,930334121E-1;-1,205695271E0
1,158465353E1;-1,965764403E0;1,289536476E0;-2,783865690E0
1,168465353E1;-6,191119552E-1;-9,544769675E-2;-2,041664362E0
1,178465353E1;-1,358106136E0;-2,504700184E0;-1,350012183E0
1,188465353E1;9,376781583E-1;-1,888184428E0;5,807801485E-1
1,198465353E1;-2,423607856E-1;-9,767735004E-1;-6,546948552E-1
1,208465353E1;7,906123400E-1;1,252273768E-1;1,708895564E-1
1,218465353E1;1,159116745E0;8,700248003E-1;7,399105430E-1
1,228465353E1;1,425301313E0;-8,475755155E-2;1,517083883E0
1,238465353E1;1,188743711E0;-1,751656085E-1;5,737552047E-1
1,248465353E1;4,951062799E-1;-3,636175394E-1;1,513113260E0
1,258465353E1;3,790418804E-1;7,322747111E-1;-1,777617931E-1
1,268465353E1;-1,480126500E0;-9,224065393E-2;-1,128115416E0
1,278465353E1;-8,917105198E-1;3,027600765E0;-1,868789554E0
1,288465353E1;-6,965391040E-1;-4,092797264E-2;-2,322967768E0
