"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0,000000000E0;5,201236630E1;5,093173800E0;3,504998250E0;NaN;NaN;1,265200043E1;1,000000000E0
1,014260604E1;5,201220057E1;5,092929058E0;3,770395032E1;2,911544323E0;1,602083435E2;1,289824486E1;1,575645638E1
1,113585641E1;5,201218099E1;5,093018291E0;2,195802970E1;2,648298264E0;1,458825073E2;1,462097740E1;1,539171028E1
1,215409864E1;5,201216760E1;5,093072290E0;2,091503273E1;3,395502567E0;1,357869263E2;2,367111397E1;4,266445541E1
1,316474223E1;5,201214078E1;5,093095216E0;2,080832595E1;0,000000000E0;NaN;2,531126213E1;3,163500977E1
1,414206967E1;5,201212154E1;5,093139168E0;1,984541255E1;0,000000000E0;NaN;2,982387733E1;3,499055481E1
1,515489527E1;5,201211932E1;5,093194069E0;1,824590496E1;3,387346029E0;1,186727905E2;2,675446701E1;2,931817055E1
1,614783346E1;5,201211038E1;5,093242965E0;1,222449682E1;0,000000000E0;NaN;1,806674385E1;2,119332504E1
1,713899549E1;5,201207252E1;5,093319102E0;1,122294959E1;0,000000000E0;NaN;1,396394157E1;2,395942307E1
1,816094955E1;5,201201568E1;5,093357471E0;9,403762882E0;3,198385715E0;1,670158844E2;1,031347466E1;1,561065102E1
1,915961223E1;5,201198708E1;5,093369314E0;9,045555303E0;0,000000000E0;NaN;1,837661743E1;2,726180649E1
2,013678753E1;5,201196352E1;5,093377003E0;7,919967522E0;0,000000000E0;NaN;2,267461967E1;2,659015465E1
2,115306495E1;5,201193129E1;5,093398461E0;7,562764609E0;0,000000000E0;NaN;1,212852097E1;2,204408836E1
2,215562688E1;5,201191289E1;5,093432257E0;7,368532166E0;0,000000000E0;NaN;1,783922005E1;2,489710999E1
2,314766403E1;5,201188774E1;5,093468135E0;6,453718897E0;0,000000000E0;NaN;1,375511360E1;1,430951500E1
2,513123292E1;5,201187913E1;5,093563733E0;5,598980148E0;3,668729782E0;7,231874847E1;1,169728756E1;1,073468494E1
2,613420786E1;5,201188151E1;5,093617729E0;5,379343109E0;3,056851149E0;8,043405151E1;2,153685188E1;2,248373032E1
2,716135723E1;5,201188833E1;5,093687715E0;5,310974042E0;0,000000000E0;NaN;1,210737801E1;1,749975204E1
2,814060752E1;5,201189248E1;5,093745592E0;5,215728863E0;2,957392216E0;8,165757751E1;1,604283142E1;1,662780762E1
2,915993654E1;5,201189726E1;5,093793225E0;5,198309439E0;3,141222954E0;7,578224945E1;2,459846687E1;2,549373055E1
3,013526861E1;5,201190228E1;5,093845959E0;5,167110629E0;0,000000000E0;NaN;2,185825157E1;2,196287918E1
3,114273036E1;5,201190612E1;5,093905572E0;5,144009376E0;4,194293499E0;8,763996887E1;1,693004417E1;1,589472389E1
3,215781785E1;5,201189387E1;5,094016334E0;4,794430030E0;3,554037809E0;7,794769287E1;4,958008289E0;7,051795959E0
3,313533286E1;5,201190026E1;5,094116919E0;5,362421548E0;2,948446035E0;7,747541046E1;6,366425514E0;6,052148342E0
3,418456077E1;5,201189963E1;5,094192496E0;5,279195214E0;3,420395851E0;7,933329773E1;5,949357986E0;4,442322731E0
3,510457244E1;5,201190313E1;5,094259094E0;4,670236752E0;3,894750595E0;7,274885559E1;5,753139973E0;3,763064623E0
3,610502390E1;5,201191182E1;5,094327805E0;4,240749859E0;3,810157061E0;6,795656586E1;5,626066208E0;3,433097839E0
3,712213946E1;5,201190724E1;5,094404653E0;4,519882017E0;3,751179218E0;7,591100311E1;5,334240913E0;3,227876425E0
3,805042925E1;5,201188706E1;5,094477018E0;4,983516906E0;4,205286980E0;8,061930084E1;4,191905022E0;3,000000000E0
3,905048825E1;5,201188213E1;5,094546536E0;4,759156796E0;4,446684361E0;8,189414215E1;4,033747196E0;3,000000000E0
4,005054225E1;5,201187499E1;5,094640015E0;5,139874058E0;4,619480133E0;8,393880463E1;3,751655102E0;3,000000000E0
4,105056425E1;5,201187484E1;5,094713568E0;4,923988818E0;4,725067616E0;8,280673981E1;3,814718723E0;3,000000000E0
4,205048025E1;5,201187922E1;5,094791769E0;4,467903165E0;4,727298737E0;8,241222382E1;3,855753422E0;3,000000000E0
4,305052425E1;5,201188404E1;5,094877909E0;4,763079540E0;4,817406178E0;8,324794769E1;3,546643496E0;3,000000000E0
4,405060925E1;5,201188828E1;5,094958693E0;5,093651470E0;5,040518761E0;8,500378418E1;3,410851479E0;3,000000000E0
4,505061025E1;5,201188922E1;5,095033667E0;4,781127517E0;4,988434315E0;8,404868317E1;3,251046181E0;3,000000000E0
4,605056925E1;5,201189206E1;5,095112474E0;4,459095547E0;5,025549889E0;8,153553009E1;2,991351604E0;3,000000000E0
4,705059025E1;5,201189851E1;5,095190494E0;4,217832512E0;4,912630081E0;8,209262848E1;3,017199516E0;3,000000000E0
4,805066625E1;5,201190472E1;5,095268274E0;4,049157706E0;4,624210358E0;8,221218872E1;2,964089155E0;3,000000000E0
4,905066525E1;5,201191006E1;5,095338527E0;3,967955693E0;4,622609615E0;8,066047668E1;3,112409115E0;3,000000000E0
5,005067725E1;5,201191627E1;5,095409456E0;4,208771939E0;4,856473923E0;7,977179718E1;3,146233559E0;3,000000000E0
5,105071125E1;5,201192205E1;5,095490333E0;4,258964323E0;5,033977032E0;8,212532043E1;7,250556946E0;3,000000000E0
5,205071425E1;5,201192533E1;5,095563881E0;4,201742349E0;5,220276833E0;8,289411926E1;5,625593185E0;3,000000000E0
5,305070325E1;5,201193480E1;5,095640864E0;4,137399680E0;5,078582764E0;7,984619141E1;5,733089447E0;3,000000000E0
5,405071625E1;5,201194215E1;5,095721080E0;3,724369926E0;5,166196823E0;7,999624634E1;5,785723686E0;3,000000000E0
5,505080725E1;5,201195005E1;5,095796047E0;3,273949414E0;5,153726578E0;8,154354095E1;5,458201885E0;3,000000000E0
5,605074425E1;5,201195674E1;5,095876666E0;2,955022863E0;5,115236759E0;8,027918243E1;5,441177368E0;3,000000000E0
5,705077825E1;5,201196254E1;5,095952869E0;3,123047054E0;5,284999847E0;8,150872803E1;4,589948177E0;3,000000000E0
5,805075325E1;5,201196869E1;5,096033017E0;2,943941042E0;5,400022507E0;8,080583954E1;4,596314907E0;3,000000000E0
5,905080925E1;5,201197520E1;5,096110237E0;2,854508140E0;5,380923748E0;7,892333221E1;6,984612942E0;3,000000000E0
6,005083325E1;5,201198349E1;5,096184678E0;2,635946957E0;5,077744961E0;8,119814301E1;5,743951321E0;3,000000000E0
6,105082025E1;5,201198918E1;5,096248834E0;2,701887207E0;4,779666901E0;8,127767181E1;6,982274532E0;3,000000000E0
6,205086625E1;5,201199582E1;5,096311608E0;2,834599954E0;4,217347145E0;8,509841919E1;7,256722450E0;3,000000000E0
6,305084425E1;5,201199703E1;5,096358236E0;2,964488551E0;3,800965071E0;8,776686859E1;7,955827236E0;3,054809570E0
6,405117525E1;5,201199614E1;5,096389617E0;3,236471062E0;2,213208914E0;9,673532867E1;6,211409569E0;3,209057808E0
6,505095025E1;5,201197035E1;5,096405974E0;3,485480542E0;2,123951912E0;1,100913849E2;5,404263496E0;3,364965200E0
6,605089925E1;5,201193778E1;5,096426878E0;3,881064074E0;2,229132175E0;1,274754410E2;6,199588776E0;3,377583742E0
6,705091825E1;5,201190943E1;5,096452442E0;3,907763150E0;2,269491434E0;1,324196625E2;5,913636208E0;3,497202873E0
6,805093525E1;5,201188726E1;5,096468186E0;3,633548099E0;2,451339960E0;1,459421234E2;6,305344582E0;3,512612343E0
6,905096725E1;5,201185788E1;5,096482250E0;3,548713515E0;2,409790516E0;1,571320190E2;6,271767616E0;3,570738077E0
7,005098325E1;5,201182499E1;5,096482562E0;3,315972344E0;2,346968889E0;1,682275391E2;5,018560410E0;3,501574278E0
7,105098525E1;5,201179482E1;5,096477611E0;3,157680988E0;2,173285723E0;1,784058838E2;4,879104614E0;3,534336805E0
7,205101825E1;5,201174968E1;5,096463462E0;2,665618108E0;2,439181566E0;1,817617950E2;4,887231827E0;3,497273207E0
7,305148025E1;5,201170262E1;5,096441863E0;2,252759426E0;2,527509451E0;1,876656189E2;4,564819813E0;3,385253429E0
7,405104225E1;5,201166691E1;5,096409363E0;1,846228768E0;2,418410778E0;1,901662903E2;4,775542736E0;3,275881290E0
7,505108625E1;5,201163270E1;5,096376503E0;1,330807535E0;2,506443739E0;1,990831757E2;4,775424004E0;3,191336393E0
7,605107125E1;5,201160068E1;5,096341659E0;1,009346496E0;2,087672234E0;2,005672302E2;4,390607834E0;3,149028778E0
7,705110625E1;5,201156858E1;5,096306134E0;4,936199544E-1;2,382019520E0;2,022994080E2;4,458340645E0;3,116241455E0
7,805121125E1;5,201153218E1;5,096263424E0;3,142640583E-2;2,771422625E0;2,072892456E2;4,458338737E0;3,073388338E0
7,905115325E1;5,201149776E1;5,096213909E0;7,205040045E-2;3,286558390E0;2,113820038E2;4,418837547E0;3,018494844E0
8,005117925E1;5,201146063E1;5,096158408E0;1,769357342E-1;3,517794847E0;2,113834686E2;4,418550491E0;3,034362555E0
8,105115325E1;5,201142662E1;5,096100808E0;3,133277628E-1;3,468007565E0;2,093424225E2;4,780869961E0;3,024991751E0
8,205135525E1;5,201139134E1;5,096046777E0;2,728074063E-1;3,506325483E0;2,092201691E2;4,581361771E0;3,040472031E0
8,305122225E1;5,201135733E1;5,095997739E0;6,904924693E-1;3,574176788E0;2,131355286E2;4,886077881E0;3,042268515E0
8,405122325E1;5,201131931E1;5,095934939E0;9,681881202E-1;3,589873791E0;2,178382111E2;4,831641674E0;3,000000000E0
8,505124825E1;5,201128409E1;5,095873750E0;1,360324148E0;3,754813910E0;2,237879181E2;5,136627197E0;3,000000000E0
8,605126925E1;5,201125551E1;5,095808694E0;1,621570991E0;3,720206738E0;2,233782501E2;4,789305687E0;3,000000000E0
8,705142425E1;5,201122542E1;5,095749387E0;1,614438079E0;4,062588215E0;2,228499451E2;4,382057190E0;3,000000000E0
8,805189425E1;5,201120143E1;5,095697596E0;1,626472925E0;4,059222221E0;2,223615723E2;4,382098198E0;3,000000000E0
8,905132425E1;5,201116816E1;5,095640687E0;2,092597426E0;4,069293022E0;2,190317383E2;4,923007488E0;3,000000000E0
9,005132825E1;5,201113412E1;5,095589636E0;2,059569209E0;4,017929077E0;2,184109344E2;5,056416988E0;3,000000000E0
9,105139225E1;5,201110290E1;5,095539492E0;2,080103017E0;4,071892262E0;2,199264526E2;5,013182163E0;3,000000000E0
9,205137325E1;5,201107416E1;5,095482730E0;1,895432421E0;4,020691872E0;2,214682617E2;4,382259369E0;3,000000000E0
9,305138825E1;5,201104497E1;5,095428430E0;1,844803161E0;4,254821301E0;2,204931335E2;4,518959999E0;3,000000000E0
9,405141225E1;5,201101517E1;5,095376277E0;1,820008853E0;4,222384930E0;2,197466125E2;4,382340431E0;3,000000000E0
9,505143025E1;5,201098092E1;5,095328523E0;1,657993219E0;4,269277096E0;2,195045471E2;3,994816303E0;3,000000000E0
9,605144925E1;5,201094699E1;5,095282501E0;2,321913815E0;4,310312748E0;2,219877319E2;3,994819880E0;3,000000000E0
9,705148625E1;5,201090697E1;5,095238057E0;2,494625994E0;4,453804493E0;2,198703003E2;3,994822741E0;3,000000000E0
9,805149725E1;5,201087013E1;5,095185643E0;2,758783301E0;4,574750900E0;2,198052673E2;4,731856823E0;3,000000000E0
